variant,model,objective,threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity,old_specificity,old_auc,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity,third_specificity,third_auc
crop,logreg_c0.3,sens90,0.07,0.6701754385964912,0.6722813238770686,0.7235294117647059,68,76,18,123,0.8723404255319149,0.4722222222222222,0.748473207249803,0.5294117647058824,0.5858013937282229,0.4461538461538462,104,120,24,58,0.7073170731707317,0.4642857142857143,0.6322952961672474
crop,logreg_c1,balanced_accuracy,0.31999999999999995,0.7017543859649122,0.7021276595744681,0.7098976109215017,96,48,37,104,0.7375886524822695,0.6666666666666666,0.7474389282899921,0.6176470588235294,0.5958188153310104,0.43478260869565216,144,80,37,45,0.5487804878048781,0.6428571428571429,0.6298453832752614
crop,logreg_c1,accuracy,0.31999999999999995,0.7017543859649122,0.7021276595744681,0.7098976109215017,96,48,37,104,0.7375886524822695,0.6666666666666666,0.7474389282899921,0.6176470588235294,0.5958188153310104,0.43478260869565216,144,80,37,45,0.5487804878048781,0.6428571428571429,0.6298453832752614
crop,logreg_c1,sens90,0.07,0.6771929824561403,0.6790780141843972,0.7245508982035929,72,72,20,121,0.8581560283687943,0.5,0.7474389282899921,0.5588235294117647,0.6020252613240418,0.4578313253012048,114,110,25,57,0.6951219512195121,0.5089285714285714,0.6298453832752614
whole_plus_crop,logreg_c0.003,balanced_accuracy,0.5199999999999999,0.7192982456140351,0.7190455082742317,0.7101449275362319,107,37,43,98,0.6950354609929078,0.7430555555555556,0.7776792750197007,0.6568627450980392,0.5839503484320557,0.4,166,58,47,35,0.4268292682926829,0.7410714285714286,0.6670840592334495
whole_plus_crop,logreg_c0.003,accuracy,0.5199999999999999,0.7192982456140351,0.7190455082742317,0.7101449275362319,107,37,43,98,0.6950354609929078,0.7430555555555556,0.7776792750197007,0.6568627450980392,0.5839503484320557,0.4,166,58,47,35,0.4268292682926829,0.7410714285714286,0.6670840592334495
whole_plus_crop,logreg_c0.003,sens90,0.24999999999999994,0.6526315789473685,0.6551418439716312,0.717948717948718,60,84,15,126,0.8936170212765957,0.4166666666666667,0.7776792750197007,0.5490196078431373,0.6223867595818815,0.48120300751879697,104,120,18,64,0.7804878048780488,0.4642857142857143,0.6670840592334495
whole_plus_crop,logreg_c0.01,balanced_accuracy,0.57,0.7192982456140351,0.71875,0.7014925373134329,111,33,47,94,0.6666666666666666,0.7708333333333334,0.772655634357762,0.6601307189542484,0.5784516550522648,0.38823529411764707,169,55,49,33,0.4024390243902439,0.7544642857142857,0.6483558362369337
whole_plus_crop,logreg_c0.01,accuracy,0.57,0.7192982456140351,0.71875,0.7014925373134329,111,33,47,94,0.6666666666666666,0.7708333333333334,0.772655634357762,0.6601307189542484,0.5784516550522648,0.38823529411764707,169,55,49,33,0.4024390243902439,0.7544642857142857,0.6483558362369337
whole_plus_crop,logreg_c0.01,sens90,0.29,0.6912280701754386,0.6929669030732861,0.7333333333333333,76,68,20,121,0.8581560283687943,0.5277777777777778,0.772655634357762,0.6045751633986928,0.6062173344947734,0.45248868778280543,135,89,32,50,0.6097560975609756,0.6026785714285714,0.6483558362369337
whole_plus_crop,logreg_c0.03,balanced_accuracy,0.5499999999999999,0.7157894736842105,0.7154255319148937,0.7032967032967034,108,36,45,96,0.6808510638297872,0.75,0.7684200157604413,0.6601307189542484,0.5939133275261325,0.4157303370786517,165,59,45,37,0.45121951219512196,0.7366071428571429,0.6387195121951219
whole_plus_crop,logreg_c0.03,accuracy,0.5499999999999999,0.7157894736842105,0.7154255319148937,0.7032967032967034,108,36,45,96,0.6808510638297872,0.75,0.7684200157604413,0.6601307189542484,0.5939133275261325,0.4157303370786517,165,59,45,37,0.45121951219512196,0.7366071428571429,0.6387195121951219
whole_plus_crop,logreg_c0.03,sens90,0.13999999999999999,0.6701754385964912,0.6723552009456265,0.7251461988304093,67,77,17,124,0.8794326241134752,0.4652777777777778,0.7684200157604413,0.5294117647058824,0.5742051393728224,0.4330708661417323,107,117,27,55,0.6707317073170732,0.47767857142857145,0.6387195121951219
whole_plus_crop,logreg_c0.1,balanced_accuracy,0.59,0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.6737588652482269,0.7569444444444444,0.7649231678486997,0.6568627450980392,0.5878157665505227,0.4067796610169492,165,59,46,36,0.43902439024390244,0.7366071428571429,0.6320230836236934
whole_plus_crop,logreg_c0.1,accuracy,0.59,0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.6737588652482269,0.7569444444444444,0.7649231678486997,0.6568627450980392,0.5878157665505227,0.4067796610169492,165,59,46,36,0.43902439024390244,0.7366071428571429,0.6320230836236934
whole_plus_crop,logreg_c0.1,sens90,0.13,0.6842105263157895,0.6860963356973995,0.7305389221556886,73,71,19,122,0.8652482269503546,0.5069444444444444,0.7649231678486997,0.5588235294117647,0.5865635888501742,0.43983402489626555,118,106,29,53,0.6463414634146342,0.5267857142857143,0.6320230836236934
whole_plus_crop,logreg_c0.3,balanced_accuracy,0.63,0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.6737588652482269,0.7569444444444444,0.7639381402679274,0.6405228758169934,0.5573279616724739,0.36046511627906974,165,59,51,31,0.3780487804878049,0.7366071428571429,0.6289198606271778
whole_plus_crop,logreg_c0.3,accuracy,0.63,0.7157894736842105,0.7153516548463357,0.7011070110701108,109,35,46,95,0.6737588652482269,0.7569444444444444,0.7639381402679274,0.6405228758169934,0.5573279616724739,0.36046511627906974,165,59,51,31,0.3780487804878049,0.7366071428571429,0.6289198606271778
whole_plus_crop,logreg_c0.3,sens90,0.05,0.6631578947368421,0.66548463356974,0.7225433526011561,64,80,16,125,0.8865248226950354,0.4444444444444444,0.7639381402679274,0.5392156862745098,0.5886324041811847,0.4470588235294118,108,116,25,57,0.6951219512195121,0.48214285714285715,0.6289198606271778
whole_plus_crop,logreg_c1,balanced_accuracy,0.6,0.7087719298245614,0.7084072104018913,0.6959706959706959,107,37,46,95,0.6737588652482269,0.7430555555555556,0.7626083530338849,0.6437908496732027,0.5788871951219512,0.39779005524861877,161,63,46,36,0.43902439024390244,0.71875,0.6261432926829269
whole_plus_crop,logreg_c1,accuracy,0.6,0.7087719298245614,0.7084072104018913,0.6959706959706959,107,37,46,95,0.6737588652482269,0.7430555555555556,0.7626083530338849,0.6437908496732027,0.5788871951219512,0.39779005524861877,161,63,46,36,0.43902439024390244,0.71875,0.6261432926829269
whole_plus_crop,logreg_c1,sens90,0.05,0.6807017543859649,0.6825502364066194,0.7267267267267268,73,71,20,121,0.8581560283687943,0.5069444444444444,0.7626083530338849,0.5555555555555556,0.5843314459930313,0.4380165289256198,117,107,29,53,0.6463414634146342,0.5223214285714286,0.6261432926829269
