base_name,base_idx,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc
adapt_r2_c0.003,10,balanced_accuracy,0.4799999999999999,0.6694677871148459,0.6684160905091138,0.6861702127659575,110,62,56,129,0.7185417976115651,0.6842105263157895,0.6843971631205674,0.6875,96,48,42,99,0.7280831363278171,0.6111111111111112,0.5909090909090908,0.6818181818181818,14,14,14,30,0.6607142857142857,0.688034188034188,0.6440655209452202,0.37606837606837606,139,57,16,22,0.7185821697099892
adapt_r2_c0.003,10,accuracy,0.4799999999999999,0.6694677871148459,0.6684160905091138,0.6861702127659575,110,62,56,129,0.7185417976115651,0.6842105263157895,0.6843971631205674,0.6875,96,48,42,99,0.7280831363278171,0.6111111111111112,0.5909090909090908,0.6818181818181818,14,14,14,30,0.6607142857142857,0.688034188034188,0.6440655209452202,0.37606837606837606,139,57,16,22,0.7185821697099892
adapt_r1_c0.01,7,balanced_accuracy,0.62,0.6638655462184874,0.6666876178504085,0.6449704142011834,128,44,76,109,0.7209302325581396,0.6947368421052632,0.6941489361702128,0.6741573033707865,108,36,51,90,0.7451241134751773,0.5416666666666666,0.573051948051948,0.5352112676056338,20,8,25,19,0.6176948051948051,0.7606837606837606,0.6450053705692803,0.391304347826087,160,36,20,18,0.705827067669173
adapt_r4_c0.0003,12,balanced_accuracy,0.5399999999999999,0.6638655462184874,0.6664833438089253,0.6470588235294118,127,45,75,110,0.7158390949088623,0.6631578947368421,0.6622340425531915,0.627906976744186,108,36,60,81,0.704934988179669,0.6666666666666666,0.6688311688311688,0.7073170731707317,19,9,15,29,0.724025974025974,0.7564102564102564,0.6954887218045113,0.44660194174757284,154,42,15,23,0.7518796992481203
adapt_r4_c0.0003,12,accuracy,0.41999999999999993,0.6694677871148459,0.6645348837209303,0.714975845410628,91,81,37,148,0.7158390949088623,0.656140350877193,0.6572842789598109,0.6878980891719745,79,65,33,108,0.704934988179669,0.7222222222222222,0.6688311688311688,0.8,12,16,4,40,0.724025974025974,0.5769230769230769,0.6201664876476907,0.3443708609271523,109,87,12,26,0.7518796992481203
adapt_r1_c0.01,7,accuracy,0.30999999999999994,0.6666666666666666,0.6622407291011942,0.7090464547677262,93,79,40,145,0.7209302325581396,0.6771929824561403,0.6784131205673759,0.7088607594936709,81,63,29,112,0.7451241134751773,0.625,0.5892857142857143,0.7096774193548387,12,16,11,33,0.6176948051948051,0.5512820512820513,0.6154672395273899,0.33962264150943394,102,94,11,27,0.705827067669173
oldonly_c0.0003,0,balanced_accuracy,0.5599999999999999,0.6526610644257703,0.6587366436203645,0.5947712418300654,142,30,94,91,0.7176304211187932,0.6877192982456141,0.6862440898345153,0.6337448559670782,119,25,64,77,0.7424645390070922,0.5138888888888888,0.5698051948051948,0.4444444444444444,23,5,30,14,0.614448051948052,0.8290598290598291,0.654001074113856,0.42857142857142855,179,17,23,15,0.7205961331901182
adapt_r8_c0.0003,16,balanced_accuracy,0.48999999999999994,0.6582633053221288,0.6584223758642362,0.6648351648351648,114,58,64,121,0.700691389063482,0.6456140350877193,0.645168439716312,0.6273062730627307,99,45,56,85,0.6895685579196218,0.7083333333333334,0.676948051948052,0.7741935483870968,15,13,8,36,0.7321428571428571,0.6495726495726496,0.6529269602577874,0.3787878787878788,127,69,13,25,0.7353651987110634
adapt_r8_c0.0003,16,accuracy,0.48999999999999994,0.6582633053221288,0.6584223758642362,0.6648351648351648,114,58,64,121,0.700691389063482,0.6456140350877193,0.645168439716312,0.6273062730627307,99,45,56,85,0.6895685579196218,0.7083333333333334,0.676948051948052,0.7741935483870968,15,13,8,36,0.7321428571428571,0.6495726495726496,0.6529269602577874,0.3787878787878788,127,69,13,25,0.7353651987110634
adapt_r8_c0.01,19,balanced_accuracy,0.63,0.6554621848739496,0.6569453174104337,0.6495726495726496,120,52,71,114,0.716970458830924,0.6736842105263158,0.6733156028368794,0.6593406593406593,102,42,51,90,0.7232072498029944,0.5833333333333334,0.5941558441558441,0.6153846153846154,18,10,20,24,0.6923701298701298,0.7435897435897436,0.6454081632653061,0.3877551020408163,155,41,19,19,0.7005907626208379
oldonly_c0.0003,0,accuracy,0.43999999999999995,0.6610644257703081,0.6568353236957888,0.7027027027027027,93,79,42,143,0.7176304211187932,0.6807017543859649,0.6820330969267139,0.7147335423197492,80,64,27,114,0.7424645390070922,0.5833333333333334,0.5616883116883117,0.6590909090909091,13,15,15,29,0.614448051948052,0.6623931623931624,0.6817937701396348,0.40601503759398494,128,68,11,27,0.7205961331901182
adapt_r8_c0.01,19,accuracy,0.32999999999999996,0.6610644257703081,0.6560182275298554,0.708433734939759,89,83,38,147,0.716970458830924,0.6596491228070176,0.6609781323877069,0.6959247648902821,77,67,30,111,0.7232072498029944,0.6666666666666666,0.6233766233766234,0.75,12,16,8,36,0.6923701298701298,0.5982905982905983,0.632921589688507,0.3561643835616438,114,82,12,26,0.7005907626208379
adapt_r1_c0.0003,4,balanced_accuracy,0.49999999999999994,0.6554621848739496,0.655311125078567,0.6648501362397821,112,60,63,122,0.7122250157133878,0.6631578947368421,0.6630466903073287,0.6571428571428571,97,47,49,92,0.7204491725768322,0.625,0.6087662337662337,0.6896551724137931,15,13,14,30,0.6639610389610389,0.7051282051282052,0.6542696025778733,0.3893805309734513,143,53,16,22,0.7538936627282493
adapt_r1_c0.0003,4,accuracy,0.4599999999999999,0.6582633053221288,0.6545411690760528,0.6965174129353234,95,77,45,140,0.7122250157133878,0.6491228070175439,0.6500443262411347,0.6753246753246753,81,63,37,104,0.7204491725768322,0.6944444444444444,0.6590909090909092,0.7659574468085106,14,14,8,36,0.6639610389610389,0.6581196581196581,0.647422126745435,0.375,130,66,14,24,0.7538936627282493
adapt_r4_c0.01,15,balanced_accuracy,0.36999999999999994,0.6554621848739496,0.6510213702074168,0.6992665036674817,91,81,42,143,0.6935260842237586,0.656140350877193,0.6573581560283688,0.689873417721519,78,66,32,109,0.7106481481481481,0.6527777777777778,0.6185064935064934,0.7311827956989247,13,15,10,34,0.6038961038961038,0.6068376068376068,0.6274167561761548,0.352112676056338,117,79,13,25,0.7024704618689581
adapt_r4_c0.01,15,accuracy,0.36999999999999994,0.6554621848739496,0.6510213702074168,0.6992665036674817,91,81,42,143,0.6935260842237586,0.656140350877193,0.6573581560283688,0.689873417721519,78,66,32,109,0.7106481481481481,0.6527777777777778,0.6185064935064934,0.7311827956989247,13,15,10,34,0.6038961038961038,0.6068376068376068,0.6274167561761548,0.352112676056338,117,79,13,25,0.7024704618689581
oldonly_c0.01,3,balanced_accuracy,0.4799999999999999,0.6442577030812325,0.6434789440603395,0.6595174262734584,107,65,62,123,0.6890320553111251,0.6771929824561403,0.6778221040189125,0.6933333333333334,89,55,37,104,0.7273443656422379,0.5138888888888888,0.5373376623376623,0.5205479452054794,18,10,25,19,0.5568181818181819,0.6923076923076923,0.6254027926960257,0.35714285714285715,142,54,18,20,0.6666219119226637
oldonly_c0.01,3,accuracy,0.4799999999999999,0.6442577030812325,0.6434789440603395,0.6595174262734584,107,65,62,123,0.6890320553111251,0.6771929824561403,0.6778221040189125,0.6933333333333334,89,55,37,104,0.7273443656422379,0.5138888888888888,0.5373376623376623,0.5205479452054794,18,10,25,19,0.5568181818181819,0.6923076923076923,0.6254027926960257,0.35714285714285715,142,54,18,20,0.6666219119226637
adapt_r8_c0.001,17,balanced_accuracy,0.62,0.6330532212885154,0.6375707102451289,0.5919003115264797,131,41,90,95,0.6988057825267129,0.6526315789473685,0.6512263593380614,0.5959183673469388,113,31,68,73,0.7114854215918045,0.5555555555555556,0.5714285714285714,0.5789473684210527,18,10,22,22,0.6209415584415584,0.7692307692307693,0.6713211600429645,0.425531914893617,160,36,18,20,0.7212674543501612
adapt_r8_c0.001,17,accuracy,0.33999999999999997,0.6414565826330533,0.6346480201131364,0.7037037037037037,77,95,33,152,0.6988057825267129,0.6456140350877193,0.6474586288416075,0.6966966966966966,68,76,25,116,0.7114854215918045,0.625,0.5698051948051949,0.7272727272727273,9,19,8,36,0.6209415584415584,0.5683760683760684,0.6468850698174007,0.36477987421383645,104,92,9,29,0.7212674543501612
