align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
none,64,0.7724816799163818,logreg_c001,maxsim,none,balanced_accuracy,0.4799999999999999,0.6603132387706856,0.6596491228070176,0.6603132387706856,0.6777408637873754,86,58,39,102,0.7021276595744682,0.5740740740740741,0.5594698290896407,0.4772727272727273,41,20,26,21,0.5462155563306592,0.5619047619047619,0.5509904622157007,0.4772727272727273,38,20,26,21,0.5381511371973587
none,64,0.7725528478622437,extra_d5,maxsim,none,balanced_accuracy,0.49999999999999994,0.6569148936170213,0.656140350877193,0.6569148936170213,0.6776315789473685,84,60,38,103,0.704688731284476,0.5648148148148148,0.5610394140216254,0.5154639175257731,36,25,22,25,0.5354028601325428,0.5523809523809524,0.5504402054292004,0.5154639175257731,33,25,22,25,0.5278796771826852
coral,32,0.635914146900177,logreg_c01,maxsim,none,balanced_accuracy,0.5099999999999999,0.6908244680851063,0.6912280701754386,0.6908244680851063,0.6764705882352942,105,39,49,92,0.730151694247439,0.5555555555555556,0.550401116149285,0.5,36,25,23,24,0.586327171259156,0.5523809523809524,0.5484225972120322,0.5052631578947369,34,24,23,24,0.5803374908290535
coral,128,0.8977221846580505,logreg_c1,none,none,balanced_accuracy,0.58,0.6382978723404256,0.6385964912280702,0.6382978723404256,0.6254545454545455,96,48,55,86,0.6521867612293145,0.5555555555555556,0.550401116149285,0.5,36,25,23,24,0.5434251831182421,0.5523809523809524,0.5484225972120322,0.5052631578947369,34,24,23,24,0.5473220836390316
coral,200,0.9632615447044373,rf_d5,maxsim,none,balanced_accuracy,0.4799999999999999,0.579934988179669,0.5789473684210527,0.579934988179669,0.6129032258064516,70,74,46,95,0.5951536643026004,0.5277777777777778,0.5453435647017788,0.5565217391304348,25,36,15,32,0.55772584583188,0.5333333333333333,0.5473220836390316,0.5663716814159292,24,34,15,32,0.5557593543653705
coral,64,0.772756040096283,logreg_c001,none,p80,balanced_accuracy,0.5299999999999999,0.6164302600472813,0.6175438596491228,0.6164302600472813,0.5691699604743083,104,40,69,72,0.6649428684003154,0.5648148148148148,0.5463899546564353,0.4470588235294118,42,19,28,19,0.5765608650156959,0.5619047619047619,0.5469552457813647,0.4523809523809524,40,18,28,19,0.5774027879677184
diag,64,0.7725458145141602,svc_c1,none,none,balanced_accuracy,0.49999999999999994,0.6696217494089834,0.6701754385964912,0.6696217494089834,0.6492537313432836,104,40,54,87,0.7128644602048857,0.5555555555555556,0.5479595395884199,0.48936170212765956,37,24,24,23,0.5678409487268923,0.5523809523809524,0.5464049889948642,0.4946236559139785,35,23,24,23,0.5682318415260454
coral,128,0.8976339101791382,logreg_c01,maxsim,none,balanced_accuracy,0.49999999999999994,0.6595005910165486,0.6596491228070176,0.6595005910165486,0.6523297491039427,97,47,50,91,0.6881895193065406,0.5370370370370371,0.5413324032089293,0.5192307692307693,31,30,20,27,0.5333100802232298,0.5428571428571428,0.545854732208364,0.5294117647058824,30,28,20,27,0.5359501100513573
coral,32,0.6357303857803345,extra_d5,top5sim,none,balanced_accuracy,0.5299999999999999,0.6328309692671394,0.6350877192982456,0.6328309692671394,0.5315315315315315,122,22,82,59,0.6020734830575256,0.5833333333333334,0.550575514475061,0.3835616438356164,49,12,33,14,0.5852807813044996,0.5714285714285714,0.545487894350697,0.3835616438356164,46,12,33,14,0.5821716801173882
coral,200,0.9631407260894775,logreg_c01,none,none,balanced_accuracy,0.58,0.581781914893617,0.5824561403508772,0.581781914893617,0.5509433962264151,93,51,68,73,0.5900807722616234,0.5462962962962963,0.5373212417160795,0.4731182795698925,37,24,25,22,0.545866759679107,0.5523809523809524,0.5443873807776962,0.4835164835164835,36,22,25,22,0.5517241379310345
