hard_detector,corrector,recall_target,corrector_scope,hard_auc,pass_n,pass_frac,hardlike_n,hardlike_frac,pass_accuracy,pass_hard_contamination,hard_recall_in_hardlike,hard_precision_in_hardlike,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,hardcore_base_accuracy,hardcore_final_accuracy,hardlike_base_accuracy,hardlike_final_accuracy,rescued_total,hurt_total,rescued_hardcore,hurt_hardcore
hard_logreg,corr_logreg,0.9,all_train,0.5682517482517482,48,0.16842105263157894,237,0.8315789473684211,0.8541666666666666,0.14583333333333334,0.8923076923076924,0.24472573839662448,0.7684210526315789,0.7684692671394799,0.7543859649122807,0.7545065011820331,0.7430555555555556,0.7659574468085106,107,37,33,108,0.27692307692307694,0.4307692307692308,0.7510548523206751,0.7341772151898734,18,22,14,4
hard_logreg,corr_logreg,0.8,all_train,0.5682517482517482,66,0.23157894736842105,219,0.7684210526315789,0.803030303030303,0.16666666666666666,0.8307692307692308,0.2465753424657534,0.7684210526315789,0.7684692671394799,0.7543859649122807,0.7545065011820331,0.7430555555555556,0.7659574468085106,107,37,33,108,0.27692307692307694,0.4307692307692308,0.7579908675799086,0.7397260273972602,17,21,14,4
hard_rf,corr_logreg,0.8,all_train,0.6334965034965034,85,0.2982456140350877,200,0.7017543859649122,0.8823529411764706,0.11764705882352941,0.8461538461538461,0.275,0.7684210526315789,0.7684692671394799,0.7543859649122807,0.7543587470449172,0.7569444444444444,0.75177304964539,109,35,35,106,0.27692307692307694,0.4,0.72,0.7,17,21,12,4
hard_extra,corr_logreg,0.7,all_train,0.6319580419580421,117,0.4105263157894737,168,0.5894736842105263,0.8461538461538461,0.15384615384615385,0.7230769230769231,0.27976190476190477,0.7684210526315789,0.7684692671394799,0.7543859649122807,0.7543587470449172,0.7569444444444444,0.75177304964539,109,35,35,106,0.27692307692307694,0.4,0.7142857142857143,0.6904761904761905,17,21,12,4
hard_extra,corr_logreg,0.8,all_train,0.6319580419580421,77,0.27017543859649124,208,0.7298245614035088,0.8441558441558441,0.15584415584415584,0.8153846153846154,0.2548076923076923,0.7684210526315789,0.7684692671394799,0.7473684210526316,0.7474881796690307,0.7361111111111112,0.7588652482269503,106,38,34,107,0.27692307692307694,0.4153846153846154,0.7403846153846154,0.7115384615384616,18,24,13,4
hard_rf,corr_logreg,0.9,all_train,0.6334965034965034,65,0.22807017543859648,220,0.7719298245614035,0.9230769230769231,0.09230769230769231,0.9076923076923077,0.2681818181818182,0.7684210526315789,0.7684692671394799,0.7473684210526316,0.7473404255319149,0.75,0.7446808510638298,108,36,36,105,0.27692307692307694,0.4,0.7227272727272728,0.6954545454545454,17,23,12,4
hard_extra,corr_logreg,0.7,pred_hardlike_train,0.6319580419580421,117,0.4105263157894737,168,0.5894736842105263,0.8461538461538461,0.15384615384615385,0.7230769230769231,0.27976190476190477,0.7684210526315789,0.7684692671394799,0.7473684210526316,0.7472665484633569,0.7569444444444444,0.7375886524822695,109,35,37,104,0.27692307692307694,0.35384615384615387,0.7142857142857143,0.6785714285714286,16,22,9,4
hard_logreg,corr_logreg,0.95,all_train,0.5682517482517482,19,0.06666666666666667,266,0.9333333333333333,0.8421052631578947,0.21052631578947367,0.9384615384615385,0.22932330827067668,0.7684210526315789,0.7684692671394799,0.743859649122807,0.7440159574468085,0.7291666666666666,0.7588652482269503,105,39,34,107,0.27692307692307694,0.4307692307692308,0.7631578947368421,0.7368421052631579,19,26,14,4
hard_extra,corr_logreg,0.95,all_train,0.6319580419580421,23,0.08070175438596491,262,0.9192982456140351,0.8260869565217391,0.17391304347826086,0.9384615384615385,0.23282442748091603,0.7684210526315789,0.7684692671394799,0.7403508771929824,0.7403959810874705,0.7361111111111112,0.7446808510638298,106,38,36,105,0.27692307692307694,0.4153846153846154,0.7633587786259542,0.732824427480916,18,26,13,4
hard_extra,corr_logreg,0.9,all_train,0.6319580419580421,40,0.14035087719298245,245,0.8596491228070176,0.875,0.125,0.9230769230769231,0.24489795918367346,0.7684210526315789,0.7684692671394799,0.7403508771929824,0.7403959810874705,0.7361111111111112,0.7446808510638298,106,38,36,105,0.27692307692307694,0.4153846153846154,0.7510204081632653,0.7183673469387755,18,26,13,4
