gate_score,gate_target_accept_acc,gate_selection_mode,feature_set,model,train_scope,accept_n,accept_frac,review_n,review_frac,base_accuracy,base_balanced_accuracy,final_accuracy,final_balanced_accuracy,final_specificity_low,final_sensitivity_high,final_tn,final_fp,final_fn,final_tp,accept_accuracy,review_base_accuracy,review_final_accuracy,review_final_sensitivity_high,review_final_specificity_low,rescued_total,hurt_total,rescued_fn,hardcore_final_accuracy,hardcore_rescued,hardcore_hurt
hybrid_overall_then_fn,0.95,raw,raw_plus_review,extra,all_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.9047619047619048,0.7575757575757576,0.7537878787878788,0.7338709677419355,0.7714285714285715,0,1,0,0.26153846153846155,0,1
all_range,0.9,raw,raw_plus_review,extra,review_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.8095238095238095,0.7651515151515151,0.7613636363636364,0.7734375,0.75,0,1,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.9,raw,raw_plus_review,extra,review_train,13,0.0456140350877193,272,0.9543859649122807,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.8461538461538461,0.7647058823529411,0.7610294117647058,0.7461538461538462,0.7746478873239436,0,1,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.9,raw,raw_plus_review,extra,review_train,34,0.11929824561403508,251,0.8807017543859649,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.8823529411764706,0.7529880478087649,0.749003984063745,0.7350427350427351,0.7611940298507462,0,1,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.9,raw,raw_plus_review,extra,review_train,30,0.10526315789473684,255,0.8947368421052632,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.8666666666666667,0.7568627450980392,0.7529411764705882,0.7355371900826446,0.7686567164179104,0,1,0,0.26153846153846155,0,1
upper_low_conf,0.95,raw,raw_plus_review,extra,review_train,58,0.20350877192982456,227,0.7964912280701755,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.9137931034482759,0.7312775330396476,0.7268722466960352,0.7410714285714286,0.7130434782608696,0,1,0,0.26153846153846155,0,1
all_range,0.95,raw,raw_plus_review,extra,review_train,4,0.014035087719298246,281,0.9859649122807017,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.5,0.7722419928825622,0.7686832740213523,0.7753623188405797,0.7622377622377622,0,1,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.95,raw,raw_plus_review,extra,review_train,0,0.0,285,1.0,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,,0.7684210526315789,0.7649122807017544,0.7659574468085106,0.7638888888888888,0,1,0,0.26153846153846155,0,1
hybrid_mean_all_std_abs_fn,0.95,raw,raw_plus_review,extra,review_train,20,0.07017543859649122,265,0.9298245614035088,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.9,0.7584905660377359,0.7547169811320755,0.736,0.7714285714285715,0,1,0,0.26153846153846155,0,1
hybrid_overall_then_fn,0.95,raw,raw_plus_review,extra,review_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7649231678486997,0.7638888888888888,0.7659574468085106,110,34,33,108,0.9047619047619048,0.7575757575757576,0.7537878787878788,0.7338709677419355,0.7714285714285715,0,1,0,0.26153846153846155,0,1
all_range,0.9,raw,raw_outputs,extra,review_train,21,0.07368421052631578,264,0.9263157894736842,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7648492907801419,0.7708333333333334,0.7588652482269503,111,33,34,107,0.8095238095238095,0.7651515151515151,0.7613636363636364,0.765625,0.7573529411764706,1,2,0,0.24615384615384617,0,2
upper_low_conf,0.9,raw,raw_plus_review,rf,review_train,100,0.3508771929824561,185,0.6491228070175439,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7648492907801419,0.7708333333333334,0.7588652482269503,111,33,34,107,0.89,0.7027027027027027,0.6972972972972973,0.6989247311827957,0.6956521739130435,1,2,0,0.26153846153846155,0,1
hybrid_max_allrange_fn,0.9,raw,raw_outputs,gb,review_train,13,0.0456140350877193,272,0.9543859649122807,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7647754137115839,0.7777777777777778,0.75177304964539,112,32,35,106,0.8461538461538461,0.7647058823529411,0.7610294117647058,0.7307692307692307,0.7887323943661971,8,9,1,0.26153846153846155,3,4
all_range,0.95,raw,raw_plus_review,gb,review_train,4,0.014035087719298246,281,0.9859649122807017,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7645537825059102,0.7986111111111112,0.7304964539007093,115,29,38,103,0.5,0.7722419928825622,0.7686832740213523,0.7391304347826086,0.7972027972027972,10,11,1,0.27692307692307694,6,6
hybrid_mean_all_std_abs_fn,0.9,raw,raw_plus_review,gb,review_train,34,0.11929824561403508,251,0.8807017543859649,0.7684210526315789,0.7684692671394799,0.7649122807017544,0.7644799054373523,0.8055555555555556,0.723404255319149,116,28,39,102,0.8823529411764706,0.7529880478087649,0.749003984063745,0.6837606837606838,0.8059701492537313,10,11,1,0.3076923076923077,7,5
upper_low_conf,0.9,raw,raw_outputs,extra,all_train,100,0.3508771929824561,185,0.6491228070175439,0.7684210526315789,0.7684692671394799,0.7614035087719299,0.7613031914893618,0.7708333333333334,0.75177304964539,111,33,35,106,0.89,0.7027027027027027,0.6918918918918919,0.6881720430107527,0.6956521739130435,1,3,0,0.26153846153846155,0,1
