accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,fold_id,threshold,inner_accuracy,inner_balanced_accuracy,inner_auc,inner_f1,inner_sensitivity,inner_specificity,inner_tn,inner_fp,inner_fn,inner_tp,feature_set,model,threshold_mode
0.8947368421052632,0.8947044334975369,0.9261083743842365,0.8928571428571429,0.8928571428571429,0.896551724137931,26,3,3,25,5,0.5449999999999999,0.8157894736842105,0.8154674874951904,0.8254713351288957,0.8073394495412844,0.7787610619469026,0.8521739130434782,98,17,25,88,candidates_only,logreg_c03,f1
0.8421052631578947,0.8405172413793103,0.8743842364532021,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.49,0.8201754385964912,0.8195812807881773,0.8316656403940887,0.8110599078341014,0.7857142857142857,0.853448275862069,99,17,24,88,candidates_only,logreg_c03,bacc_sens80
0.7894736842105263,0.7869458128078818,0.7943349753694582,0.75,0.6428571428571429,0.9310344827586207,27,2,10,18,2,0.48,0.8421052631578947,0.8420931127356676,0.8509426702577915,0.8407079646017699,0.8407079646017699,0.8434782608695652,97,18,18,95,candidates_only,logreg_c03,bacc_sens80
0.8070175438596491,0.8066502463054187,0.8448275862068966,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,3,0.42500000000000004,0.8377192982456141,0.8376683339746056,0.8200846479415158,0.8355555555555556,0.831858407079646,0.8434782608695652,97,18,19,94,candidates_only,logreg_c03,bacc_sens80
0.8070175438596491,0.8066502463054187,0.8374384236453202,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,4,0.5,0.8377192982456141,0.8375144286263948,0.8383224317045017,0.832579185520362,0.8141592920353983,0.8608695652173913,99,16,21,92,candidates_only,logreg_c03,bacc_sens80
0.8947368421052632,0.895320197044335,0.9261083743842365,0.896551724137931,0.9285714285714286,0.8620689655172413,25,4,2,26,5,0.42500000000000004,0.8070175438596491,0.8069257406694883,0.8254713351288957,0.8035714285714286,0.7964601769911505,0.8173913043478261,94,21,23,90,candidates_only,logreg_c03,bacc_sens80
0.8421052631578947,0.8405172413793103,0.8743842364532021,0.8571428571428571,0.9310344827586207,0.75,21,7,2,27,1,0.49,0.8201754385964912,0.8195812807881773,0.8316656403940887,0.8110599078341014,0.7857142857142857,0.853448275862069,99,17,24,88,candidates_only,logreg_c03,acc_sens80
0.7894736842105263,0.7869458128078818,0.7943349753694582,0.75,0.6428571428571429,0.9310344827586207,27,2,10,18,2,0.48,0.8421052631578947,0.8420931127356676,0.8509426702577915,0.8407079646017699,0.8407079646017699,0.8434782608695652,97,18,18,95,candidates_only,logreg_c03,acc_sens80
0.8070175438596491,0.8066502463054187,0.8448275862068966,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,3,0.42500000000000004,0.8377192982456141,0.8376683339746056,0.8200846479415158,0.8355555555555556,0.831858407079646,0.8434782608695652,97,18,19,94,candidates_only,logreg_c03,acc_sens80
0.8070175438596491,0.8066502463054187,0.8374384236453202,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,4,0.5,0.8377192982456141,0.8375144286263948,0.8383224317045017,0.832579185520362,0.8141592920353983,0.8608695652173913,99,16,21,92,candidates_only,logreg_c03,acc_sens80
0.8947368421052632,0.895320197044335,0.9261083743842365,0.896551724137931,0.9285714285714286,0.8620689655172413,25,4,2,26,5,0.42500000000000004,0.8070175438596491,0.8069257406694883,0.8254713351288957,0.8035714285714286,0.7964601769911505,0.8173913043478261,94,21,23,90,candidates_only,logreg_c03,acc_sens80
0.8596491228070176,0.8583743842364532,0.8793103448275862,0.8709677419354839,0.9310344827586207,0.7857142857142857,22,6,2,27,1,0.575,0.8333333333333334,0.8323583743842364,0.8308959359605911,0.8207547169811321,0.7767857142857143,0.8879310344827587,103,13,25,87,candidates_only,logreg_c1,bacc
0.7192982456140351,0.7179802955665024,0.8054187192118227,0.6923076923076923,0.6428571428571429,0.7931034482758621,23,6,10,18,2,0.345,0.8333333333333334,0.8337052712581763,0.8463255098114659,0.8389830508474576,0.8761061946902655,0.7913043478260869,91,24,14,99,candidates_only,logreg_c1,bacc
0.8245614035087719,0.8238916256157636,0.8497536945812808,0.8148148148148148,0.7857142857142857,0.8620689655172413,25,4,6,22,3,0.41000000000000003,0.8289473684210527,0.8289726818006926,0.8180838784147749,0.8281938325991189,0.831858407079646,0.8260869565217391,95,20,19,94,candidates_only,logreg_c1,bacc
0.8070175438596491,0.8066502463054187,0.833743842364532,0.8,0.7857142857142857,0.8275862068965517,24,5,6,22,4,0.53,0.8377192982456141,0.8375144286263948,0.8370142362447096,0.832579185520362,0.8141592920353983,0.8608695652173913,99,16,21,92,candidates_only,logreg_c1,bacc
0.8596491228070176,0.8608374384236454,0.9248768472906405,0.8666666666666667,0.9285714285714286,0.7931034482758621,23,6,2,26,5,0.385,0.8026315789473685,0.8026548672566372,0.8178530203924587,0.801762114537445,0.8053097345132744,0.8,92,23,22,91,candidates_only,logreg_c1,bacc
0.8596491228070176,0.8583743842364532,0.8793103448275862,0.8709677419354839,0.9310344827586207,0.7857142857142857,22,6,2,27,1,0.575,0.8333333333333334,0.8323583743842364,0.8308959359605911,0.8207547169811321,0.7767857142857143,0.8879310344827587,103,13,25,87,candidates_only,logreg_c1,acc
0.7192982456140351,0.7179802955665024,0.8054187192118227,0.6923076923076923,0.6428571428571429,0.7931034482758621,23,6,10,18,2,0.345,0.8333333333333334,0.8337052712581763,0.8463255098114659,0.8389830508474576,0.8761061946902655,0.7913043478260869,91,24,14,99,candidates_only,logreg_c1,acc
