accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,threshold_mode,feature_set
0.8105263157894737,0.8105791962174941,0.8279403073286052,0.8098591549295775,0.8156028368794326,0.8055555555555556,116,28,26,115,hgb_leaf5,acc_sens80,candidates_only
0.8105263157894737,0.8103575650118203,0.8213898739164696,0.8057553956834532,0.7943262411347518,0.8263888888888888,119,25,29,112,extra_d2_l10,bacc_sens80,candidates_plus_raw_outputs
0.8105263157894737,0.8103575650118203,0.8213898739164696,0.8057553956834532,0.7943262411347518,0.8263888888888888,119,25,29,112,extra_d2_l10,acc_sens80,candidates_plus_raw_outputs
0.8105263157894737,0.8103575650118203,0.8209219858156028,0.8057553956834532,0.7943262411347518,0.8263888888888888,119,25,29,112,extra_d3_l8,bacc_sens80,candidates_plus_raw_outputs
0.8105263157894737,0.8103575650118203,0.8209219858156028,0.8057553956834532,0.7943262411347518,0.8263888888888888,119,25,29,112,extra_d3_l8,acc_sens80,candidates_plus_raw_outputs
0.8105263157894737,0.8102836879432624,0.8447596532702917,0.8043478260869565,0.7872340425531915,0.8333333333333334,120,24,30,111,gb_d1_lr05,bacc,candidates_plus_raw_outputs
0.8105263157894737,0.8102836879432624,0.8447596532702917,0.8043478260869565,0.7872340425531915,0.8333333333333334,120,24,30,111,gb_d1_lr05,acc,candidates_plus_raw_outputs
0.8070175438596491,0.8071069739952719,0.8259456264775413,0.8070175438596491,0.8156028368794326,0.7986111111111112,115,29,26,115,gb_d1_lr05,bacc,candidates_only
0.8070175438596491,0.8071069739952719,0.8259456264775413,0.8070175438596491,0.8156028368794326,0.7986111111111112,115,29,26,115,gb_d1_lr05,acc,candidates_only
0.8070175438596491,0.8071069739952719,0.8259456264775413,0.8070175438596491,0.8156028368794326,0.7986111111111112,115,29,26,115,gb_d1_lr05,f1,candidates_only
0.8070175438596491,0.8070330969267139,0.8292700945626477,0.8056537102473498,0.8085106382978723,0.8055555555555556,116,28,27,114,extra_d3_l8,bacc,candidates_only
0.8070175438596491,0.8070330969267139,0.8292700945626477,0.8056537102473498,0.8085106382978723,0.8055555555555556,116,28,27,114,extra_d3_l8,acc,candidates_only
0.8070175438596491,0.8070330969267139,0.8292700945626477,0.8056537102473498,0.8085106382978723,0.8055555555555556,116,28,27,114,extra_d3_l8,f1,candidates_only
0.8070175438596491,0.8070330969267139,0.8209712371946415,0.8056537102473498,0.8085106382978723,0.8055555555555556,116,28,27,114,extra_d2_l10,bacc,candidates_only
0.8070175438596491,0.8070330969267139,0.8209712371946415,0.8056537102473498,0.8085106382978723,0.8055555555555556,116,28,27,114,extra_d2_l10,acc,candidates_only
0.8070175438596491,0.8070330969267139,0.8209712371946415,0.8056537102473498,0.8085106382978723,0.8055555555555556,116,28,27,114,extra_d2_l10,f1,candidates_only
0.8070175438596491,0.8069592198581561,0.8279403073286052,0.8042704626334519,0.8014184397163121,0.8125,117,27,28,113,hgb_leaf5,bacc,candidates_only
0.8070175438596491,0.8069592198581561,0.8279403073286052,0.8042704626334519,0.8014184397163121,0.8125,117,27,28,113,hgb_leaf5,acc,candidates_only
0.8070175438596491,0.8069592198581561,0.8279403073286052,0.8042704626334519,0.8014184397163121,0.8125,117,27,28,113,hgb_leaf5,f1,candidates_only
