n,threshold,accuracy,balanced_accuracy,auc,f1,high_recall,low_specificity,tn,fp,fn,tp,domain,model_tag,feature_set,base_model,threshold_source,n_features
591,0.46686913158087384,0.7123519458544839,0.7283827256775199,0.7833154611035289,0.6755725190839694,0.7937219730941704,0.6630434782608695,244,124,46,177,old_third_meta_oof,qkvb_only__logreg_balanced_l1,qkvb_only,logreg_balanced_l1,old_third_meta_oof_selected,15
591,0.447492121869548,0.7225042301184433,0.7277003314486254,0.7798060050692143,0.6706827309236948,0.7488789237668162,0.7065217391304348,260,108,56,167,old_third_meta_oof,qkvb_roi__random_forest_balanced,qkvb_roi,random_forest_balanced,old_third_meta_oof_selected,190
591,0.5,0.7123519458544839,0.7257323552349386,0.7762660850068239,0.6718146718146718,0.7802690582959642,0.6711956521739131,247,121,49,174,old_third_meta_oof,qkvb_only__extra_trees_balanced,qkvb_only,extra_trees_balanced,fixed_0.5,15
591,0.5027552360726585,0.7258883248730964,0.7224666114252292,0.7833398323259894,0.6610878661087866,0.7085201793721974,0.7364130434782609,271,97,65,158,old_third_meta_oof,qkvb_roi__extra_trees_balanced,qkvb_roi,extra_trees_balanced,old_third_meta_oof_selected,190
591,0.5,0.7225042301184433,0.7197492201208813,0.7833398323259894,0.6583333333333333,0.7085201793721974,0.7309782608695652,269,99,65,158,old_third_meta_oof,qkvb_roi__extra_trees_balanced,qkvb_roi,extra_trees_balanced,fixed_0.5,190
591,0.5,0.7089678510998308,0.7168307662312342,0.7833154611035289,0.6600790513833992,0.7488789237668162,0.6847826086956522,252,116,56,167,old_third_meta_oof,qkvb_only__logreg_balanced_l1,qkvb_only,logreg_balanced_l1,fixed_0.5,15
591,0.5,0.7089678510998308,0.7106465685318775,0.7815241762526808,0.6504065040650406,0.7174887892376681,0.7038043478260869,259,109,63,160,old_third_meta_oof,qkvb_roi__logreg_balanced_l1,qkvb_roi,logreg_balanced_l1,fixed_0.5,190
591,0.5,0.7225042301184433,0.7100311951647496,0.7798060050692143,0.6419213973799127,0.6591928251121076,0.7608695652173914,280,88,76,147,old_third_meta_oof,qkvb_roi__random_forest_balanced,qkvb_roi,random_forest_balanced,fixed_0.5,190
591,0.5,0.7072758037225042,0.7092878728797036,0.7838150711639695,0.6490872210953347,0.7174887892376681,0.7010869565217391,258,110,63,160,old_third_meta_oof,qkvb_only__logreg_balanced_l2,qkvb_only,logreg_balanced_l2,fixed_0.5,15
591,0.43560188866171035,0.7021996615905245,0.7087456131799571,0.7607477091050886,0.6507936507936508,0.7354260089686099,0.6820652173913043,251,117,59,164,old_third_meta_oof,qkvb_roi__logreg_balanced_l2,qkvb_roi,logreg_balanced_l2,old_third_meta_oof_selected,190
591,0.5,0.7089678510998308,0.704462370832521,0.7607477091050886,0.6401673640167364,0.6860986547085202,0.7228260869565217,266,102,70,153,old_third_meta_oof,qkvb_roi__logreg_balanced_l2,qkvb_roi,logreg_balanced_l2,fixed_0.5,190
591,0.5,0.700507614213198,0.7003192630142328,0.7692471729381947,0.6380368098159509,0.6995515695067265,0.7010869565217391,258,110,67,156,old_third_meta_oof,qkvb_only__random_forest_balanced,qkvb_only,random_forest_balanced,fixed_0.5,15
591,0.4148305775250635,0.55668358714044,0.5777624780658999,0.5851896081107428,0.5304659498207885,0.6636771300448431,0.49184782608695654,181,187,75,148,old_third_meta_oof,roi_only__random_forest_balanced,roi_only,random_forest_balanced,old_third_meta_oof_selected,175
591,0.45036954699827436,0.5532994923857868,0.5759285435757457,0.5868102944043673,0.5302491103202847,0.6681614349775785,0.483695652173913,178,190,74,149,old_third_meta_oof,roi_only__extra_trees_balanced,roi_only,extra_trees_balanced,old_third_meta_oof_selected,175
591,0.5,0.5803722504230119,0.5526113764866446,0.5868102944043673,0.44144144144144143,0.43946188340807174,0.6657608695652174,245,123,125,98,old_third_meta_oof,roi_only__extra_trees_balanced,roi_only,extra_trees_balanced,fixed_0.5,175
591,0.5,0.5956006768189509,0.5489374147007213,0.5851896081107428,0.40100250626566414,0.35874439461883406,0.7391304347826086,272,96,143,80,old_third_meta_oof,roi_only__random_forest_balanced,roi_only,random_forest_balanced,fixed_0.5,175
