candidate,objective,selection_split,holdout_used_for_selection,adapt_threshold,adapt_accuracy,adapt_balanced_accuracy,adapt_f1,adapt_tn,adapt_fp,adapt_fn,adapt_tp,adapt_sensitivity_high,adapt_specificity_low,adapt_auc,holdout_threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_sensitivity_high,holdout_specificity_low,holdout_auc
single__12_tta_orig_flip_whole_crop_64style__reviewer_prob_high,balanced_accuracy,third_adapt72_only,0,0.19,0.5833333333333334,0.5551948051948051,0.6666666666666666,12,16,14,30,0.6818181818181818,0.42857142857142855,0.5162337662337662,0.19,0.38461538461538464,0.48415682062298604,0.25,66,130,14,24,0.631578947368421,0.336734693877551,0.5009398496240601
single__08_bgnorm085_whole_crop_64style__route_score,accuracy,third_adapt72_only,0,0.05,0.5694444444444444,0.4659090909090909,0.7256637168141593,0,28,3,41,0.9318181818181818,0.0,0.42613636363636365,0.05,0.18376068376068377,0.4809344790547798,0.2681992337164751,8,188,3,35,0.9210526315789473,0.04081632653061224,0.3501611170784103
single__08_bgnorm085_whole_crop_64style__route_score,high_sens75,third_adapt72_only,0,0.05,0.5694444444444444,0.4659090909090909,0.7256637168141593,0,28,3,41,0.9318181818181818,0.0,0.42613636363636365,0.05,0.18376068376068377,0.4809344790547798,0.2681992337164751,8,188,3,35,0.9210526315789473,0.04081632653061224,0.3501611170784103
single__08_bgnorm085_whole_crop_64style__route_score,high_sens85,third_adapt72_only,0,0.05,0.5694444444444444,0.4659090909090909,0.7256637168141593,0,28,3,41,0.9318181818181818,0.0,0.42613636363636365,0.05,0.18376068376068377,0.4809344790547798,0.2681992337164751,8,188,3,35,0.9210526315789473,0.04081632653061224,0.3501611170784103
single__03_crop_64style__route_score,accuracy,third_adapt72_only,0,0.18,0.6388888888888888,0.5357142857142857,0.7719298245614035,2,26,0,44,1.0,0.07142857142857142,0.5446428571428572,0.18,0.1623931623931624,0.4787862513426423,0.26865671641791045,2,194,2,36,0.9473684210526315,0.01020408163265306,0.4633458646616541
single__03_crop_64style__route_score,high_sens75,third_adapt72_only,0,0.18,0.6388888888888888,0.5357142857142857,0.7719298245614035,2,26,0,44,1.0,0.07142857142857142,0.5446428571428572,0.18,0.1623931623931624,0.4787862513426423,0.26865671641791045,2,194,2,36,0.9473684210526315,0.01020408163265306,0.4633458646616541
single__03_crop_64style__route_score,high_sens85,third_adapt72_only,0,0.18,0.6388888888888888,0.5357142857142857,0.7719298245614035,2,26,0,44,1.0,0.07142857142857142,0.5446428571428572,0.18,0.1623931623931624,0.4787862513426423,0.26865671641791045,2,194,2,36,0.9473684210526315,0.01020408163265306,0.4633458646616541
single__08_bgnorm085_whole_crop_64style__route_score,balanced_accuracy,third_adapt72_only,0,0.8599999999999999,0.4583333333333333,0.5568181818181818,0.20408163265306123,28,0,39,5,0.11363636363636363,1.0,0.42613636363636365,0.8599999999999999,0.7991452991452992,0.4770408163265306,0.0,187,9,38,0,0.0,0.9540816326530612,0.3501611170784103
single__12_tta_orig_flip_whole_crop_64style__route_score,balanced_accuracy,third_adapt72_only,0,0.615,0.4583333333333333,0.5243506493506493,0.3389830508474576,23,5,34,10,0.22727272727272727,0.8214285714285714,0.461038961038961,0.615,0.7264957264957265,0.4761009667024705,0.1111111111111111,166,30,34,4,0.10526315789473684,0.8469387755102041,0.29900644468313636
meta__logreg_balanced_c1,balanced_accuracy,third_adapt72_only,0,0.3,0.9027777777777778,0.8814935064935066,0.9247311827956989,22,6,1,43,0.9772727272727273,0.7857142857142857,0.9326298701298701,0.3,0.3504273504273504,0.4743555316863588,0.24752475247524752,57,139,13,25,0.6578947368421053,0.29081632653061223,0.5197368421052632
