score,target,accept_n,accept_frac,review_frac,accept_acc,accept_bacc,accept_sens,accept_spec,tn,fp,fn,tp,review_error_precision,error_recall,fn_recall,hard_recall
all_range,0.95,21,0.07368421052631578,0.9263157894736842,0.8095238095238095,0.611111111111111,0.8888888888888888,0.3333333333333333,1,2,2,16,0.23484848484848486,0.9393939393939394,0.9375,0.9384615384615385
upper_predlow_pupper,0.95,20,0.07017543859649122,0.9298245614035088,0.8,0.5,0.0,1.0,16,0,4,0,0.2339622641509434,0.9393939393939394,0.875,0.9384615384615385
learn_upper_fn_logreg,0.95,4,0.014035087719298246,0.9859649122807017,0.75,0.5,0.0,1.0,3,0,1,0,0.2313167259786477,0.9848484848484849,0.96875,1.0
max_absdiff_to_upper,0.95,23,0.08070175438596491,0.9192982456140351,0.6956521739130435,0.5197368421052632,0.7894736842105263,0.25,1,3,4,15,0.22519083969465647,0.8939393939393939,0.875,0.8923076923076924
learn_upper_wrong_logreg,0.95,6,0.021052631578947368,0.9789473684210527,0.6666666666666666,0.75,0.5,1.0,2,0,2,2,0.22939068100358423,0.9696969696969697,0.9375,1.0
predlow_disagree_mean,0.95,2,0.007017543859649123,0.9929824561403509,0.5,0.5,0.0,1.0,1,0,1,0,0.22968197879858657,0.9848484848484849,0.96875,0.9846153846153847
learn_upper_fn_rf,0.95,2,0.007017543859649123,0.9929824561403509,0.5,0.5,1.0,0.0,0,1,0,1,0.22968197879858657,0.9848484848484849,1.0,0.9846153846153847
predlow_range,0.95,3,0.010526315789473684,0.9894736842105263,0.3333333333333333,0.5,0.0,1.0,1,0,2,0,0.22695035460992907,0.9696969696969697,0.9375,0.9692307692307692
predlow_ensemble_mean,0.95,0,0.0,1.0,,,,,0,0,0,0,0.23157894736842105,1.0,1.0,1.0
predlow_ensemble_median,0.95,0,0.0,1.0,,,,,0,0,0,0,0.23157894736842105,1.0,1.0,1.0
learn_hard_core_logreg,0.95,0,0.0,1.0,,,,,0,0,0,0,0.23157894736842105,1.0,1.0,1.0
learn_upper_fn_extra,0.95,0,0.0,1.0,,,,,0,0,0,0,0.23157894736842105,1.0,1.0,1.0
learn_upper_fn_gb,0.95,0,0.0,1.0,,,,,0,0,0,0,0.23157894736842105,1.0,1.0,1.0
