profile,model_kind,repeat_adapt,threshold_objective,threshold,task_l6_label,n,correct,accuracy
adapt150_high_focus,logreg_0.003,2,accuracy,0.71,B2,7,2,0.2857142857142857
adapt150_high_focus,logreg_0.003,2,accuracy,0.71,TC,11,6,0.5454545454545454
adapt150_high_focus,logreg_0.003,4,balanced_accuracy,0.62,AB,132,110,0.8333333333333334
adapt150_high_focus,logreg_0.003,4,balanced_accuracy,0.62,B1,6,5,0.8333333333333334
adapt150_high_focus,logreg_0.003,4,balanced_accuracy,0.62,B2,7,3,0.42857142857142855
adapt150_high_focus,logreg_0.003,4,balanced_accuracy,0.62,TC,11,8,0.7272727272727273
adapt150_high_focus,logreg_0.003,4,accuracy,0.62,AB,132,110,0.8333333333333334
adapt150_high_focus,logreg_0.003,4,accuracy,0.62,B1,6,5,0.8333333333333334
adapt150_high_focus,logreg_0.003,4,accuracy,0.62,B2,7,3,0.42857142857142855
adapt150_high_focus,logreg_0.003,4,accuracy,0.62,TC,11,8,0.7272727272727273
adapt150_high_focus,extratrees_3,1,balanced_accuracy,0.5199999999999999,AB,132,120,0.9090909090909091
adapt150_high_focus,extratrees_3,1,balanced_accuracy,0.5199999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,extratrees_3,1,balanced_accuracy,0.5199999999999999,B2,7,2,0.2857142857142857
adapt150_high_focus,extratrees_3,1,balanced_accuracy,0.5199999999999999,TC,11,4,0.36363636363636365
adapt150_high_focus,extratrees_3,1,accuracy,0.5199999999999999,AB,132,120,0.9090909090909091
adapt150_high_focus,extratrees_3,1,accuracy,0.5199999999999999,B1,6,4,0.6666666666666666
adapt150_high_focus,extratrees_3,1,accuracy,0.5199999999999999,B2,7,2,0.2857142857142857
adapt150_high_focus,extratrees_3,1,accuracy,0.5199999999999999,TC,11,4,0.36363636363636365
adapt150_high_focus,extratrees_3,2,balanced_accuracy,0.48999999999999994,AB,132,92,0.696969696969697
adapt150_high_focus,extratrees_3,2,balanced_accuracy,0.48999999999999994,B1,6,1,0.16666666666666666
adapt150_high_focus,extratrees_3,2,balanced_accuracy,0.48999999999999994,B2,7,5,0.7142857142857143
adapt150_high_focus,extratrees_3,2,balanced_accuracy,0.48999999999999994,TC,11,10,0.9090909090909091
adapt150_high_focus,extratrees_3,2,accuracy,0.5399999999999999,AB,132,126,0.9545454545454546
adapt150_high_focus,extratrees_3,2,accuracy,0.5399999999999999,B1,6,6,1.0
adapt150_high_focus,extratrees_3,2,accuracy,0.5399999999999999,B2,7,2,0.2857142857142857
adapt150_high_focus,extratrees_3,2,accuracy,0.5399999999999999,TC,11,4,0.36363636363636365
