candidate,variant,model_kind,repeat_adapt,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc,selection_score,error
pca32__logreg_0.0003__r2,pca32,logreg_0.0003,2.0,balanced_accuracy,0.49999999999999994,0.6442577030812325,0.6430703959773727,0.6631299734748011,105.0,67.0,60.0,125.0,0.7000942803268385,0.6385964912280702,0.638815011820331,0.643598615916955,89.0,55.0,48.0,93.0,0.695133963750985,0.6666666666666666,0.6493506493506493,0.7272727272727273,16.0,12.0,12.0,32.0,0.7061688311688312,0.7222222222222222,0.6644736842105263,0.4036697247706422,147.0,49.0,16.0,22.0,0.7686627282491945,0.7479132838990191,
pca32__logreg_0.0003__r2,pca32,logreg_0.0003,2.0,accuracy,0.49999999999999994,0.6442577030812325,0.6430703959773727,0.6631299734748011,105.0,67.0,60.0,125.0,0.7000942803268385,0.6385964912280702,0.638815011820331,0.643598615916955,89.0,55.0,48.0,93.0,0.695133963750985,0.6666666666666666,0.6493506493506493,0.7272727272727273,16.0,12.0,12.0,32.0,0.7061688311688312,0.7222222222222222,0.6644736842105263,0.4036697247706422,147.0,49.0,16.0,22.0,0.7686627282491945,0.7479132838990191,
pca32__logreg_0.0003__r4,pca32,logreg_0.0003,4.0,balanced_accuracy,0.49999999999999994,0.6358543417366946,0.6368007542426146,0.6348314606741573,114.0,58.0,72.0,113.0,0.688340666247643,0.6280701754385964,0.6275118203309693,0.6044776119402985,98.0,46.0,60.0,81.0,0.6798167848699762,0.6666666666666666,0.6493506493506493,0.7272727272727273,16.0,12.0,12.0,32.0,0.6842532467532467,0.6965811965811965,0.6809881847475833,0.4132231404958678,138.0,58.0,13.0,25.0,0.7624865735767992,0.7353314196120129,
pca32__logreg_0.0003__r4,pca32,logreg_0.0003,4.0,accuracy,0.49999999999999994,0.6358543417366946,0.6368007542426146,0.6348314606741573,114.0,58.0,72.0,113.0,0.688340666247643,0.6280701754385964,0.6275118203309693,0.6044776119402985,98.0,46.0,60.0,81.0,0.6798167848699762,0.6666666666666666,0.6493506493506493,0.7272727272727273,16.0,12.0,12.0,32.0,0.6842532467532467,0.6965811965811965,0.6809881847475833,0.4132231404958678,138.0,58.0,13.0,25.0,0.7624865735767992,0.7353314196120129,
pca32__logreg_0.001__r1,pca32,logreg_0.001,1.0,balanced_accuracy,0.49999999999999994,0.6470588235294118,0.6457730986800754,0.6666666666666666,105.0,67.0,59.0,126.0,0.7055311125078566,0.6596491228070176,0.659943853427896,0.6666666666666666,91.0,53.0,44.0,97.0,0.7208924349881797,0.5972222222222222,0.5795454545454546,0.6666666666666666,14.0,14.0,15.0,29.0,0.6112012987012987,0.7393162393162394,0.6746777658431794,0.41904761904761906,151.0,45.0,16.0,22.0,0.756578947368421,0.6868993374981748,
pca32__logreg_0.001__r1,pca32,logreg_0.001,1.0,accuracy,0.49999999999999994,0.6470588235294118,0.6457730986800754,0.6666666666666666,105.0,67.0,59.0,126.0,0.7055311125078566,0.6596491228070176,0.659943853427896,0.6666666666666666,91.0,53.0,44.0,97.0,0.7208924349881797,0.5972222222222222,0.5795454545454546,0.6666666666666666,14.0,14.0,15.0,29.0,0.6112012987012987,0.7393162393162394,0.6746777658431794,0.41904761904761906,151.0,45.0,16.0,22.0,0.756578947368421,0.6868993374981748,
pca32__logreg_0.001__r2,pca32,logreg_0.001,2.0,balanced_accuracy,0.5099999999999999,0.6022408963585434,0.6080452545568825,0.538961038961039,132.0,40.0,102.0,83.0,0.6780326838466374,0.6105263157894737,0.6085992907801419,0.5194805194805194,114.0,30.0,81.0,60.0,0.6747438928289992,0.5694444444444444,0.5827922077922079,0.5974025974025974,18.0,10.0,21.0,23.0,0.6582792207792207,0.8162393162393162,0.6781686358754028,0.45569620253164556,173.0,23.0,20.0,18.0,0.7712137486573577,0.684229860561256,
pca32__logreg_0.001__r2,pca32,logreg_0.001,2.0,accuracy,0.4799999999999999,0.6106442577030813,0.5994028912633564,0.7073684210526315,50.0,122.0,17.0,168.0,0.6780326838466374,0.5894736842105263,0.5926418439716312,0.6829268292682927,42.0,102.0,15.0,126.0,0.6747438928289992,0.6944444444444444,0.6201298701298701,0.7924528301886793,8.0,20.0,2.0,42.0,0.6582792207792207,0.45726495726495725,0.6548066595059077,0.36180904522613067,71.0,125.0,2.0,36.0,0.7712137486573577,0.6940438751337603,
pca32__logreg_0.001__r4,pca32,logreg_0.001,4.0,balanced_accuracy,0.49999999999999994,0.6330532212885154,0.6328724072910119,0.6430517711171662,108.0,64.0,67.0,118.0,0.6631363922061595,0.6175438596491228,0.6172429078014184,0.6036363636363636,93.0,51.0,58.0,83.0,0.6538613081166273,0.6944444444444444,0.6655844155844155,0.7608695652173914,15.0,13.0,9.0,35.0,0.6599025974025974,0.7051282051282052,0.6860902255639099,0.42016806722689076,140.0,56.0,13.0,25.0,0.763157894736842,0.7240647896587961,
pca32__logreg_0.001__r4,pca32,logreg_0.001,4.0,accuracy,0.49999999999999994,0.6330532212885154,0.6328724072910119,0.6430517711171662,108.0,64.0,67.0,118.0,0.6631363922061595,0.6175438596491228,0.6172429078014184,0.6036363636363636,93.0,51.0,58.0,83.0,0.6538613081166273,0.6944444444444444,0.6655844155844155,0.7608695652173914,15.0,13.0,9.0,35.0,0.6599025974025974,0.7051282051282052,0.6860902255639099,0.42016806722689076,140.0,56.0,13.0,25.0,0.763157894736842,0.7240647896587961,
pca32__logreg_0.003__r1,pca32,logreg_0.003,1.0,balanced_accuracy,0.49999999999999994,0.6862745098039216,0.6856536769327467,0.6989247311827957,115.0,57.0,55.0,130.0,0.7234129478315525,0.6912280701754386,0.6912677304964538,0.6901408450704225,99.0,45.0,43.0,98.0,0.7311859732072499,0.6666666666666666,0.6493506493506493,0.7272727272727273,16.0,12.0,12.0,32.0,0.6785714285714285,0.7393162393162394,0.6746777658431794,0.41904761904761906,151.0,45.0,16.0,22.0,0.757921589688507,0.7649624239159123,
