accuracy,balanced_accuracy,auc,ap,f1,precision,recall,tn,fp,fn,tp,threshold,top10_precision,top10_recall,top20_precision,top20_recall,top30_precision,top30_recall,top38_precision,top38_recall,top65_precision,top65_recall,top80_precision,top80_recall,top100_precision,top100_recall,run_name,target,feature_set,classifier,positives,top47_precision,top47_recall,top27_precision,top27_recall
0.9473684210526315,0.9716981132075472,0.9952830188679246,0.9572851966873708,0.7272727272727273,0.5714285714285714,1.0,250,15,0,20,0.49999999999999994,1.0,0.5,0.85,0.85,0.6333333333333333,0.95,0.5263157894736842,1.0,,,0.25,1.0,0.2,1.0,best41_fp__gross_hand_model__logreg,best41_fp,gross_hand_model,logreg,20,,,,
0.9368421052631579,0.9660377358490566,0.9950943396226415,0.95649154589372,0.6896551724137931,0.5263157894736842,1.0,247,18,0,20,0.4799999999999999,1.0,0.5,0.85,0.85,0.6333333333333333,0.95,0.5263157894736842,1.0,,,0.25,1.0,0.2,1.0,best41_fp__gross_text_hand_model__logreg,best41_fp,gross_text_hand_model,logreg,20,,,,
0.9824561403508771,0.9443396226415095,0.9737735849056603,0.9159951671206306,0.8780487804878049,0.8571428571428571,0.9,262,3,2,18,0.4499999999999999,1.0,0.5,0.9,0.9,0.6,0.9,0.47368421052631576,0.9,,,0.2375,0.95,0.19,0.95,best41_fp__gross_hand_model__extra,best41_fp,gross_hand_model,extra,20,,,,
0.8491228070175438,0.8726415094339623,0.9350943396226414,0.7798800006559532,0.45569620253164556,0.3050847457627119,0.9,224,41,2,18,0.36999999999999994,1.0,0.5,0.7,0.7,0.4666666666666667,0.7,0.39473684210526316,0.75,,,0.225,0.9,0.18,0.9,best41_fp__model_visible__extra,best41_fp,model_visible,extra,20,,,,
0.968421052631579,0.8212264150943396,0.8594339622641509,0.7047296532721609,0.7428571428571429,0.8666666666666667,0.65,263,2,7,13,0.5499999999999999,1.0,0.5,0.65,0.65,0.43333333333333335,0.65,0.3684210526315789,0.7,,,0.175,0.7,0.14,0.7,best41_fp__gross_text_hand_model__extra,best41_fp,gross_text_hand_model,extra,20,,,,
0.7614035087719299,0.8254716981132075,0.8786792452830189,0.46049392668877953,0.34615384615384615,0.21428571428571427,0.9,199,66,2,18,0.4499999999999999,0.5,0.25,0.35,0.35,0.3333333333333333,0.5,0.34210526315789475,0.65,,,0.225,0.9,0.18,0.9,best41_fp__gross_text_hand__extra,best41_fp,gross_text_hand,extra,20,,,,
0.9087719298245615,0.9509433962264151,0.9371698113207547,0.4045130180389098,0.6060606060606061,0.43478260869565216,1.0,239,26,0,20,0.49999999999999994,0.3,0.15,0.35,0.35,0.36666666666666664,0.55,0.3684210526315789,0.7,,,0.25,1.0,0.2,1.0,best41_fp__gross_text_hand__logreg_c1,best41_fp,gross_text_hand,logreg_c1,20,,,,
0.9052631578947369,0.9490566037735849,0.9445283018867924,0.40251741040765543,0.5970149253731343,0.425531914893617,1.0,238,27,0,20,0.49999999999999994,0.2,0.1,0.3,0.3,0.43333333333333335,0.65,0.4473684210526316,0.85,,,0.25,1.0,0.2,1.0,best41_fp__gross_hand__extra,best41_fp,gross_hand,extra,20,,,,
0.9087719298245615,0.9509433962264151,0.9360377358490566,0.3981557710969594,0.6060606060606061,0.43478260869565216,1.0,239,26,0,20,0.6,0.3,0.15,0.3,0.3,0.3333333333333333,0.5,0.39473684210526316,0.75,,,0.25,1.0,0.2,1.0,best41_fp__gross_text_hand__logreg,best41_fp,gross_text_hand,logreg,20,,,,
0.9087719298245615,0.9509433962264151,0.935754716981132,0.3652807971014493,0.6060606060606061,0.43478260869565216,1.0,239,26,0,20,0.6499999999999999,0.2,0.1,0.3,0.3,0.3333333333333333,0.5,0.4473684210526316,0.85,,,0.25,1.0,0.2,1.0,best41_fp__gross_hand__logreg,best41_fp,gross_hand,logreg,20,,,,
0.9087719298245615,0.9509433962264151,0.935754716981132,0.3652807971014493,0.6060606060606061,0.43478260869565216,1.0,239,26,0,20,0.5599999999999999,0.2,0.1,0.3,0.3,0.3333333333333333,0.5,0.4473684210526316,0.85,,,0.25,1.0,0.2,1.0,best41_fp__gross_hand__logreg_c1,best41_fp,gross_hand,logreg_c1,20,,,,
0.8982456140350877,0.8297169811320755,0.8281132075471699,0.3433831659311959,0.5084745762711864,0.38461538461538464,0.75,241,24,5,15,0.57,0.3,0.15,0.35,0.35,0.36666666666666664,0.55,0.39473684210526316,0.75,,,0.2,0.8,0.16,0.8,best41_fp__model_visible__logreg,best41_fp,model_visible,logreg,20,,,,
0.8947368421052632,0.8278301886792453,0.8177358490566038,0.31263310328587046,0.5,0.375,0.75,240,25,5,15,0.49999999999999994,0.3,0.15,0.35,0.35,0.4,0.6,0.3684210526315789,0.7,,,0.1875,0.75,0.16,0.8,best41_fp__model_visible__logreg_c1,best41_fp,model_visible,logreg_c1,20,,,,
0.887719298245614,0.569811320754717,0.5390566037735849,0.18234391331732835,0.2,0.2,0.2,249,16,16,4,0.49999999999999994,0.4,0.2,0.2,0.2,0.13333333333333333,0.2,0.10526315789473684,0.2,,,0.075,0.3,0.08,0.4,best41_fp__gross_text__extra,best41_fp,gross_text,extra,20,,,,
0.37894736842105264,0.5735849056603773,0.589622641509434,0.1022820687676761,0.15311004784688995,0.08465608465608465,0.8,92,173,4,16,0.27999999999999997,0.1,0.05,0.15,0.15,0.13333333333333333,0.2,0.10526315789473684,0.2,,,0.0875,0.35,0.09,0.45,best41_fp__gross_text__logreg_c1,best41_fp,gross_text,logreg_c1,20,,,,
0.6035087719298246,0.5787735849056603,0.5715094339622642,0.096755275454903,0.16296296296296298,0.09565217391304348,0.55,161,104,9,11,0.41999999999999993,0.1,0.05,0.1,0.1,0.13333333333333333,0.2,0.10526315789473684,0.2,,,0.0875,0.35,0.08,0.4,best41_fp__gross_text__logreg,best41_fp,gross_text,logreg,20,,,,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,238,0,0,47,0.49999999999999994,1.0,0.2127659574468085,1.0,0.425531914893617,1.0,0.6382978723404256,1.0,0.8085106382978723,,,0.5875,1.0,0.47,1.0,best41_wrong__gross_hand__logreg,best41_wrong,gross_hand,logreg,47,1.0,1.0,,
