policy,score_name,extra_rate,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,control_n,control_rate,extra_captured_wrong_n,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n
v50_plus_rank_ood,image_plus_model_isolation_forest,0.025,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,image_plus_model_isolation_forest,0.05,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,435,0.7360406091370558,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_isolation_forest,0.05,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,79,0.7314814814814815,0,29,14,15,3
v50_plus_rank_ood,image_plus_model_isolation_forest,0.075,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,440,0.7445008460236887,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_isolation_forest,0.075,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,80,0.7407407407407407,0,29,14,15,3
v50_plus_rank_ood,image_plus_model_isolation_forest,0.1,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,445,0.7529610829103215,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_isolation_forest,0.1,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,81,0.75,0,29,14,15,3
v50_plus_rank_ood,image_plus_model_isolation_forest,0.125,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,451,0.7631133671742809,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_isolation_forest,0.125,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,83,0.7685185185185185,0,29,14,15,3
v50_plus_rank_ood,image_plus_model_isolation_forest,0.15,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,453,0.766497461928934,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_isolation_forest,0.15,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,85,0.7870370370370371,0,29,14,15,3
v50_plus_rank_ood,image_plus_model_isolation_forest,0.2,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,460,0.7783417935702199,0,84,32,52,7
v50_plus_rank_ood,image_plus_model_isolation_forest,0.2,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,88,0.8148148148148148,0,29,14,15,3
