rule_name,signal,mode,threshold,eval_domain,n,flip_n,flip_rate,base_errors,final_errors,net_errors_reduced,rescued_n,hurt_n,rescued_fn,rescued_fp,hurt_to_fn,hurt_to_fp,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,final_n,final_accuracy,final_balanced_accuracy,final_f1,final_sensitivity_high,final_specificity_low,final_tn,final_fp,final_fn,final_tp,final_auc
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.889460,single:v143_pca_any,pred_low_only,0.8894598356751687,all_three_domains,696,12,0.017241379310344827,177,185,-8,2,10,2,0,0,10,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.7341954022988506,0.7414971309337506,0.693200663349917,0.774074074074074,0.7089201877934272,302,124,61,209,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.892186,single:v143_pca_any,pred_low_only,0.892185866443206,old_data,285,5,0.017543859649122806,61,64,-3,1,4,1,0,0,4,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.775438596491228,0.7761524822695036,0.7880794701986755,0.8439716312056738,0.7083333333333334,102,42,22,119,0.8737687155240348
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.892186,single:v143_pca_any,pred_low_only,0.892185866443206,third_batch,306,6,0.0196078431372549,65,69,-4,1,5,1,0,0,5,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7745098039215687,0.7493466898954704,0.6229508196721312,0.6951219512195121,0.8035714285714286,180,44,25,57,0.818270905923345
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.892186,single:v143_pca_any,pred_low_only,0.892185866443206,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.892186,single:v143_pca_any,pred_low_only,0.892185866443206,all_three_domains,696,11,0.015804597701149427,177,184,-7,2,9,2,0,0,9,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.735632183908046,0.7426708398539384,0.6943521594684385,0.774074074074074,0.7112676056338029,303,123,61,209,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.909915,single:v143_pca_any,pred_low_only,0.9099153009160182,old_data,285,2,0.007017543859649123,61,61,0,1,1,1,0,0,1,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7859649122807018,0.7865691489361701,0.7959866220735786,0.8439716312056738,0.7291666666666666,105,39,22,119,0.8737687155240348
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.909915,single:v143_pca_any,pred_low_only,0.9099153009160182,third_batch,306,4,0.013071895424836602,65,67,-2,1,3,1,0,0,3,306,0.7875816993464052,0.7544098432055749,0.632768361581921,0.6829268292682927,0.8258928571428571,185,39,26,56,0.818270905923345,306,0.7810457516339869,0.7538109756097561,0.6298342541436464,0.6951219512195121,0.8125,182,42,25,57,0.818270905923345
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.909915,single:v143_pca_any,pred_low_only,0.9099153009160182,strict_external,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.909915,single:v143_pca_any,pred_low_only,0.9099153009160182,all_three_domains,696,6,0.008620689655172414,177,179,-2,2,4,2,0,0,4,696,0.7456896551724138,0.7495305164319249,0.700507614213198,0.7666666666666667,0.7323943661971831,312,114,63,207,0.8353069031472786,696,0.742816091954023,0.7485393844548773,0.7001675041876047,0.774074074074074,0.7230046948356808,308,118,61,209,0.8353069031472786
prob_mean_core|single:v143_pca_any|pred_low_only|t=0.909975,single:v143_pca_any,pred_low_only,0.9099754203761676,old_data,285,2,0.007017543859649123,61,61,0,1,1,1,0,0,1,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7859649122807018,0.7865691489361701,0.7959866220735786,0.8439716312056738,0.7291666666666666,105,39,22,119,0.8737687155240348
