score,recall_target,model,train_scope,pass_n,pass_frac,pass_acc,hardlike_n,hard_recall,hard_precision,base_acc,base_bacc,final_acc,final_bacc,final_auc,final_sens,final_spec,final_tn,final_fp,final_fn,final_tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,feature_set
review_score_learn_hard_core_extra,0.6,logreg,all_train,166,0.5824561403508772,0.8373493975903614,119,0.5846153846153846,0.31932773109243695,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.77201536643026,0.8310185185185185,0.7801418439716312,0.7638888888888888,110,34,31,110,0.27692307692307694,0.36923076923076925,16,15,10,4,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.8,extra,flag_train,74,0.2596491228070175,0.8378378378378378,211,0.7846153846153846,0.24170616113744076,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.77201536643026,0.7893518518518519,0.7801418439716312,0.7638888888888888,110,34,31,110,0.27692307692307694,0.27692307692307694,1,0,0,0,raw_plus_review_gross
review_score_learn_hard_core_extra,0.6,logreg,flag_train,166,0.5824561403508772,0.8373493975903614,119,0.5846153846153846,0.31932773109243695,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.7718676122931443,0.8477639873916469,0.7659574468085106,0.7777777777777778,112,32,33,108,0.27692307692307694,0.36923076923076925,20,19,10,4,raw_plus_review_gross
review_score_upper_low_conf,0.6,gb,all_train,162,0.5684210526315789,0.8271604938271605,123,0.6461538461538462,0.34146341463414637,0.7684210526315789,0.7684692671394799,0.7719298245614035,0.7717937352245863,0.8328161938534279,0.7588652482269503,0.7847222222222222,113,31,34,107,0.27692307692307694,0.3230769230769231,10,9,7,4,raw_plus_review_gross
review_score_learn_hard_core_extra,0.8,extra,flag_train,79,0.2771929824561403,0.8481012658227848,206,0.8153846153846154,0.25728155339805825,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8174251379038614,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.26153846153846155,1,1,0,1,raw_plus_review_gross
review_score_upper_low_conf,0.7,extra,flag_train,142,0.4982456140350877,0.852112676056338,143,0.7076923076923077,0.32167832167832167,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8169818754925138,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review
review_score_hybrid_max_allrange_fn,0.6,extra,all_train,159,0.5578947368421052,0.8616352201257862,126,0.6153846153846154,0.31746031746031744,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8169326241134751,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.7,extra,all_train,129,0.45263157894736844,0.8682170542635659,156,0.7230769230769231,0.30128205128205127,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8135835303388496,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review_gross
review_score_hybrid_max_allrange_fn,0.6,extra,all_train,159,0.5578947368421052,0.8616352201257862,126,0.6153846153846154,0.31746031746031744,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.812105988967691,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review
review_score_hybrid_max_allrange_fn,0.7,extra,all_train,129,0.45263157894736844,0.8682170542635659,156,0.7230769230769231,0.30128205128205127,0.7684210526315789,0.7684692671394799,0.7684210526315789,0.7684692671394799,0.8104314420803783,0.7730496453900709,0.7638888888888888,110,34,32,109,0.27692307692307694,0.27692307692307694,0,0,0,0,raw_plus_review
