model,objective,threshold,split,auc,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp
extra_trees_domain_weighted,domain_worst_bacc,0.3549999999999998,development_oof,0.8964344901540261,0.8324873096446701,0.8381019691947749,0.8609865470852018,0.8152173913043478,0.7384615384615385,0.7950310559006212,300,68,31,192
extra_trees_domain_weighted,domain_worst_bacc,0.3549999999999998,external_strict_frozen,0.6184164632019533,0.5925925925925926,0.5905127310777817,0.574468085106383,0.6065573770491803,0.5294117647058824,0.5510204081632654,37,24,20,27
extra_trees_domain_weighted,domain_worst_bacc,0.3549999999999998,development_oof:old,0.9389775413711584,0.8982456140350877,0.8985667848699763,0.9290780141843972,0.8680555555555556,0.8733333333333333,0.9003436426116839,125,19,10,131
extra_trees_domain_weighted,domain_worst_bacc,0.3549999999999998,development_oof:third,0.8137521777003484,0.7712418300653595,0.7625762195121951,0.7439024390243902,0.78125,0.5545454545454546,0.6354166666666667,175,49,21,61
extra_trees_domain_weighted,sensitivity90,0.22999999999999993,development_oof,0.8964344901540261,0.7174280879864636,0.7536617761746929,0.9013452914798207,0.6059782608695652,0.5809248554913294,0.7065026362038663,223,145,22,201
extra_trees_domain_weighted,sensitivity90,0.22999999999999993,external_strict_frozen,0.6184164632019533,0.5370370370370371,0.5755144750610395,0.8723404255319149,0.2786885245901639,0.4823529411764706,0.6212121212121212,17,44,6,41
extra_trees_domain_weighted,sensitivity90,0.22999999999999993,development_oof:old,0.9389775413711584,0.7614035087719299,0.7633717494089834,0.950354609929078,0.5763888888888888,0.6871794871794872,0.7976190476190477,83,61,7,134
extra_trees_domain_weighted,sensitivity90,0.22999999999999993,development_oof:third,0.8137521777003484,0.6764705882352942,0.7210365853658536,0.8170731707317073,0.625,0.44370860927152317,0.575107296137339,140,84,15,67
rf_domain_weighted,bacc,0.4999999999999998,development_oof,0.8983963735620978,0.8697123519458545,0.8573917917722753,0.8071748878923767,0.907608695652174,0.8411214953271028,0.8237986270022883,334,34,43,180
rf_domain_weighted,bacc,0.4999999999999998,external_strict_frozen,0.6438786187652599,0.6296296296296297,0.6110917335193582,0.46808510638297873,0.7540983606557377,0.5945945945945946,0.5238095238095238,46,15,25,22
rf_domain_weighted,bacc,0.4999999999999998,development_oof:old,0.9370567375886525,0.9228070175438596,0.9227245862884161,0.9148936170212766,0.9305555555555556,0.9280575539568345,0.9214285714285715,134,10,12,129
rf_domain_weighted,bacc,0.4999999999999998,development_oof:third,0.8199586236933797,0.8202614379084967,0.757404181184669,0.6219512195121951,0.8928571428571429,0.68,0.6496815286624205,200,24,31,51
rf_domain_weighted,domain_worst_bacc,0.4549999999999998,development_oof,0.8983963735620978,0.8629441624365483,0.8554908364203548,0.8251121076233184,0.8858695652173914,0.8141592920353983,0.8195991091314032,326,42,39,184
rf_domain_weighted,domain_worst_bacc,0.4549999999999998,external_strict_frozen,0.6438786187652599,0.6203703703703703,0.6028950122078829,0.46808510638297873,0.7377049180327869,0.5789473684210527,0.5176470588235293,45,16,25,22
rf_domain_weighted,domain_worst_bacc,0.4549999999999998,development_oof:old,0.9370567375886525,0.9157894736842105,0.9157801418439716,0.9148936170212766,0.9166666666666666,0.9148936170212766,0.9148936170212766,132,12,12,129
rf_domain_weighted,domain_worst_bacc,0.4549999999999998,development_oof:third,0.8199586236933797,0.8137254901960784,0.7684015679442509,0.6707317073170732,0.8660714285714286,0.6470588235294118,0.658682634730539,194,30,27,55
rf_domain_weighted,sensitivity90,0.17499999999999993,development_oof,0.8983963735620978,0.7241962774957699,0.7590965587833887,0.9013452914798207,0.6168478260869565,0.5877192982456141,0.7115044247787612,227,141,22,201
rf_domain_weighted,sensitivity90,0.17499999999999993,external_strict_frozen,0.6438786187652599,0.5648148148148148,0.6049877921171957,0.9148936170212766,0.29508196721311475,0.5,0.6466165413533835,18,43,4,43
