ranker,split,budget,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,review_n,review_rate,captured_p2_wrong_n,captured_p2_wrong_rate,missed_p2_wrong_n,review_on_p2_correct_n,review_precision_vs_p2_error,random_accuracy_mean,random_accuracy_sd,random_balanced_accuracy_mean,random_balanced_accuracy_sd,random_captured_p2_wrong_rate_mean,random_captured_p2_wrong_rate_sd,random_review_precision_vs_p2_error_mean,random_review_precision_vs_p2_error_sd,random_fn_mean,random_fn_sd,random_fp_mean,random_fp_sd
low_main_margin,development,0.05,0.8646362098138748,0.8656841002144667,0.8699551569506726,0.8614130434782609,0.7918367346938775,0.8290598290598289,317.0,51.0,29.0,194.0,30.0,0.050761421319796954,11.0,0.12087912087912088,80.0,19.0,0.36666666666666664,,,,,,,,,,,,
low_main_margin,external,0.05,0.7129629629629629,0.7092779909312871,0.6808510638297872,0.7377049180327869,0.6666666666666666,0.6736842105263158,45.0,16.0,15.0,32.0,5.0,0.046296296296296294,1.0,0.03125,31.0,4.0,0.2,,,,,,,,,,,,
low_main_margin,development,0.075,0.8781725888324873,0.8800874926886333,0.8878923766816144,0.8722826086956522,0.8081632653061225,0.8461538461538461,321.0,47.0,25.0,198.0,44.0,0.07445008460236886,19.0,0.2087912087912088,72.0,25.0,0.4318181818181818,,,,,,,,,,,,
low_main_margin,external,0.075,0.7129629629629629,0.7092779909312871,0.6808510638297872,0.7377049180327869,0.6666666666666666,0.6736842105263158,45.0,16.0,15.0,32.0,8.0,0.07407407407407407,1.0,0.03125,31.0,7.0,0.125,,,,,,,,,,,,
low_main_margin,development,0.1,0.8815566835871405,0.883688340807175,0.8923766816143498,0.875,0.8122448979591836,0.8504273504273504,322.0,46.0,24.0,199.0,59.0,0.09983079526226735,21.0,0.23076923076923078,70.0,38.0,0.3559322033898305,,,,,,,,,,,,
low_main_margin,external,0.1,0.7129629629629629,0.7092779909312871,0.6808510638297872,0.7377049180327869,0.6666666666666666,0.6736842105263158,45.0,16.0,15.0,32.0,11.0,0.10185185185185185,1.0,0.03125,31.0,10.0,0.09090909090909091,,,,,,,,,,,,
low_main_margin,development,0.125,0.8934010152284264,0.894082667186586,0.8968609865470852,0.8913043478260869,0.8333333333333334,0.8639308855291578,328.0,40.0,23.0,200.0,74.0,0.12521150592216582,28.0,0.3076923076923077,63.0,46.0,0.3783783783783784,,,,,,,,,,,,
low_main_margin,external,0.125,0.7129629629629629,0.7092779909312871,0.6808510638297872,0.7377049180327869,0.6666666666666666,0.6736842105263158,45.0,16.0,15.0,32.0,14.0,0.12962962962962962,1.0,0.03125,31.0,13.0,0.07142857142857142,,,,,,,,,,,,
low_main_margin,development,0.15,0.8984771573604061,0.8981587541431079,0.8968609865470852,0.8994565217391305,0.8438818565400844,0.8695652173913044,331.0,37.0,23.0,200.0,89.0,0.1505922165820643,31.0,0.34065934065934067,60.0,58.0,0.34831460674157305,,,,,,,,,,,,
low_main_margin,external,0.15,0.7129629629629629,0.7092779909312871,0.6808510638297872,0.7377049180327869,0.6666666666666666,0.6736842105263158,45.0,16.0,15.0,32.0,16.0,0.14814814814814814,1.0,0.03125,31.0,15.0,0.0625,,,,,,,,,,,,
low_main_margin,development,0.175,0.9035532994923858,0.9022348410996296,0.8968609865470852,0.907608695652174,0.8547008547008547,0.87527352297593,334.0,34.0,23.0,200.0,103.0,0.17428087986463622,34.0,0.37362637362637363,57.0,69.0,0.3300970873786408,,,,,,,,,,,,
low_main_margin,external,0.175,0.7222222222222222,0.7174747122427625,0.6808510638297872,0.7540983606557377,0.6808510638297872,0.6808510638297872,46.0,15.0,15.0,32.0,19.0,0.17592592592592593,2.0,0.0625,30.0,17.0,0.10526315789473684,,,,,,,,,,,,
