accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,pca_components,feature_set
0.8245614035087719,0.8242464539007093,0.8125000000000001,0.8175182481751825,0.7943262411347518,0.8541666666666666,123,21,29,112,logreg_c03,4,corrected_plus_embedding
0.8245614035087719,0.8241725768321513,0.8360667848699763,0.8161764705882353,0.7872340425531915,0.8611111111111112,124,20,30,111,hgb_leaf3,8,rawtop_corrected_plus_embedding
0.8245614035087719,0.8241725768321513,0.8180654058313632,0.8161764705882353,0.7872340425531915,0.8611111111111112,124,20,30,111,logreg_c03,16,corrected_plus_embedding
0.8245614035087719,0.8241725768321513,0.8160460992907802,0.8161764705882353,0.7872340425531915,0.8611111111111112,124,20,30,111,logreg_c01,16,corrected_plus_embedding
0.8210526315789474,0.820848108747045,0.8304275019700551,0.8158844765342961,0.8014184397163121,0.8402777777777778,121,23,28,113,hgb_leaf3,16,corrected_plus_embedding
0.8210526315789474,0.820848108747045,0.8135342789598109,0.8158844765342961,0.8014184397163121,0.8402777777777778,121,23,28,113,hgb_leaf3,8,corrected_plus_embedding
0.8210526315789474,0.8207003546099291,0.8374704491725768,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,logreg_c003,32,corrected_plus_embedding
0.8210526315789474,0.8207003546099291,0.8206264775413711,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,logreg_c03,16,rawtop_corrected_plus_embedding
0.8210526315789474,0.8207003546099291,0.8091509062253742,0.8131868131868132,0.7872340425531915,0.8541666666666666,123,21,30,111,hgb_leaf3,4,corrected_plus_embedding
0.8175438596491228,0.8174497635933806,0.8044966509062255,0.8142857142857143,0.8085106382978723,0.8263888888888888,119,25,27,114,gb_d1_lr05,4,corrected_plus_embedding
0.8175438596491228,0.8173758865248227,0.8313632781717888,0.8129496402877698,0.8014184397163121,0.8333333333333334,120,24,28,113,hgb_leaf3,64,corrected_plus_embedding
0.8175438596491228,0.8172281323877069,0.8382584712371948,0.8102189781021898,0.7872340425531915,0.8472222222222222,122,22,30,111,logreg_c003,32,rawtop_corrected_plus_embedding
0.8175438596491228,0.8172281323877069,0.8223995271867612,0.8102189781021898,0.7872340425531915,0.8472222222222222,122,22,30,111,logreg_c03,4,rawtop_corrected_plus_embedding
0.8175438596491228,0.8170803782505911,0.8364854215918046,0.8074074074074075,0.7730496453900709,0.8611111111111112,124,20,32,109,hgb_leaf3,4,rawtop_corrected_plus_embedding
0.8140350877192982,0.8139775413711583,0.8407210401891253,0.8113879003558719,0.8085106382978723,0.8194444444444444,118,26,27,114,logreg_c03,32,rawtop_corrected_plus_embedding
0.8140350877192982,0.8138297872340425,0.8343183609141057,0.8086642599277978,0.7943262411347518,0.8333333333333334,120,24,29,112,logreg_c003,64,corrected_plus_embedding
0.8140350877192982,0.8137559101654847,0.8403270291568163,0.8072727272727273,0.7872340425531915,0.8402777777777778,121,23,30,111,hgb_leaf3,16,rawtop_corrected_plus_embedding
0.8140350877192982,0.8137559101654847,0.8382584712371947,0.8072727272727273,0.7872340425531915,0.8402777777777778,121,23,30,111,logreg_c01,32,corrected_plus_embedding
0.8105263157894737,0.8104314420803782,0.8419523246650906,0.8071428571428572,0.8014184397163121,0.8194444444444444,118,26,28,113,logreg_c03,32,corrected_plus_embedding
0.8070175438596491,0.8067375886524824,0.8333825847123719,0.8,0.7801418439716312,0.8333333333333334,120,24,31,110,logreg_c003,64,rawtop_corrected_plus_embedding
0.8,0.7997931442080378,0.8294917257683214,0.7942238267148014,0.7801418439716312,0.8194444444444444,118,26,31,110,logreg_c01,64,corrected_plus_embedding
0.7894736842105263,0.7893764775413712,0.8263396375098502,0.7857142857142857,0.7801418439716312,0.7986111111111112,115,29,31,110,logreg_c01,64,rawtop_corrected_plus_embedding
