align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
none,64,0.8870271444320679,extra_d5,maxsim,none,balanced_accuracy,0.48999999999999994,0.5995862884160756,0.6,0.5995862884160756,0.5808823529411765,92,52,62,79,0.62677304964539,0.5370370370370371,0.5315660969654691,0.4791666666666667,35,26,24,23,0.5737704918032787,0.5333333333333333,0.5291636096845195,0.4842105263157895,33,25,24,23,0.5678650036683786
coral,64,0.8868201971054077,extra_d5,maxsim,none,balanced_accuracy,0.4499999999999999,0.5305851063829787,0.5263157894736842,0.5305851063829787,0.6616541353383458,18,126,9,132,0.5252659574468085,0.48148148148148145,0.533658876874782,0.6111111111111112,8,53,3,44,0.4994768050226718,0.4857142857142857,0.5284299339691856,0.6197183098591549,7,51,3,44,0.48349229640498903
coral,128,0.9673839807510376,extra_d5,none,p85,balanced_accuracy,0.48999999999999994,0.5130762411347518,0.512280701754386,0.5130762411347518,0.5442622950819672,63,81,58,83,0.4989657210401891,0.5185185185185185,0.5347052668294384,0.543859649122807,25,36,16,31,0.5441227764213463,0.5142857142857142,0.5280630961115187,0.5486725663716814,23,35,16,31,0.5385179750550257
coral,200,0.9931665658950806,extra_d5,none,p90,balanced_accuracy,0.5399999999999999,0.5048020094562647,0.5087719298245614,0.5048020094562647,0.20454545454545456,127,17,123,18,0.4720744680851064,0.5833333333333334,0.5286013254272759,0.18181818181818182,58,3,42,5,0.4782002092779909,0.5714285714285714,0.5273294203961849,0.18181818181818182,55,3,42,5,0.46955245781364635
mean,64,0.8869842290878296,extra_d5,none,none,balanced_accuracy,0.5099999999999999,0.6023936170212766,0.6035087719298246,0.6023936170212766,0.5533596837944664,102,42,71,70,0.6527285263987391,0.5370370370370371,0.5291245204046041,0.46808510638297873,36,25,25,22,0.5043599581444018,0.5333333333333333,0.5271460014673515,0.4731182795698925,34,24,25,22,0.5
coral,128,0.9674028158187866,extra_d5,none,p90,balanced_accuracy,0.4799999999999999,0.5596926713947991,0.5578947368421052,0.5596926713947991,0.6204819277108434,56,88,38,103,0.5750098502758078,0.5,0.5378444366934078,0.5909090909090909,15,46,8,39,0.5420299965120334,0.49523809523809526,0.526962582538518,0.5954198473282443,13,45,8,39,0.5370506236243581
mean,32,0.7666721343994141,extra_d5,none,none,balanced_accuracy,0.49999999999999994,0.6069739952718676,0.6070175438596491,0.6069739952718676,0.6028368794326241,88,56,56,85,0.6312056737588653,0.5277777777777778,0.5306941053365888,0.5048543689320388,31,30,21,26,0.5322636902685735,0.5238095238095238,0.5265957446808511,0.5098039215686274,29,29,21,26,0.5183418928833455
coral,64,0.8868939280509949,extra_d5,none,p90,balanced_accuracy,0.5199999999999999,0.5483894799054374,0.5508771929824562,0.5483894799054374,0.4074074074074074,113,31,97,44,0.5307821118991333,0.5648148148148148,0.5317404952912452,0.3561643835616438,48,13,34,13,0.5364492500871991,0.5523809523809524,0.5262289068231841,0.3561643835616438,45,13,34,13,0.5249449743213499
none,128,0.9673743844032288,logreg_c1,none,none,balanced_accuracy,0.10999999999999999,0.6536643026004728,0.6526315789473685,0.6536643026004728,0.6816720257234726,80,64,35,106,0.6666666666666667,0.5277777777777778,0.5184862225322637,0.45161290322580644,36,25,26,21,0.4897104987792117,0.5333333333333333,0.5251283932501833,0.46153846153846156,35,23,26,21,0.4937637564196625
diag,32,0.7664138674736023,extra_d5,none,none,balanced_accuracy,0.49999999999999994,0.6068262411347518,0.6070175438596491,0.6068262411347518,0.5971223021582733,90,54,58,83,0.6247537431048069,0.5277777777777778,0.5282525287757238,0.49504950495049505,32,29,22,25,0.5455179630275548,0.5238095238095238,0.524578136463683,0.5,30,28,22,25,0.5381511371973587
none,32,0.7665177583694458,logreg_c01,none,p80,balanced_accuracy,0.4599999999999999,0.6287677304964538,0.6280701754385964,0.6287677304964538,0.6490066225165563,81,63,43,98,0.6460795902285263,0.5277777777777778,0.5282525287757238,0.49504950495049505,32,29,22,25,0.5026159748866411,0.5238095238095238,0.524578136463683,0.5,30,28,22,25,0.49082905355832723
coral,128,0.9674180746078491,rf_d5,top5sim,none,balanced_accuracy,0.43999999999999995,0.5331708037825059,0.5298245614035088,0.5331708037825059,0.6417112299465241,31,113,21,120,0.485372340425532,0.48148148148148145,0.5287757237530519,0.6,10,51,5,42,0.5399372166027205,0.4857142857142857,0.5243947175348496,0.6086956521739131,9,49,5,42,0.5359501100513573
none,64,0.8867768049240112,logreg_c001,maxsim,none,balanced_accuracy,0.5199999999999999,0.6311317966903074,0.631578947368421,0.6311317966903074,0.6125461254612546,97,47,58,83,0.6364755713159969,0.5555555555555556,0.5308685036623648,0.4,44,17,31,16,0.5629577956051621,0.5428571428571428,0.5236610418195158,0.4,41,17,31,16,0.5528246515040351
none,64,0.8869379758834839,logreg_c001,top5sim,none,balanced_accuracy,0.5199999999999999,0.6559544917257684,0.656140350877193,0.6559544917257684,0.6474820143884892,97,47,51,90,0.6758274231678487,0.5462962962962963,0.5324380885943495,0.449438202247191,39,22,27,20,0.5465643529822114,0.5333333333333333,0.5231107850330154,0.449438202247191,36,22,27,20,0.5370506236243581
