n,base_accuracy,base_balanced_accuracy,base_auc,auto_n,auto_rate,review_n,review_rate,fp_flip_n,fn_review_n,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp,auto_auc,system_if_review_corrected_n,system_if_review_corrected_accuracy,system_if_review_corrected_balanced_accuracy,system_if_review_corrected_f1,system_if_review_corrected_sensitivity_high,system_if_review_corrected_specificity_low,system_if_review_corrected_tn,system_if_review_corrected_fp,system_if_review_corrected_fn,system_if_review_corrected_tp,system_if_review_corrected_auc,base_candidate,base_threshold,base_selection_score,fn_signal,fn_threshold,fp_low_signal,fp_threshold,scope
591,87.48%,87.03%,91.62%,556,94.08%,35,5.92%,0,35,0,0,0,0,0,0,88.13%,88.17%,0.852017937219731,0.8837209302325582,0.8797653958944281,300,41,25,190,0.9217281593125554,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.0774945269633817,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,556,94.08%,35,5.92%,0,35,0,0,0,0,0,0,88.13%,88.17%,0.852017937219731,0.8837209302325582,0.8797653958944281,300,41,25,190,0.9217281593125554,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.09606984729921865,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,556,94.08%,35,5.92%,0,35,0,0,0,0,0,0,88.13%,88.17%,0.852017937219731,0.8837209302325582,0.8797653958944281,300,41,25,190,0.9217281593125554,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,stack_gb_d2_multiview,0.22377677631433102,stack_gb_d2_multiview,0.1290604217046331,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,523,88.49%,68,11.51%,1,68,0,1,0,0,1,0,87.38%,87.52%,0.8513513513513513,0.883177570093458,0.8673139158576052,268,41,25,189,0.9191165350996583,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.9145666796646519,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,prob_mean_core,0.4773824647710958,prob_mean_core,0.1159437982541614,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,523,88.49%,68,11.51%,1,68,0,1,0,0,1,0,87.38%,87.52%,0.8513513513513513,0.883177570093458,0.8673139158576052,268,41,25,189,0.9195550917944532,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.9150662897250926,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,prob_mean_core,0.4773824647710958,robust_prob,0.12004962132072165,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,515,87.14%,76,12.86%,0,76,0,0,0,0,0,0,87.18%,87.35%,0.852017937219731,0.8837209302325582,0.8633333333333333,259,41,25,190,0.9203875968992248,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.5893121113673006,stack_gb_d2_multiview,0.0489054291630551,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,515,87.14%,76,12.86%,0,76,0,0,0,0,0,0,87.18%,87.35%,0.852017937219731,0.8837209302325582,0.8633333333333333,259,41,25,190,0.9203875968992248,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.5893121113673006,stack_gb_d2_multiview,0.0601600491975303,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,515,87.14%,76,12.86%,0,76,0,0,0,0,0,0,87.18%,87.35%,0.852017937219731,0.8837209302325582,0.8633333333333333,259,41,25,190,0.9203875968992248,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.5893121113673006,stack_gb_d2_multiview,0.0774945269633817,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,515,87.14%,76,12.86%,0,76,0,0,0,0,0,0,87.18%,87.35%,0.852017937219731,0.8837209302325582,0.8633333333333333,259,41,25,190,0.9203875968992248,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.5893121113673006,stack_gb_d2_multiview,0.09606984729921865,internal_old_third_rule_selected
591,87.48%,87.03%,91.62%,515,87.14%,76,12.86%,0,76,0,0,0,0,0,0,87.18%,87.35%,0.852017937219731,0.8837209302325582,0.8633333333333333,259,41,25,190,0.9203875968992248,591,88.83%,88.82%,0.8571428571428571,0.8878923766816144,0.8885869565217391,327,41,25,198,0.916162994735816,stack_gb_d2_multiview,0.30999999999999994,0.870302446870735,wholecrop_prob,0.5893121113673006,stack_gb_d2_multiview,0.1290604217046331,internal_old_third_rule_selected
