safe_rate_target,review_rate_target,clear_auto_n,clear_auto_rate,middle_auto_n,middle_auto_rate,review_n,review_rate,clear_wrong_n,middle_wrong_n,review_captured_wrong_n,workflow_accuracy,workflow_balanced_accuracy,workflow_sensitivity,workflow_specificity,workflow_precision,workflow_f1,workflow_tn,workflow_fp,workflow_fn,workflow_tp,clear_n,clear_accuracy,clear_balanced_accuracy,clear_sensitivity,clear_specificity,clear_fn,clear_fp,middle_n,middle_accuracy,middle_balanced_accuracy,middle_sensitivity,middle_specificity,middle_precision,middle_f1,middle_tn,middle_fp,middle_fn,middle_tp,auto_all_n,auto_all_accuracy,auto_all_balanced_accuracy,auto_all_sensitivity,auto_all_specificity,auto_all_precision,auto_all_f1,auto_all_tn,auto_all_fp,auto_all_fn,auto_all_tp,split,clear_precision,clear_f1,clear_tn,clear_tp
0.0,0.25,0,0.0,443,0.7495769881556683,148,0.25042301184433163,0,42,49,0.9289340101522843,0.9164310781828816,0.8654708520179372,0.967391304347826,0.9414634146341463,0.9018691588785046,356,12,30,193,0,,,,,0,0,443,0.9051918735891648,0.8860550942401476,0.8148148148148148,0.9572953736654805,0.9166666666666666,0.8627450980392156,269.0,12,30,132.0,443,0.9051918735891648,0.8860550942401476,0.8148148148148148,0.9572953736654805,0.9166666666666666,0.8627450980392156,269,12,30,132,development,,,,
0.0,0.275,0,0.0,428,0.7241962774957699,163,0.27580372250423013,0,42,49,0.9289340101522843,0.9164310781828816,0.8654708520179372,0.967391304347826,0.9414634146341463,0.9018691588785046,356,12,30,193,0,,,,,0,0,428,0.9018691588785047,0.8823183773239007,0.8089171974522293,0.955719557195572,0.9136690647482014,0.8581081081081081,259.0,12,30,127.0,428,0.9018691588785047,0.8823183773239007,0.8089171974522293,0.955719557195572,0.9136690647482014,0.8581081081081081,259,12,30,127,development,,,,
0.0,0.3,0,0.0,414,0.700507614213198,177,0.29949238578680204,0,39,52,0.934010152284264,0.9231575355819848,0.8789237668161435,0.967391304347826,0.9423076923076923,0.9095127610208815,356,12,27,196,0,,,,,0,0,414,0.9057971014492754,0.8867544637204001,0.8187919463087249,0.9547169811320755,0.9104477611940298,0.8621908127208481,253.0,12,27,122.0,414,0.9057971014492754,0.8867544637204001,0.8187919463087249,0.9547169811320755,0.9104477611940298,0.8621908127208481,253,12,27,122,development,,,,
0.0,0.325,0,0.0,399,0.6751269035532995,192,0.3248730964467005,0,37,54,0.937394247038917,0.9267583837005264,0.8834080717488789,0.970108695652174,0.9471153846153846,0.9141531322505799,357,11,26,197,0,,,,,0,0,399,0.9072681704260651,0.8881535947712418,0.8194444444444444,0.9568627450980393,0.9147286821705426,0.8644688644688644,244.0,11,26,118.0,399,0.9072681704260651,0.8881535947712418,0.8194444444444444,0.9568627450980393,0.9147286821705426,0.8644688644688644,244,11,26,118,development,,,,
0.0,0.35,0,0.0,384,0.649746192893401,207,0.350253807106599,0,34,57,0.9424703891708968,0.9334848410996296,0.8968609865470852,0.970108695652174,0.9478672985781991,0.9216589861751152,357,11,23,200,0,,,,,0,0,384,0.9114583333333334,0.8943089430894309,0.8333333333333334,0.9552845528455285,0.9126984126984127,0.8712121212121212,235.0,11,23,115.0,384,0.9114583333333334,0.8943089430894309,0.8333333333333334,0.9552845528455285,0.9126984126984127,0.8712121212121212,235,11,23,115,development,,,,
0.0,0.375,0,0.0,369,0.6243654822335025,222,0.3756345177664975,0,33,58,0.9441624365482234,0.9348435367518035,0.8968609865470852,0.9728260869565217,0.9523809523809523,0.9237875288683602,358,10,23,200,0,,,,,0,0,369,0.9105691056910569,0.8939819490027772,0.8308823529411765,0.9570815450643777,0.9186991869918699,0.8725868725868727,223.0,10,23,113.0,369,0.9105691056910569,0.8939819490027772,0.8308823529411765,0.9570815450643777,0.9186991869918699,0.8725868725868727,223,10,23,113,development,,,,
0.0,0.4,0,0.0,355,0.6006768189509306,236,0.3993231810490694,0,32,59,0.9458544839255499,0.9362022324039774,0.8968609865470852,0.9755434782608695,0.9569377990430622,0.9259259259259259,359,9,23,200,0,,,,,0,0,355,0.9098591549295775,0.8943602693602694,0.8296296296296296,0.9590909090909091,0.9256198347107438,0.875,211.0,9,23,112.0,355,0.9098591549295775,0.8943602693602694,0.8296296296296296,0.9590909090909091,0.9256198347107438,0.875,211,9,23,112,development,,,,
0.0,0.425,0,0.0,340,0.5752961082910322,251,0.42470389170896783,0,29,62,0.9509306260575296,0.9420452329888866,0.905829596412556,0.9782608695652174,0.9619047619047619,0.9330254041570438,360,8,21,202,0,,,,,0,0,340,0.9147058823529411,0.8996473051912268,0.8372093023255814,0.9620853080568721,0.9310344827586207,0.8816326530612245,203.0,8,21,108.0,340,0.9147058823529411,0.8996473051912268,0.8372093023255814,0.9620853080568721,0.9310344827586207,0.8816326530612245,203,8,21,108,development,,,,
0.0,0.45,0,0.0,325,0.5499153976311336,266,0.4500846023688663,0,28,63,0.9526226734348562,0.9442873854552545,0.9103139013452914,0.9782608695652174,0.9620853080568721,0.935483870967742,360,8,20,203,0,,,,,0,0,325,0.9138461538461539,0.898328353387709,0.8360655737704918,0.9605911330049262,0.9272727272727272,0.8793103448275862,195.0,8,20,102.0,325,0.9138461538461539,0.898328353387709,0.8360655737704918,0.9605911330049262,0.9272727272727272,0.8793103448275862,195,8,20,102,development,,,,
0.0,0.475,0,0.0,310,0.5245346869712352,281,0.4754653130287648,0,27,64,0.9543147208121827,0.9465295379216221,0.9147982062780269,0.9782608695652174,0.9622641509433962,0.9379310344827586,360,8,19,204,0,,,,,0,0,310,0.9129032258064517,0.8986581920903955,0.8389830508474576,0.9583333333333334,0.9252336448598131,0.88,184.0,8,19,99.0,310,0.9129032258064517,0.8986581920903955,0.8389830508474576,0.9583333333333334,0.9252336448598131,0.88,184,8,19,99,development,,,,
