profile,mode,repeat_adapt,C,threshold,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_auc,holdout_tn,holdout_fp,holdout_fn,holdout_tp,train_n_old,train_n_adapt,holdout_n,oof_accuracy,oof_balanced_accuracy,oof_f1,oof_auc,oof_tn,oof_fp,oof_fn,oof_tp
adapt96_high_focus,old_plus_adapt_logreg,4,0.003,0.3499999999999999,0.580952380952381,0.656578947368421,0.2542372881355932,0.728421052631579,107,83,5,15,285.0,96.0,210.0,0.6640419947506562,0.6542868212763602,0.7180616740088106,0.6921459013671334,90.0,88.0,40.0,163.0
adapt72_high_focus,old_plus_adapt_logreg,1,0.003,0.38999999999999996,0.6196581196581197,0.6562835660580022,0.3776223776223776,0.7185821697099891,118,78,11,27,285.0,72.0,234.0,0.7030812324929971,0.6981929604022628,0.7439613526570048,0.7524198617221872,97.0,75.0,31.0,154.0
adapt72_balanced,old_plus_adapt_logreg,2,0.03,0.41999999999999993,0.6452991452991453,0.6561054579093433,0.42758620689655175,0.7075624421831638,120,68,15,31,285.0,72.0,234.0,0.6330532212885154,0.6333804143126177,0.6449864498644986,0.6790646578782172,107.0,73.0,58.0,119.0
adapt72_high_focus,old_plus_adapt_logreg,12,0.003,0.61,0.7435897435897436,0.6560150375939849,0.4,0.7048872180451129,154,42,18,20,285.0,72.0,234.0,0.6834733893557423,0.6864236329352609,0.6646884272997032,0.7225644248900064,132.0,40.0,73.0,112.0
adapt60_balanced,old_plus_adapt_logreg,4,0.001,0.4599999999999999,0.6788617886178862,0.6556304520222046,0.44755244755244755,0.7369151467089612,135,59,20,32,285.0,60.0,246.0,0.6231884057971014,0.6237144585601936,0.6428571428571429,0.6653895274584929,98.0,76.0,54.0,117.0
adapt48_balanced,old_plus_adapt_logreg,12,0.001,0.5099999999999999,0.6937984496124031,0.655603448275862,0.46258503401360546,0.7263793103448276,145,55,24,34,285.0,48.0,258.0,0.6186186186186187,0.618452380952381,0.6092307692307692,0.6476911976911978,107.0,61.0,66.0,99.0
adapt84_balanced,old_plus_adapt_logreg,8,0.003,0.6499999999999999,0.7702702702702703,0.6550824175824176,0.42696629213483145,0.720467032967033,152,30,21,19,285.0,84.0,222.0,0.6720867208672087,0.6709853692931429,0.6182965299684543,0.7193724660673365,150.0,36.0,85.0,98.0
adapt48_balanced,old_plus_adapt_logreg,1,0.001,0.4499999999999999,0.6821705426356589,0.6542241379310345,0.4605263157894737,0.7547413793103449,141,59,23,35,285.0,48.0,258.0,0.6546546546546547,0.6554112554112554,0.6796657381615598,0.7057359307359308,96.0,72.0,43.0,122.0
adapt72_balanced,old_plus_adapt_logreg,4,0.0003,0.42999999999999994,0.6025641025641025,0.6541396854764108,0.422360248447205,0.7875809435707677,107,81,12,34,285.0,72.0,234.0,0.6442577030812325,0.6455743879472693,0.6909975669099757,0.6975517890772128,88.0,92.0,35.0,142.0
adapt96_high_focus,old_plus_adapt_logreg,1,0.003,0.38999999999999996,0.5761904761904761,0.6539473684210526,0.25210084033613445,0.7339473684210526,106,84,5,15,285.0,96.0,210.0,0.6535433070866141,0.6444346045275917,0.7066666666666667,0.6964354901201084,90.0,88.0,44.0,159.0
adapt60_balanced,old_plus_adapt_logreg,4,0.003,0.3999999999999999,0.6422764227642277,0.6535487708168121,0.4430379746835443,0.7091593973037272,123,71,17,35,285.0,60.0,246.0,0.6463768115942029,0.6472070982052833,0.675531914893617,0.6882772064260269,96.0,78.0,44.0,127.0
adapt84_balanced,old_plus_adapt_logreg,1,0.001,0.49999999999999994,0.7342342342342343,0.6526098901098901,0.4158415841584158,0.7420329670329671,142,40,19,21,285.0,84.0,222.0,0.6883468834688347,0.6883483165873436,0.6866485013623979,0.7442564192960809,128.0,58.0,57.0,126.0
adapt84_balanced,old_plus_adapt_logreg,1,0.003,0.63,0.7972972972972973,0.6520604395604396,0.43037974683544306,0.7214285714285714,160,22,23,17,285.0,84.0,222.0,0.6693766937669376,0.66834126564428,0.61875,0.731153416769493,148.0,38.0,84.0,99.0
adapt96_high_focus,old_plus_adapt_logreg,1,0.01,0.73,0.8142857142857143,0.6513157894736842,0.3157894736842105,0.7147368421052631,162,28,11,9,285.0,96.0,210.0,0.6535433070866141,0.6641528754082029,0.6071428571428571,0.7212597553550673,147.0,31.0,101.0,102.0
adapt72_balanced,old_plus_adapt_logreg,4,0.03,0.32999999999999996,0.6111111111111112,0.6512488436632747,0.42038216560509556,0.7080249768732655,110,78,13,33,285.0,72.0,234.0,0.6274509803921569,0.6281544256120527,0.6545454545454545,0.6765536723163842,98.0,82.0,51.0,126.0
adapt72_high_focus,old_plus_adapt_logreg,12,0.0003,0.42999999999999994,0.6111111111111112,0.6511815252416756,0.3724137931034483,0.7255639097744362,116,80,11,27,285.0,72.0,234.0,0.6834733893557423,0.6798868636077939,0.7182044887780549,0.7034883720930232,100.0,72.0,41.0,144.0
adapt84_balanced,old_plus_adapt_logreg,4,0.01,0.57,0.7297297297297297,0.6498626373626374,0.4117647058823529,0.7112637362637363,141,41,19,21,285.0,84.0,222.0,0.6639566395663956,0.6634496738938833,0.6395348837209303,0.7290968917092662,135.0,51.0,73.0,110.0
adapt72_balanced,old_plus_adapt_logreg,1,0.01,0.61,0.7393162393162394,0.648936170212766,0.42990654205607476,0.7162349676225718,150,38,23,23,285.0,72.0,234.0,0.6750700280112045,0.6744350282485876,0.6463414634146342,0.708286252354049,135.0,45.0,71.0,106.0
adapt72_high_focus,old_plus_adapt_logreg,2,1.0,0.30999999999999994,0.6410256410256411,0.6478249194414608,0.373134328358209,0.6897153598281417,125,71,13,25,285.0,72.0,234.0,0.6834733893557423,0.681112507856694,0.7095115681233933,0.7298240100565683,106.0,66.0,47.0,138.0
adapt72_high_focus,old_plus_adapt_logreg,8,0.01,0.49999999999999994,0.6752136752136753,0.6470193340494093,0.3770491803278688,0.7005907626208379,135,61,15,23,285.0,72.0,234.0,0.6498599439775911,0.6490886235072282,0.6648793565683646,0.6911690760527971,108.0,64.0,61.0,124.0
adapt72_high_focus,old_plus_adapt_logreg,8,0.3,0.5599999999999999,0.6923076923076923,0.6466165413533835,0.3793103448275862,0.6895810955961332,140,56,16,22,285.0,72.0,234.0,0.6582633053221288,0.658218101822753,0.6666666666666666,0.7154619736015085,113.0,59.0,63.0,122.0
adapt84_balanced,old_plus_adapt_logreg,2,0.3,0.43999999999999995,0.6756756756756757,0.6461538461538461,0.4,0.6912087912087912,126,56,16,24,285.0,84.0,222.0,0.6585365853658537,0.6587784241142253,0.6666666666666666,0.7110876079675656,117.0,69.0,57.0,126.0
adapt72_high_focus,old_plus_adapt_logreg,12,1.0,0.6399999999999999,0.7264957264957265,0.6458109559613319,0.38461538461538464,0.6902524167561762,150,46,18,20,285.0,72.0,234.0,0.6358543417366946,0.6368007542426146,0.6348314606741573,0.6759270898805783,114.0,58.0,72.0,113.0
adapt72_balanced,old_plus_adapt_logreg,8,0.3,0.42999999999999994,0.6282051282051282,0.6454671600370028,0.4161073825503356,0.6961147086031452,116,72,15,31,285.0,72.0,234.0,0.680672268907563,0.6806497175141243,0.6779661016949152,0.7279347143753924,123.0,57.0,57.0,120.0
adapt72_high_focus,old_plus_adapt_logreg,1,0.01,0.6,0.7435897435897436,0.6454081632653061,0.3877551020408163,0.705827067669173,155,41,19,19,285.0,72.0,234.0,0.7058823529411765,0.7070238843494657,0.704225352112676,0.7380263984915147,127.0,45.0,60.0,125.0
adapt72_high_focus,old_plus_adapt_logreg,2,0.1,0.7,0.7435897435897436,0.6454081632653061,0.3877551020408163,0.6934747583243823,155,41,19,19,285.0,72.0,234.0,0.6694677871148459,0.6718887492143306,0.6549707602339181,0.7266813324952859,127.0,45.0,73.0,112.0
adapt72_high_focus,old_plus_adapt_logreg,8,0.1,0.73,0.7435897435897436,0.6454081632653061,0.3877551020408163,0.6897153598281419,155,41,19,19,285.0,72.0,234.0,0.6582633053221288,0.6620993086109366,0.6280487804878049,0.7087994971715901,132.0,40.0,82.0,103.0
adapt84_balanced,old_plus_adapt_logreg,2,0.01,0.36999999999999994,0.6261261261261262,0.6451923076923077,0.39416058394160586,0.7098901098901099,112,70,13,27,285.0,84.0,222.0,0.6666666666666666,0.6675921029437687,0.6992665036674817,0.7149656266525648,103.0,83.0,40.0,143.0
adapt96_high_focus,old_plus_adapt_logreg,12,0.001,0.63,0.7619047619047619,0.6447368421052632,0.2857142857142857,0.7402631578947368,150,40,10,10,285.0,96.0,210.0,0.6220472440944882,0.6304450102396635,0.5862068965517241,0.6781978192284275,135.0,43.0,101.0,102.0
adapt72_high_focus,old_plus_adapt_logreg,4,0.01,0.7,0.7777777777777778,0.6446025778732546,0.3953488372093023,0.7024704618689581,165,31,21,17,285.0,72.0,234.0,0.6414565826330533,0.6460873664362037,0.6,0.6746385920804525,133.0,39.0,89.0,96.0
adapt48_balanced,old_plus_adapt_logreg,8,0.01,0.49999999999999994,0.686046511627907,0.6444827586206896,0.4489795918367347,0.6932758620689655,144,56,25,33,285.0,48.0,258.0,0.6516516516516516,0.6517316017316017,0.6526946107784432,0.688023088023088,108.0,60.0,56.0,109.0
adapt48_balanced,old_plus_adapt_logreg,1,0.003,0.61,0.751937984496124,0.6441379310344828,0.4482758620689655,0.7250862068965517,168,32,32,26,285.0,48.0,258.0,0.6846846846846847,0.6837121212121212,0.6440677966101694,0.7184343434343434,133.0,35.0,70.0,95.0
adapt48_balanced,old_plus_adapt_logreg,4,0.003,0.57,0.7325581395348837,0.6438793103448276,0.448,0.7164655172413793,161,39,30,28,285.0,48.0,258.0,0.6786786786786787,0.6779761904761905,0.6491803278688525,0.7291847041847042,127.0,41.0,66.0,99.0
adapt72_balanced,old_plus_adapt_logreg,2,0.01,0.59,0.717948717948718,0.6438482886216466,0.42105263157894735,0.719472710453284,144,44,22,24,285.0,72.0,234.0,0.6470588235294118,0.6466101694915254,0.625,0.6973320778405524,126.0,54.0,72.0,105.0
adapt60_balanced,old_plus_adapt_logreg,8,0.001,0.49999999999999994,0.6910569105691057,0.6422482157018239,0.43283582089552236,0.7224425059476606,141,53,23,29,285.0,60.0,246.0,0.6550724637681159,0.6550715870135108,0.6530612244897959,0.693251327552598,114.0,60.0,59.0,112.0
adapt96_high_focus,old_plus_adapt_logreg,12,0.01,0.8599999999999999,0.8380952380952381,0.6421052631578947,0.32,0.7157894736842105,168,22,12,8,285.0,96.0,210.0,0.6194225721784777,0.6331709747052637,0.5425867507886435,0.6774506005424253,150.0,28.0,117.0,86.0
adapt72_high_focus,old_plus_adapt_logreg,2,0.01,0.4599999999999999,0.6666666666666666,0.6419172932330828,0.3709677419354839,0.7046186895810956,133,63,15,23,285.0,72.0,234.0,0.6918767507002801,0.6902419861722188,0.7120418848167539,0.7338466373350094,111.0,61.0,49.0,136.0
adapt72_balanced,old_plus_adapt_logreg,4,0.01,0.5199999999999999,0.6752136752136753,0.6418825161887142,0.4153846153846154,0.7224791859389454,131,57,19,27,285.0,72.0,234.0,0.6470588235294118,0.6469868173258004,0.6420454545454546,0.6951035781544256,118.0,62.0,64.0,113.0
