policy,eval_domain,review_budget,selected_base_model,selected_router,review_n,review_rate,auto_n,auto_rate,captured_errors,total_base_errors,error_capture_rate,review_clean_n,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp,auto_auc,system_n,system_accuracy,system_balanced_accuracy,system_f1,system_sensitivity_high,system_specificity_low,system_tn,system_fp,system_fn,system_tp,system_auc
shift_aware_rank_fusion_candidate,old_data,0.6,robust_prob,single:v143_pca_any,171,0.6,114,0.4,26,45,0.5777777777777777,145,0.8333333333333334,0.826797385620915,0.8041237113402062,0.7647058823529411,0.8888888888888888,56,7,12,39,0.91005291005291,285,0.9333333333333333,0.9331412529550827,0.9314079422382672,0.9148936170212766,0.9513888888888888,137,7,12,129,0.9036643026004727
dev_stable_router_all_domains,strict_external,0.6,robust_prob,single:v143_pca_any,63,0.6,42,0.4,23,32,0.71875,40,0.7857142857142857,0.7814645308924485,0.7567567567567568,0.7368421052631579,0.8260869565217391,19,4,5,14,0.7848970251716247,105,0.9142857142857143,0.9123257520176082,0.9032258064516129,0.8936170212765957,0.9310344827586207,54,4,5,42,0.6621423330887748
shift_aware_image_directional_candidate,strict_external,0.6,robust_prob,single:v143_pca_directional,63,0.6,42,0.4,23,32,0.71875,40,0.7857142857142857,0.6750663129973475,0.5263157894736842,0.38461538461538464,0.9655172413793104,28,1,8,5,0.6021220159151194,105,0.9142857142857143,0.9062729273661041,0.896551724137931,0.8297872340425532,0.9827586206896551,57,1,8,39,0.6621423330887748
baseline_low_conf_dev_selected,strict_external,0.6,prob_mean_core,single:low_conf,63,0.6,42,0.4,39,51,0.7647058823529411,24,0.7142857142857143,0.7068181818181818,0.76,0.8636363636363636,0.55,11,9,3,19,0.609090909090909,105,0.8857142857142857,0.890498899486427,0.88,0.9361702127659575,0.8448275862068966,49,9,3,44,0.6661775495231108
shift_aware_rank_fusion_candidate,strict_external,0.6,prob_mean_core,fusion:rank_mean_lowconf_v143_v144,63,0.6,42,0.4,39,51,0.7647058823529411,24,0.7142857142857143,0.7254004576659039,0.7272727272727273,0.8421052631578947,0.6086956521739131,14,9,3,16,0.65675057208238,105,0.8857142857142857,0.890498899486427,0.88,0.9361702127659575,0.8448275862068966,49,9,3,44,0.6661775495231108
shift_aware_concept_directional_candidate,strict_external,0.6,prob_mean_core,single:v144_concept_directional,63,0.6,42,0.4,39,51,0.7647058823529411,24,0.7142857142857143,0.7142857142857143,0.7391304347826086,0.8095238095238095,0.6190476190476191,13,8,4,17,0.63718820861678,105,0.8857142857142857,0.888481291269259,0.8775510204081632,0.9148936170212766,0.8620689655172413,50,8,4,43,0.6661775495231108
baseline_low_conf_dev_selected,third_batch,0.6,prob_mean_core,single:low_conf,184,0.6013071895424836,122,0.39869281045751637,58,65,0.8923076923076924,126,0.9426229508196722,0.8748453608247423,0.8444444444444444,0.76,0.9896907216494846,96,1,6,19,0.8622680412371134,306,0.9771241830065359,0.9611824912891986,0.9559748427672956,0.926829268292683,0.9955357142857143,223,1,6,76,0.818270905923345
dev_stable_router_all_domains,third_batch,0.6,robust_prob,single:v143_pca_any,184,0.6013071895424836,122,0.39869281045751637,49,59,0.8305084745762712,135,0.9180327868852459,0.8296907216494845,0.7727272727272727,0.68,0.979381443298969,95,2,8,17,0.925360824742268,306,0.9673202614379085,0.9467552264808363,0.9367088607594937,0.9024390243902439,0.9910714285714286,222,2,8,74,0.8161476480836237
shift_aware_image_directional_candidate,third_batch,0.6,robust_prob,single:v143_pca_any,184,0.6013071895424836,122,0.39869281045751637,49,59,0.8305084745762712,135,0.9180327868852459,0.8296907216494845,0.7727272727272727,0.68,0.979381443298969,95,2,8,17,0.925360824742268,306,0.9673202614379085,0.9467552264808363,0.9367088607594937,0.9024390243902439,0.9910714285714286,222,2,8,74,0.8161476480836237
shift_aware_concept_directional_candidate,third_batch,0.6,robust_prob,single:v143_pca_any,184,0.6013071895424836,122,0.39869281045751637,49,59,0.8305084745762712,135,0.9180327868852459,0.8296907216494845,0.7727272727272727,0.68,0.979381443298969,95,2,8,17,0.925360824742268,306,0.9673202614379085,0.9467552264808363,0.9367088607594937,0.9024390243902439,0.9910714285714286,222,2,8,74,0.8161476480836237
shift_aware_rank_fusion_candidate,third_batch,0.6,robust_prob,single:v143_pca_any,184,0.6013071895424836,122,0.39869281045751637,49,59,0.8305084745762712,135,0.9180327868852459,0.8296907216494845,0.7727272727272727,0.68,0.979381443298969,95,2,8,17,0.925360824742268,306,0.9673202614379085,0.9467552264808363,0.9367088607594937,0.9024390243902439,0.9910714285714286,222,2,8,74,0.8161476480836237
