n,stage1_accept_n,stage1_accept_rate,stage2_accept_n,stage2_accept_rate,reject_n,reject_rate,automated_n,automated_rate,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,stage1_n,stage1_accuracy,stage1_balanced_accuracy,stage1_f1,stage1_sensitivity_high,stage1_specificity_low,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage1_auc,stage2_n,stage2_accuracy,stage2_balanced_accuracy,stage2_f1,stage2_sensitivity_high,stage2_specificity_low,stage2_tn,stage2_fp,stage2_fn,stage2_tp,stage2_auc,automated_accuracy,automated_balanced_accuracy,automated_f1,automated_sensitivity_high,automated_specificity_low,automated_tn,automated_fp,automated_fn,automated_tp,automated_auc,system_if_reject_corrected_n,system_if_reject_corrected_accuracy,system_if_reject_corrected_balanced_accuracy,system_if_reject_corrected_f1,system_if_reject_corrected_sensitivity_high,system_if_reject_corrected_specificity_low,system_if_reject_corrected_tn,system_if_reject_corrected_fp,system_if_reject_corrected_fn,system_if_reject_corrected_tp,system_if_reject_corrected_auc,feature_set,gate,corrector,target_accept_acc,corrector_conf_min,scope
591,385,65.14%,188,31.81%,18,3.05%,573,96.95%,0,0,0,0,0,0,385,87.79%,87.57%,0.8459016393442623,86.58%,88.56%,209,27,20,129,0.9151973609373223,188,80.85%,80.31%,0.75,78.26%,82.35%,98,21,15,54,0.8257215929850201,85.51%,85.21%,0.8151447661469933,83.94%,86.48%,307,48,35,183,88.65%,591,85.96%,85.63%,0.8191721132897604,84.30%,86.96%,320,48,35,188,0.8839442386430104,core,base_conf_core,corr_logreg,0.88,0.6,internal_nested_old_third
591,516,87.31%,57,9.64%,18,3.05%,573,96.95%,21,5,0,21,5,0,516,89.34%,87.40%,0.8441926345609065,80.54%,94.26%,312,19,36,149,0.8839879154078549,57,77.19%,77.28%,0.7796610169491526,82.14%,72.41%,21,8,5,23,0.7697044334975369,84.64%,83.66%,0.794392523364486,79.81%,87.50%,315,45,43,170,87.76%,591,85.11%,84.24%,0.8035714285714286,80.72%,87.77%,323,45,43,180,0.8732209007603822,core,gate_logreg,corr_logreg,0.9,0.6,internal_nested_old_third
591,286,48.39%,285,48.22%,20,3.38%,571,96.62%,0,0,0,0,0,0,286,91.61%,90.62%,0.8846153846153846,86.79%,94.44%,170,10,14,92,0.9342243186582809,285,81.05%,80.86%,0.7652173913043478,80.00%,81.71%,143,32,22,88,0.8435844155844155,86.34%,85.75%,0.821917808219178,83.33%,88.17%,313,42,36,180,90.00%,591,86.80%,86.22%,0.827433628318584,83.86%,88.59%,326,42,36,187,0.8967878728797037,core,base_conf_core,corr_extra,0.92,0.6,internal_nested_old_third
591,331,56.01%,239,40.44%,21,3.55%,570,96.45%,0,0,0,0,0,0,331,90.03%,89.34%,0.8641975308641975,86.78%,91.90%,193,17,16,105,0.9252656434474616,239,81.17%,80.74%,0.7668393782383419,78.72%,82.76%,120,25,20,74,0.8408657373440939,86.32%,85.71%,0.8211009174311926,83.26%,88.17%,313,42,36,179,89.79%,591,86.80%,86.22%,0.827433628318584,83.86%,88.59%,326,42,36,187,0.8944360499122636,core,base_conf_core,corr_extra,0.9,0.6,internal_nested_old_third
591,385,65.14%,185,31.30%,21,3.55%,570,96.45%,0,0,0,0,0,0,385,87.79%,87.57%,0.8459016393442623,86.58%,88.56%,209,27,20,129,0.9151973609373223,185,82.16%,80.48%,0.7441860465116279,75.00%,85.95%,104,17,16,48,0.8083677685950413,85.96%,85.39%,0.815668202764977,83.10%,87.68%,313,44,36,177,89.07%,591,86.46%,85.95%,0.8237885462555066,83.86%,88.04%,324,44,36,187,0.8877583349580814,multiview,base_conf_core,corr_extra,0.88,0.6,internal_nested_old_third
591,385,65.14%,185,31.30%,21,3.55%,570,96.45%,1,2,0,1,2,0,385,87.79%,87.57%,0.8459016393442623,86.58%,88.56%,209,27,20,129,0.9151973609373223,185,79.46%,78.42%,0.7246376811594203,74.63%,82.20%,97,21,17,50,0.8039463698456868,85.09%,84.66%,0.8081264108352144,82.87%,86.44%,306,48,37,179,87.78%,591,85.62%,85.18%,0.8140043763676149,83.41%,86.96%,320,48,37,186,0.8753533827256774,multiview,base_conf_core,corr_logreg,0.88,0.6,internal_nested_old_third
591,286,48.39%,283,47.88%,22,3.72%,569,96.28%,1,0,0,1,0,0,286,91.61%,90.62%,0.8846153846153846,86.79%,94.44%,170,10,14,92,0.9342243186582809,283,80.21%,80.21%,0.7522123893805309,80.19%,80.23%,142,35,21,85,0.840528728280567,85.94%,85.44%,0.815668202764977,83.49%,87.39%,312,45,35,177,88.58%,591,86.46%,86.04%,0.8245614035087719,84.30%,87.77%,323,45,35,188,0.884772860206668,multiview,base_conf_core,corr_logreg,0.92,0.6,internal_nested_old_third
591,500,84.60%,68,11.51%,23,3.89%,568,96.11%,16,6,0,16,5,1,500,89.60%,87.83%,0.8505747126436781,81.32%,94.34%,300,18,34,148,0.8873971940009675,68,75.00%,75.17%,0.746268656716418,78.12%,72.22%,26,10,7,25,0.7803819444444444,87.68%,86.32%,0.8317307692307693,80.84%,91.81%,325,29,41,173,87.14%,591,88.16%,86.87%,0.8387096774193549,81.61%,92.12%,339,29,41,182,0.8643010333398323,multiview,gate_logreg,corr_logreg,0.9,0.65,internal_nested_old_third
591,557,94.25%,11,1.86%,23,3.89%,568,96.11%,2,2,0,2,2,0,557,87.97%,87.04%,0.8408551068883611,83.10%,90.99%,313,31,36,177,0.8792171634457909,11,45.45%,46.67%,0.5,60.00%,33.33%,2,4,2,3,0.5666666666666667,87.15%,86.28%,0.8314087759815243,82.57%,90.00%,315,35,38,180,87.22%,591,87.65%,86.72%,0.835214446952596,82.96%,90.49%,333,35,38,185,0.8675302203158511,core,gate_logreg,corr_logreg,0.88,0.65,internal_nested_old_third
591,446,75.47%,122,20.64%,23,3.89%,568,96.11%,22,11,0,22,9,2,446,88.79%,86.69%,0.8366013071895425,79.01%,94.37%,268,16,34,128,0.8890193009911319,122,81.15%,81.09%,0.7964601769911505,80.36%,81.82%,54,12,11,45,0.8411796536796536,86.97%,85.54%,0.8238095238095238,79.36%,91.71%,321,29,45,173,88.02%,591,87.48%,85.97%,0.827906976744186,79.82%,92.12%,339,29,45,178,0.8741470072138818,multiview,gate_logreg,corr_logreg,0.92,0.6,internal_nested_old_third
