score,target,scope,pass_n,pass_frac,hardlike_n,hard_recall,hard_prec,pass_acc,acc,bacc,sens,spec,tn,fp,fn,tp,hard_base_acc,hard_final_acc,rescued,hurt,rescued_hard,hurt_hard,thresholds
hybrid_max_allrange_fn,0.7,flag_train,129,0.45263157894736844,156,0.7230769230769231,0.30128205128205127,0.8682170542635659,0.7368421052631579,0.7375147754137117,0.8014184397163121,0.6736111111111112,97,47,28,113,0.27692307692307694,0.4307692307692308,19,28,12,2,1:0.702;2:0.611;3:0.663;4:0.611;5:0.663
all_range,0.8,all_train,69,0.24210526315789474,216,0.8,0.24074074074074073,0.8115942028985508,0.7368421052631579,0.7369237588652482,0.7446808510638298,0.7291666666666666,105,39,36,105,0.27692307692307694,0.38461538461538464,16,25,11,4,1:0.472;2:0.449;3:0.486;4:0.496;5:0.486
all_range,0.9,all_train,36,0.12631578947368421,249,0.8769230769230769,0.2289156626506024,0.7777777777777778,0.7368421052631579,0.7369237588652482,0.7446808510638298,0.7291666666666666,105,39,36,105,0.27692307692307694,0.38461538461538464,16,25,11,4,1:0.323;2:0.323;3:0.356;4:0.412;5:0.412
learn_hard_core_extra,0.9,all_train,30,0.10526315789473684,255,0.9230769230769231,0.23529411764705882,0.8333333333333334,0.7368421052631579,0.7368498817966903,0.7375886524822695,0.7361111111111112,106,38,37,104,0.27692307692307694,0.4153846153846154,18,27,13,4,1:0.361;2:0.361;3:0.397;4:0.351;5:0.361
learn_hard_core_logreg,0.8,flag_train,84,0.29473684210526313,201,0.7692307692307693,0.24875621890547264,0.8095238095238095,0.7298245614035088,0.7300531914893618,0.75177304964539,0.7083333333333334,102,42,35,106,0.27692307692307694,0.36923076923076925,16,27,11,5,1:0.108;2:0.111;3:0.111;4:0.058;5:0.387
learn_hard_core_rf,0.8,flag_train,75,0.2631578947368421,210,0.8153846153846154,0.2523809523809524,0.8533333333333334,0.7298245614035088,0.7299793144208038,0.7446808510638298,0.7152777777777778,103,41,36,105,0.27692307692307694,0.4153846153846154,19,30,12,3,1:0.350;2:0.350;3:0.391;4:0.350;5:0.342
upper_low_conf,0.9,flag_train,83,0.2912280701754386,202,0.8769230769230769,0.28217821782178215,0.9156626506024096,0.7298245614035088,0.7299054373522458,0.7375886524822695,0.7222222222222222,104,40,37,104,0.27692307692307694,0.4461538461538462,21,32,13,2,1:0.005;2:0.005;3:0.007;4:0.001;5:0.004
all_range,0.7,flag_train,100,0.3508771929824561,185,0.7076923076923077,0.24864864864864866,0.81,0.7228070175438597,0.7226654846335698,0.7092198581560284,0.7361111111111112,106,38,41,100,0.27692307692307694,0.4,16,29,11,3,1:0.500;2:0.497;3:0.499;4:0.516;5:0.500
learn_hard_core_rf,0.9,flag_train,52,0.1824561403508772,233,0.8923076923076924,0.24892703862660945,0.8846153846153846,0.712280701754386,0.7124704491725768,0.7304964539007093,0.6944444444444444,100,44,38,103,0.27692307692307694,0.4,19,35,12,4,1:0.311;2:0.311;3:0.342;4:0.250;5:0.308
learn_hard_core_extra,0.9,flag_train,30,0.10526315789473684,255,0.9230769230769231,0.23529411764705882,0.8333333333333334,0.712280701754386,0.7124704491725768,0.7304964539007093,0.6944444444444444,100,44,38,103,0.27692307692307694,0.4153846153846154,17,33,12,3,1:0.361;2:0.361;3:0.397;4:0.351;5:0.361
