review_policy,model,feature_set,mode,flip_threshold,release_threshold,scope,n,original_review_n,original_review_rate,auto_flip_n,auto_release_n,auto_action_n,auto_action_rate,remaining_review_n,remaining_review_rate,auto_action_error_n,auto_action_error_rate,rescued_n,hurt_n,accuracy,balanced_accuracy,f1,auc,fn,fp,selection_status
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,flip_then_agree_release,0.95,0.5,old_data,285,158,0.5543859649122806,0,65,65,0.22807017543859648,93,0.3263157894736842,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,flip_then_agree_release,0.95,0.5,third_batch,306,170,0.5555555555555556,1,83,84,0.27450980392156865,86,0.28104575163398693,7,0.08333333333333333,0,1,0.9738562091503268,0.9550849303135889,0.9493670886075949,,7,1,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,flip_then_agree_release,0.95,0.5,strict_external,108,74,0.6851851851851852,0,40,40,0.37037037037037035,34,0.3148148148148148,0,0.0,0,0,1.0,1.0,1.0,,0,0,lowest_internal_auto_error_rate
v161_final_review_or_reject,tabular_dino_pca64_logreg_c03,tabular_dino,flip_then_agree_release,0.95,0.5,all_domains,699,402,0.575107296137339,1,188,189,0.2703862660944206,213,0.30472103004291845,7,0.037037037037037035,0,1,0.9885550786838341,0.9858715358715359,0.9850187265917603,,7,1,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,disagree_flip_only,0.5,0.95,old_data,285,217,0.7614035087719299,23,0,23,0.08070175438596491,194,0.6807017543859649,23,1.0,0,23,0.9192982456140351,0.9188829787234043,0.915129151291513,,17,6,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,disagree_flip_only,0.5,0.95,third_batch,306,248,0.8104575163398693,27,0,27,0.08823529411764706,221,0.7222222222222222,27,1.0,0,27,0.9084967320261438,0.8833841463414633,0.8292682926829268,,14,14,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,disagree_flip_only,0.5,0.95,strict_external,108,94,0.8703703703703703,20,0,20,0.18518518518518517,74,0.6851851851851852,20,1.0,0,20,0.8148148148148148,0.8092082316009765,0.782608695652174,,11,9,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,disagree_flip_only,0.5,0.95,all_domains,699,559,0.7997138769670958,70,0,70,0.10014306151645208,489,0.6995708154506438,70,1.0,0,70,0.8984263233190272,0.8884226884226885,0.8652751423149905,,42,29,lowest_internal_auto_error_rate
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,agree_release_only,0.95,0.7,old_data,285,217,0.7614035087719299,0,1,1,0.0035087719298245615,216,0.7578947368421053,0,0.0,0,0,1.0,1.0,1.0,,0,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,agree_release_only,0.95,0.7,third_batch,306,248,0.8104575163398693,0,6,6,0.0196078431372549,242,0.7908496732026143,0,0.0,0,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,,1,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,agree_release_only,0.95,0.7,strict_external,108,94,0.8703703703703703,0,0,0,0.0,94,0.8703703703703703,0,0.0,0,0,1.0,1.0,1.0,,0,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,agree_release_only,0.95,0.7,all_domains,699,559,0.7997138769670958,0,7,7,0.010014306151645207,552,0.7896995708154506,0,0.0,0,0,0.9985693848354793,0.9981481481481482,0.9981447124304267,,1,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,flip_then_agree_release,0.65,0.7,old_data,285,217,0.7614035087719299,0,1,1,0.0035087719298245615,216,0.7578947368421053,0,0.0,0,0,1.0,1.0,1.0,,0,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,flip_then_agree_release,0.65,0.7,third_batch,306,248,0.8104575163398693,0,6,6,0.0196078431372549,242,0.7908496732026143,0,0.0,0,0,0.9967320261437909,0.9939024390243902,0.9938650306748467,,1,0,internal_zero_auto_error
v118_review_or_control,tabular_dino_extra_trees_d4,tabular_dino,flip_then_agree_release,0.65,0.7,strict_external,108,94,0.8703703703703703,0,0,0,0.0,94,0.8703703703703703,0,0.0,0,0,1.0,1.0,1.0,,0,0,internal_zero_auto_error
