group,policy,total_n,auto_n,review_n,retake_n,auto_coverage,review_rate,retake_rate,auto_low_n,auto_high_n,auto_low_high_miss_rate,auto_high_ppv,review_error_rate_main,retake_error_rate_main,high_total,high_auto_low_missed,high_auto_high,high_review_or_retake,high_risk_not_auto_low_rate,auto_n_metric,auto_accuracy,auto_balanced_accuracy,auto_f1,auto_auc,auto_sensitivity_high,auto_specificity_low,auto_tn,auto_fp,auto_fn,auto_tp
external_strict,consensus_162_107,105,62,43,0,0.5904761904761905,0.4095238095238095,0.0,28,34,0.2857142857142857,0.6470588235294118,0.4186046511627907,,47,8,22,17,0.8297872340425532,62,0.6774193548387096,0.6791666666666667,0.6875,,0.7333333333333333,0.625,20,12,8,22
external_strict,v1_guard_plain_acc90_miss10,105,26,79,0,0.24761904761904763,0.7523809523809524,0.0,18,8,0.3333333333333333,0.375,0.34177215189873417,,47,6,3,38,0.8723404255319149,26,0.5769230769230769,0.5196078431372549,0.35294117647058826,,0.3333333333333333,0.7058823529411765,12,5,6,3
external_strict,v1_guard_plain_acc92_miss10,105,20,85,0,0.19047619047619047,0.8095238095238095,0.0,13,7,0.38461538461538464,0.42857142857142855,0.3411764705882353,,47,5,3,39,0.8936170212765957,20,0.55,0.5208333333333333,0.4,,0.375,0.6666666666666666,8,4,5,3
external_strict,v1_guard_plain_acc95_miss10,105,19,86,0,0.18095238095238095,0.819047619047619,0.0,12,7,0.3333333333333333,0.42857142857142855,0.3488372093023256,,47,4,3,40,0.9148936170212766,19,0.5789473684210527,0.5476190476190476,0.42857142857142855,,0.42857142857142855,0.6666666666666666,8,4,4,3
external_strict,v1_guard_balanced_acc90_miss10,105,37,68,0,0.3523809523809524,0.6476190476190476,0.0,27,10,0.3333333333333333,0.4,0.3382352941176471,,47,9,4,34,0.8085106382978723,37,0.5945945945945946,0.5288461538461539,0.34782608695652173,,0.3076923076923077,0.75,18,6,9,4
external_strict,v1_guard_margin_agree_acc90_miss10,105,87,18,0,0.8285714285714286,0.17142857142857143,0.0,57,30,0.3508771929824561,0.6666666666666666,0.4444444444444444,,47,20,20,7,0.574468085106383,87,0.6551724137931034,0.6436170212765957,0.5714285714285714,,0.5,0.7872340425531915,37,10,20,20
external_strict,quality_v1_guard_plain_acc90_miss10,105,20,66,19,0.19047619047619047,0.6285714285714286,0.18095238095238095,14,6,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.42105263157894735,47,4,2,41,0.9148936170212766,20,0.6,0.5238095238095238,0.3333333333333333,,0.3333333333333333,0.7142857142857143,10,4,4,2
external_strict,quality_v1_guard_plain_acc92_miss10,105,15,71,19,0.14285714285714285,0.6761904761904762,0.18095238095238095,10,5,0.3,0.4,0.3380281690140845,0.42105263157894735,47,3,2,42,0.9361702127659575,15,0.6,0.55,0.4,,0.4,0.7,7,3,3,2
external_strict,quality_v1_guard_plain_acc95_miss10,105,14,72,19,0.13333333333333333,0.6857142857142857,0.18095238095238095,9,5,0.2222222222222222,0.4,0.3472222222222222,0.42105263157894735,47,2,2,43,0.9574468085106383,14,0.6428571428571429,0.6,0.4444444444444444,,0.5,0.7,7,3,2,2
external_strict,quality_v1_guard_balanced_acc90_miss10,105,28,58,19,0.26666666666666666,0.5523809523809524,0.18095238095238095,20,8,0.3,0.375,0.3275862068965517,0.42105263157894735,47,6,3,38,0.8723404255319149,28,0.6071428571428571,0.5350877192982456,0.35294117647058826,,0.3333333333333333,0.7368421052631579,14,5,6,3
