accuracy,balanced_accuracy,f1,tn,fp,fn,tp,auc,route_name,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue,mode,corrector,feature_set,train_scope,classifier,c,corrector_all_acc,corrector_all_bacc
0.8736842105263158,0.8741873522458629,0.8783783783783784,119,25,11,130,0.8959318360914105,best41_fn_model_visible_extra,39,0.1368421052631579,246,0.8902439024390244,0.7692307692307693,19,0.2923076923076923,16,5,11,nested_route,model_hard_all_logreg_c01,model,hard_all,logreg,0.1,0.3263157894736842,0.32587174940898345
0.8736842105263158,0.874113475177305,0.8775510204081632,120,24,12,129,0.8965721040189125,best41_fn_model_visible_extra,33,0.11578947368421053,252,0.8888888888888888,0.7575757575757576,18,0.27692307692307694,15,4,11,nested_route,dino_model_non_easy_extra,dino_model,non_easy,extra,0.1,0.32280701754385965,0.32328605200945626
0.8736842105263158,0.874039598108747,0.8767123287671232,121,23,13,128,0.8975571315996849,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.7419354838709677,17,0.26153846153846155,14,3,11,nested_route,model_non_easy_logreg_c003,model,non_easy,logreg,0.03,0.34035087719298246,0.3402039007092199
0.8701754385964913,0.8708628841607565,0.8770764119601329,116,28,9,132,0.9045015760441293,best41_fn_model_visible_extra,32,0.11228070175438597,253,0.8893280632411067,0.71875,17,0.26153846153846155,18,8,10,nested_route,model_hard_core_logreg_c01,model,hard_core,logreg,0.1,0.29473684210526313,0.2947695035460993
0.8701754385964913,0.8708628841607565,0.8770764119601329,116,28,9,132,0.8991824271079589,best41_fn_model_visible_extra,32,0.11228070175438597,253,0.8893280632411067,0.71875,17,0.26153846153846155,18,8,10,nested_route,model_hard_core_logreg_c03,model,hard_core,logreg,0.3,0.2912280701754386,0.29129728132387706
0.8701754385964913,0.8707151300236406,0.8754208754208754,118,26,11,130,0.9040583136327818,best41_fn_model_visible_extra,39,0.1368421052631579,246,0.8902439024390244,0.7435897435897436,19,0.2923076923076923,16,6,10,nested_route,model_hard_all_logreg_c003,model,hard_all,logreg,0.03,0.3192982456140351,0.31877955082742315
0.8701754385964913,0.8701241134751774,0.8683274021352313,126,18,19,122,0.9143026004728132,best41_wrong_model_visible_extra,39,0.1368421052631579,246,0.9105691056910569,0.6153846153846154,27,0.4153846153846154,17,7,10,nested_route,dino_hard_core_extra,dino,hard_core,extra,0.1,0.48771929824561405,0.4886229314420804
0.8666666666666667,0.8673906619385343,0.8741721854304636,115,29,9,132,0.9060283687943262,best41_fn_model_visible_extra,29,0.10175438596491228,256,0.88671875,0.6896551724137931,16,0.24615384615384617,18,9,9,nested_route,dino_model_hard_core_extra,dino_model,hard_core,extra,0.1,0.2807017543859649,0.2809544917257683
0.8666666666666667,0.8673167848699763,0.8733333333333333,116,28,10,131,0.8974586288416075,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.6774193548387096,17,0.26153846153846155,17,8,9,nested_route,dino_model_hard_all_logreg_c001,dino_model,hard_all,logreg,0.01,0.28421052631578947,0.2847222222222222
0.8666666666666667,0.8673167848699763,0.8733333333333333,116,28,10,131,0.8917454688731286,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.6774193548387096,17,0.26153846153846155,17,8,9,nested_route,dino_model_hard_all_logreg_c003,dino_model,hard_all,logreg,0.03,0.2982456140350877,0.2980200945626478
0.8666666666666667,0.8673167848699763,0.8733333333333333,116,28,10,131,0.8831264775413712,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.6774193548387096,17,0.26153846153846155,17,8,9,nested_route,dino_model_hard_all_logreg_c01,dino_model,hard_all,logreg,0.1,0.3087719298245614,0.3087322695035461
0.8666666666666667,0.8673167848699763,0.8733333333333333,116,28,10,131,0.8768223010244287,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.6774193548387096,17,0.26153846153846155,17,8,9,nested_route,dino_model_hard_all_logreg_c03,dino_model,hard_all,logreg,0.3,0.2912280701754386,0.29114952718676124
0.8666666666666667,0.8671690307328606,0.8716216216216216,118,26,12,129,0.8903171788810087,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.6774193548387096,17,0.26153846153846155,15,6,9,nested_route,dino_hard_core_extra,dino,hard_core,extra,0.1,0.48771929824561405,0.4886229314420804
0.8666666666666667,0.8671690307328606,0.8716216216216216,118,26,12,129,0.8784475965327029,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.6774193548387096,17,0.26153846153846155,15,6,9,nested_route,dino_model_non_easy_logreg_c003,dino_model,non_easy,logreg,0.03,0.4245614035087719,0.42538416075650115
0.8666666666666667,0.8670212765957447,0.8698630136986302,120,24,14,127,0.8866233254531127,best41_fn_model_visible_extra,18,0.06315789473684211,267,0.8764044943820225,0.7222222222222222,11,0.16923076923076924,13,4,9,nested_route,dino_model_hard_core_logreg_c001,dino_model,hard_core,logreg,0.01,0.24912280701754386,0.24844858156028368
0.8666666666666667,0.8670212765957447,0.8698630136986302,120,24,14,127,0.8872143420015759,best41_fn_model_visible_extra,18,0.06315789473684211,267,0.8764044943820225,0.7222222222222222,11,0.16923076923076924,13,4,9,nested_route,dino_model_hard_core_logreg_c003,dino_model,hard_core,logreg,0.03,0.24912280701754386,0.24859633569739953
0.8666666666666667,0.8670212765957447,0.8698630136986302,120,24,14,127,0.8863770685579195,best41_fn_model_visible_extra,18,0.06315789473684211,267,0.8764044943820225,0.7222222222222222,11,0.16923076923076924,13,4,9,nested_route,dino_model_hard_core_logreg_c01,dino_model,hard_core,logreg,0.1,0.24912280701754386,0.24867021276595747
0.8666666666666667,0.8670212765957447,0.8698630136986302,120,24,14,127,0.884160756501182,best41_fn_model_visible_extra,18,0.06315789473684211,267,0.8764044943820225,0.7222222222222222,11,0.16923076923076924,13,4,9,nested_route,dino_model_hard_core_logreg_c03,dino_model,hard_core,logreg,0.3,0.25263157894736843,0.2522163120567376
0.8666666666666667,0.8670212765957447,0.8698630136986302,120,24,14,127,0.8834219858156028,best41_fn_model_visible_extra,31,0.10877192982456141,254,0.889763779527559,0.6774193548387096,17,0.26153846153846155,13,4,9,nested_route,dino_model_non_easy_logreg_c001,dino_model,non_easy,logreg,0.01,0.4280701754385965,0.4280437352245863
