n,stage1_accept_n,stage1_accept_rate,stage2_accept_n,stage2_accept_rate,reject_n,reject_rate,automated_n,automated_rate,rescued_n,hurt_n,rescued_fn_n,rescued_fp_n,hurt_fn_n,hurt_fp_n,stage1_n,stage1_accuracy,stage1_balanced_accuracy,stage1_f1,stage1_sensitivity_high,stage1_specificity_low,stage1_tn,stage1_fp,stage1_fn,stage1_tp,stage1_auc,stage2_n,stage2_accuracy,stage2_balanced_accuracy,stage2_f1,stage2_sensitivity_high,stage2_specificity_low,stage2_tn,stage2_fp,stage2_fn,stage2_tp,stage2_auc,automated_accuracy,automated_balanced_accuracy,automated_f1,automated_sensitivity_high,automated_specificity_low,automated_tn,automated_fp,automated_fn,automated_tp,automated_auc,system_if_reject_corrected_n,system_if_reject_corrected_accuracy,system_if_reject_corrected_balanced_accuracy,system_if_reject_corrected_f1,system_if_reject_corrected_sensitivity_high,system_if_reject_corrected_specificity_low,system_if_reject_corrected_tn,system_if_reject_corrected_fp,system_if_reject_corrected_fn,system_if_reject_corrected_tp,system_if_reject_corrected_auc,feature_set,gate,corrector,target_accept_acc,corrector_conf_min,scope
591,500,0.8460236886632826,91,0.15397631133671744,0,0.0,591,1.0,22,11,1,21,9,2,500,0.896,0.8782915198009538,0.8505747126436781,0.8131868131868132,0.9433962264150944,300,18,34,148,0.8873971940009675,91,0.6923076923076923,0.6980487804878048,0.6888888888888889,0.7560975609756098,0.64,32,18,10,31,0.7795121951219512,0.8307952622673435,0.8279087054006629,0.7844827586206896,0.8161434977578476,0.8396739130434783,309,59,41,182,0.8756580230064339,591,0.8307952622673435,0.8279087054006629,0.7844827586206896,0.8161434977578476,0.8396739130434783,309,59,41,182,0.8756580230064339,multiview,gate_logreg,corr_extra,0.9,0.0,internal_nested_old_third
591,516,0.8730964467005076,75,0.12690355329949238,0,0.0,591,1.0,22,10,0,22,10,0,516,0.8934108527131783,0.8740017963582918,0.8441926345609065,0.8054054054054054,0.9425981873111783,312,19,36,149,0.8839879154078549,75,0.68,0.6792318634423897,0.7,0.7368421052631579,0.6216216216216216,23,14,10,28,0.7432432432432432,0.8155668358714044,0.8050789627607721,0.7572383073496659,0.7623318385650224,0.8478260869565217,312,56,53,170,0.8732209007603822,591,0.8155668358714044,0.8050789627607721,0.7572383073496659,0.7623318385650224,0.8478260869565217,312,56,53,170,0.8732209007603822,core,gate_logreg,corr_logreg,0.9,0.0,internal_nested_old_third
591,516,0.8730964467005076,75,0.12690355329949238,0,0.0,591,1.0,23,12,0,23,12,0,516,0.8934108527131783,0.8740017963582918,0.8441926345609065,0.8054054054054054,0.9425981873111783,312,19,36,149,0.8839879154078549,75,0.6666666666666666,0.666429587482219,0.6753246753246753,0.6842105263157895,0.6486486486486487,24,13,12,26,0.7197724039829303,0.7969543147208121,0.7768814583739521,0.7209302325581395,0.695067264573991,0.8586956521739131,316,52,68,155,0.8714905439656853,591,0.7969543147208121,0.7768814583739521,0.7209302325581395,0.695067264573991,0.8586956521739131,316,52,68,155,0.8714905439656853,core,gate_logreg,corr_extra,0.9,0.0,internal_nested_old_third
591,550,0.9306260575296108,34,0.05752961082910321,7,0.011844331641285956,584,0.988155668358714,15,5,0,15,5,0,550,0.8745454545454545,0.8640768446106766,0.8296296296296296,0.8235294117647058,0.9046242774566474,313,33,36,168,0.8747166496656467,34,0.7647058823529411,0.7604166666666667,0.7333333333333333,0.6875,0.8333333333333334,15,3,5,11,0.7152777777777778,0.8681506849315068,0.8564685314685314,0.8221709006928406,0.8090909090909091,0.9038461538461539,329,35,42,178,0.8641108891108891,591,0.8697123519458545,0.8582752485864691,0.8246013667425968,0.8116591928251121,0.904891304347826,333,35,42,181,0.8624000779879119,multiview,gate_logreg,corr_logreg,0.88,0.6,internal_nested_old_third
591,550,0.9306260575296108,33,0.05583756345177665,8,0.01353637901861252,583,0.9864636209813875,15,5,0,15,5,0,550,0.8745454545454545,0.8640768446106766,0.8296296296296296,0.8235294117647058,0.9046242774566474,313,33,36,168,0.8747166496656467,33,0.7575757575757576,0.75,0.7142857142857143,0.6666666666666666,0.8333333333333334,15,3,5,10,0.7074074074074075,0.8713550600343053,0.8596893973606302,0.8259860788863109,0.8127853881278538,0.9065934065934066,330,34,41,178,0.8636911034171307,591,0.8730964467005076,0.8618760967050108,0.8291571753986332,0.8161434977578476,0.907608695652174,334,34,41,182,0.8624000779879119,multiview,gate_logreg,corr_logreg,0.88,0.65,internal_nested_old_third
591,385,0.6514382402707276,195,0.3299492385786802,11,0.018612521150592216,580,0.9813874788494078,0,0,0,0,0,0,385,0.8779220779220779,0.8756825162097599,0.8459016393442623,0.8657718120805369,0.885593220338983,209,27,20,129,0.9151973609373223,195,0.7948717948717948,0.7868470149253731,0.7183098591549296,0.7611940298507462,0.8125,104,24,16,51,0.8074860074626866,0.85,0.8466117216117217,0.8053691275167785,0.8333333333333334,0.8598901098901099,313,51,36,180,0.8887871387871388,591,0.8527918781725888,0.8499890329498927,0.8112798264642083,0.8385650224215246,0.8614130434782609,317,51,36,187,0.8871124975628778,core,base_conf_core,corr_extra,0.88,0.6,internal_nested_old_third
591,557,0.9424703891708968,19,0.032148900169204735,15,0.025380710659898477,576,0.9746192893401016,6,2,0,6,2,0,557,0.8797127468581688,0.8704348182115951,0.8408551068883611,0.8309859154929577,0.9098837209302325,313,31,36,177,0.8792171634457909,19,0.5263157894736842,0.5641025641025641,0.47058823529411764,0.6666666666666666,0.46153846153846156,6,7,2,4,0.5641025641025641,0.8680555555555556,0.860020720617014,0.8264840182648402,0.8264840182648402,0.8935574229691877,319,38,38,181,0.8697670849161582,591,0.871404399323181,0.8631677714954182,0.8295964125560538,0.8295964125560538,0.8967391304347826,330,38,38,185,0.8675302203158511,core,gate_logreg,corr_logreg,0.88,0.6,internal_nested_old_third
591,557,0.9424703891708968,19,0.032148900169204735,15,0.025380710659898477,576,0.9746192893401016,0,0,0,0,0,0,557,0.8797127468581688,0.8704348182115951,0.8408551068883611,0.8309859154929577,0.9098837209302325,313,31,36,177,0.8792171634457909,19,0.3684210526315789,0.5,0.5384615384615384,1.0,0.0,0,12,0,7,0.5357142857142857,0.8628472222222222,0.8577885597548518,0.8232662192393736,0.8363636363636363,0.8792134831460674,313,43,36,184,0.8715653728294177,591,0.8663282571912013,0.860858598167284,0.82560706401766,0.8385650224215246,0.8831521739130435,325,43,36,187,0.8662994735815948,core,gate_logreg,corr_extra,0.88,0.6,internal_nested_old_third
591,500,0.8460236886632826,75,0.12690355329949238,16,0.02707275803722504,575,0.9729272419627749,18,9,0,18,8,1,500,0.896,0.8782915198009538,0.8505747126436781,0.8131868131868132,0.9433962264150944,300,18,34,148,0.8873971940009675,75,0.7066666666666667,0.7071428571428571,0.6944444444444444,0.7142857142857143,0.7,28,12,10,25,0.7714285714285715,0.8660869565217392,0.852528126045877,0.817966903073286,0.7972350230414746,0.9078212290502793,325,33,44,173,0.8672476379270396,591,0.8697123519458545,0.8565083349580815,0.8229885057471265,0.8026905829596412,0.9103260869565217,335,33,44,179,0.8643010333398323,multiview,gate_logreg,corr_logreg,0.9,0.6,internal_nested_old_third
591,385,0.6514382402707276,188,0.31810490693739424,18,0.030456852791878174,573,0.9695431472081218,0,0,0,0,0,0,385,0.8779220779220779,0.8756825162097599,0.8459016393442623,0.8657718120805369,0.885593220338983,209,27,20,129,0.9151973609373223,188,0.8085106382978723,0.80306905370844,0.75,0.782608695652174,0.8235294117647058,98,21,15,54,0.8257215929850201,0.8551483420593369,0.8521191368393849,0.8151447661469933,0.8394495412844036,0.8647887323943662,307,48,35,183,0.8865228065641556,591,0.8595600676818951,0.8563072723727823,0.8191721132897604,0.8430493273542601,0.8695652173913043,320,48,35,188,0.8839442386430104,core,base_conf_core,corr_logreg,0.88,0.6,internal_nested_old_third
