align,pca_components,pca_explained,model,weighting,pseudo,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
coral,32,0.8517235517501831,logreg_c01,maxsim,none,balanced_accuracy,0.5199999999999999,0.6417700945626478,0.6421052631578947,0.6417700945626478,0.6277372262773723,97,47,55,86,0.6625788022064618,0.5740740740740741,0.5814440181374259,0.5660377358490566,32,29,17,30,0.5713289152424137,0.5619047619047619,0.5691489361702128,0.5660377358490566,29,29,17,30,0.5550256786500367
coral,32,0.8516799211502075,rf_d5,top5sim,none,balanced_accuracy,0.5399999999999999,0.62322695035461,0.624561403508772,0.62322695035461,0.5668016194331984,108,36,71,70,0.6503644602048857,0.5925925925925926,0.5758632717125916,0.4883720930232558,43,18,26,21,0.56260899895361,0.580952380952381,0.5682318415260454,0.4883720930232558,40,18,26,21,0.5491562729273661
none,128,0.9999477863311768,rf_d5,none,p90,balanced_accuracy,0.4799999999999999,0.5628693853427896,0.5614035087719298,0.5628693853427896,0.6130030959752322,61,83,42,99,0.5510244286840031,0.5648148148148148,0.5708057202650855,0.5523809523809524,32,29,18,29,0.6145797000348796,0.5619047619047619,0.5671313279530448,0.5576923076923077,30,28,18,29,0.607116654438738
coral,32,0.8516493439674377,logreg_c01,none,p90,balanced_accuracy,0.49999999999999994,0.6702866430260047,0.6701754385964912,0.6702866430260047,0.6713286713286714,95,49,45,96,0.6879432624113475,0.5648148148148148,0.5781304499476805,0.5765765765765766,29,32,15,32,0.5629577956051621,0.5523809523809524,0.5645634629493763,0.5765765765765766,26,32,15,32,0.5469552457813647
none,128,0.999947726726532,logreg_c001,none,p80,balanced_accuracy,0.41999999999999993,0.5820035460992908,0.5789473684210527,0.5820035460992908,0.6721311475409836,42,102,18,123,0.6019996059889677,0.5833333333333334,0.5627833972793861,0.4578313253012048,44,17,28,19,0.5130798744332055,0.580952380952381,0.5641966250917094,0.4634146341463415,42,16,28,19,0.5102714600146735
none,32,0.851722002029419,rf_d5,top5sim,none,balanced_accuracy,0.5099999999999999,0.6206412529550827,0.6210526315789474,0.6206412529550827,0.6029411764705882,95,49,59,82,0.6375591016548463,0.5740740740740741,0.5619114056505057,0.4888888888888889,40,21,25,22,0.5737704918032787,0.5714285714285714,0.5616287600880411,0.4943820224719101,38,20,25,22,0.5682318415260456
diag,200,0.9999926090240479,logreg_c001,none,none,balanced_accuracy,0.5199999999999999,0.5323581560283688,0.5333333333333333,0.5323581560283688,0.48249027237354086,90,54,79,62,0.5237391646966115,0.5833333333333334,0.5701081269619812,0.4943820224719101,41,20,25,22,0.5967910708057202,0.5714285714285714,0.5616287600880411,0.4943820224719101,38,20,25,22,0.5840058694057227
coral,128,0.9999479055404663,rf_d5,none,p85,balanced_accuracy,0.49999999999999994,0.5785313238770686,0.5789473684210527,0.5785313238770686,0.5588235294117647,89,55,65,76,0.5710697399527187,0.5740740740740741,0.5716777118939658,0.5306122448979592,36,25,21,26,0.5406348099058249,0.5619047619047619,0.5610785033015407,0.5306122448979592,33,25,21,26,0.5315480557593544
mean,128,0.9999479651451111,rf_d5,none,none,balanced_accuracy,0.5099999999999999,0.55326536643026,0.5543859649122806,0.55326536643026,0.4980237154150198,95,49,78,63,0.5363475177304965,0.5648148148148148,0.5610394140216254,0.5154639175257731,36,25,22,25,0.5584234391349844,0.5619047619047619,0.5590608950843727,0.5208333333333334,34,24,22,25,0.5506236243580337
coral,128,0.9999479055404663,logreg_c001,none,p90,balanced_accuracy,0.5599999999999999,0.6228575650118203,0.624561403508772,0.6228575650118203,0.5485232067510548,113,31,76,65,0.6218479117415288,0.5833333333333334,0.5652249738402512,0.47058823529411764,43,18,27,20,0.5333100802232299,0.5714285714285714,0.5575935436537051,0.47058823529411764,40,18,27,20,0.5179750550256786
