accuracy,balanced_accuracy,f1,tn,fp,fn,tp,route_col,corrector_name,objective,routed_n,routed_pct,pass_n,pass_acc,routed_acc,hard_core_routed,hard_core_recall,rescue_n,hurt_n,net_rescue
0.8491228070175438,0.8484042553191489,0.8365019011406845,132,12,31,110,route_score__best41_fp__model_visible__logreg,corrector_hard_gross_text_hand_model,accuracy,24,0.08421052631578947,261,0.8544061302681992,0.7916666666666666,18,0.27692307692307694,8,4,4
0.8491228070175438,0.8484042553191489,0.8365019011406845,132,12,31,110,route_score__best41_fp__model_visible__logreg,corrector_hard_gross_text_hand_model,balanced_accuracy,24,0.08421052631578947,261,0.8544061302681992,0.7916666666666666,18,0.27692307692307694,8,4,4
0.8491228070175438,0.8483303782505911,0.8352490421455939,133,11,32,109,route_score__best41_fp__model_visible__logreg,corrector_hard_gross_text_hand_model,pass90_accuracy,26,0.0912280701754386,259,0.8571428571428571,0.7692307692307693,19,0.2923076923076923,9,5,4
0.8456140350877193,0.8450797872340425,0.835820895522388,129,15,29,112,route_score__best41_fp__gross_hand_model__extra,corrector_hard_gross_text_hand,accuracy,16,0.056140350877192984,269,0.8736059479553904,0.375,13,0.2,5,2,3
0.8456140350877193,0.8450797872340425,0.835820895522388,129,15,29,112,route_score__best41_fp__gross_hand_model__extra,corrector_hard_gross_text_hand,pass90_accuracy,16,0.056140350877192984,269,0.8736059479553904,0.375,13,0.2,5,2,3
0.8456140350877193,0.8450797872340425,0.835820895522388,129,15,29,112,route_score__best41_fp__gross_hand_model__extra,corrector_hard_gross_text_hand,balanced_accuracy,16,0.056140350877192984,269,0.8736059479553904,0.375,13,0.2,5,2,3
0.8421052631578947,0.8422724586288416,0.8432055749128919,119,25,20,121,route_score__best41_wrong__model_visible__extra,corrector_hard_gross_text_hand,pass90_accuracy,46,0.16140350877192983,239,0.9163179916317992,0.45652173913043476,31,0.47692307692307695,12,10,2
0.8385964912280702,0.8382830969267139,0.8321167883211679,125,19,27,114,route_score__best41_fp__model_visible__logreg,corrector_all_gross_text_hand_model,pass90_accuracy,4,0.014035087719298246,281,0.8398576512455516,0.75,2,0.03076923076923077,1,0,1
0.8350877192982457,0.8360667848699763,0.8478964401294499,107,37,10,131,route_score__best41_fn__gross_hand_model__extra,corrector_hard_gross_text_hand_model,pass90_accuracy,53,0.18596491228070175,232,0.8836206896551724,0.6226415094339622,23,0.35384615384615387,17,17,0
0.8350877192982457,0.835401891252955,0.8384879725085911,116,28,19,122,route_score__best41_wrong__gross_hand_model__extra,corrector_hard_gross_text_hand,pass90_accuracy,64,0.22456140350877193,221,0.9230769230769231,0.53125,42,0.6461538461538462,14,14,0
0.8350877192982457,0.8353280141843972,0.8373702422145328,117,27,20,121,route_score__best41_wrong__model_visible__extra,corrector_hard_gross_text_hand,accuracy,44,0.1543859649122807,241,0.9087136929460581,0.4318181818181818,29,0.4461538461538462,10,10,0
0.8350877192982457,0.8353280141843972,0.8373702422145328,117,27,20,121,route_score__best41_wrong__model_visible__extra,corrector_hard_gross_text_hand,balanced_accuracy,44,0.1543859649122807,241,0.9087136929460581,0.4318181818181818,29,0.4461538461538462,10,10,0
0.8350877192982457,0.8351802600472813,0.8350877192982457,119,25,22,119,route_score__best41_fn__gross_hand_model__extra,corrector_hard_gross_text_hand,accuracy,15,0.05263157894736842,270,0.8555555555555555,0.4666666666666667,7,0.1076923076923077,5,5,0
0.8350877192982457,0.8351802600472813,0.8350877192982457,119,25,22,119,route_score__best41_fn__gross_hand_model__extra,corrector_hard_gross_text_hand,balanced_accuracy,15,0.05263157894736842,270,0.8555555555555555,0.4666666666666667,7,0.1076923076923077,5,5,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_all_gross_text_hand_model,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_all_gross_text_hand_model,pass90_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_all_gross_text_hand_model,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_hard_gross_text_hand_model,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_hard_gross_text_hand_model,pass90_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_hard_gross_text_hand_model,balanced_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_hard_gross_text_hand,accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
0.8350877192982457,0.8348108747044918,0.8290909090909091,124,20,27,114,route_score__simple_best41_uncertainty,corrector_hard_gross_text_hand,pass90_accuracy,0,0.0,285,0.8350877192982457,,0,0.0,0,0,0
