policy,family,name,budget,base_budget,addon_candidate,addon_rate,dev_accuracy,dev_balanced_accuracy,dev_sensitivity,dev_specificity,dev_precision,dev_f1,dev_tn,dev_fp,dev_fn,dev_tp,dev_review_n,dev_review_rate,dev_captured_wrong_n,dev_captured_fn_n,dev_captured_fp_n,dev_remaining_error_n,dev_review_precision_vs_p2_error,external_accuracy,external_balanced_accuracy,external_sensitivity,external_specificity,external_precision,external_f1,external_tn,external_fp,external_fn,external_tp,external_review_n,external_review_rate,external_captured_wrong_n,external_captured_fn_n,external_captured_fp_n,external_remaining_error_n,external_review_precision_vs_p2_error
buffer::all_any::0.425+0.000,buffer,all_any,,0.425,all_any,0.0,0.9509306260575296,0.9420452329888866,0.905829596412556,0.9782608695652174,0.9619047619047619,0.9330254041570438,360,8,21,202,251,0.42470389170896783,62,15,47,29,0.24701195219123506,0.8981481481481481,0.8927450296477154,0.851063829787234,0.9344262295081968,0.9090909090909091,0.8791208791208791,57,4,7,40,46,0.42592592592592593,21,8,13,11,0.45652173913043476
buffer::all_any::0.425+0.025,buffer,all_any,,0.425,all_any,0.025,0.9526226734348562,0.9442873854552545,0.9103139013452914,0.9782608695652174,0.9620853080568721,0.935483870967742,360,8,20,203,266,0.4500846023688663,63,16,47,28,0.23684210526315788,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,49,0.4537037037037037,22,9,13,10,0.4489795918367347
buffer::all_any::0.425+0.050,buffer,all_any,,0.425,all_any,0.05,0.9543147208121827,0.9465295379216221,0.9147982062780269,0.9782608695652174,0.9622641509433962,0.9379310344827586,360,8,19,204,281,0.4754653130287648,64,17,47,27,0.2277580071174377,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,51,0.4722222222222222,22,9,13,10,0.43137254901960786
buffer::all_any::0.425+0.075,buffer,all_any,,0.425,all_any,0.075,0.9593908629441624,0.9523725385065315,0.9237668161434978,0.9809782608695652,0.9671361502347418,0.944954128440367,361,7,17,206,295,0.49915397631133673,67,19,48,24,0.2271186440677966,0.9074074074074074,0.9033833275200558,0.8723404255319149,0.9344262295081968,0.9111111111111111,0.891304347826087,57,4,6,41,54,0.5,22,9,13,10,0.4074074074074074
buffer::all_any::0.425+0.100,buffer,all_any,,0.425,all_any,0.1,0.9627749576988156,0.9559733866250731,0.9282511210762332,0.9836956521739131,0.971830985915493,0.9495412844036697,362,6,16,207,310,0.5245346869712352,69,20,49,22,0.22258064516129034,0.9166666666666666,0.9115800488315312,0.8723404255319149,0.9508196721311475,0.9318181818181818,0.9010989010989012,58,3,6,41,57,0.5277777777777778,23,9,14,9,0.40350877192982454
buffer::all_any::0.425+0.125,buffer,all_any,,0.425,all_any,0.125,0.9695431472081218,0.9640585396763501,0.9417040358744395,0.9864130434782609,0.9767441860465116,0.9589041095890412,363,5,13,210,325,0.5499153976311336,73,23,50,18,0.2246153846153846,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,60,0.5555555555555556,24,10,14,8,0.4
buffer::all_any::0.425+0.150,buffer,all_any,,0.425,all_any,0.15,0.9746192893401016,0.9699015402612594,0.9506726457399103,0.9891304347826086,0.9814814814814815,0.9658314350797267,364,4,11,212,340,0.5752961082910322,76,25,51,15,0.2235294117647059,0.9259259259259259,0.9222183467038716,0.8936170212765957,0.9508196721311475,0.9333333333333333,0.9130434782608695,58,3,5,42,62,0.5740740740740741,24,10,14,8,0.3870967741935484
buffer::all_any::0.425+0.175,buffer,all_any,,0.425,all_any,0.175,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,354,0.5989847715736041,77,26,51,14,0.2175141242937853,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,65,0.6018518518518519,25,10,15,7,0.38461538461538464
buffer::all_any::0.425+0.200,buffer,all_any,,0.425,all_any,0.2,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,369,0.6243654822335025,77,26,51,14,0.2086720867208672,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,68,0.6296296296296297,25,10,15,7,0.36764705882352944
buffer::all_any::0.425+0.225,buffer,all_any,,0.425,all_any,0.225,0.9763113367174281,0.9721436927276272,0.9551569506726457,0.9891304347826086,0.9815668202764977,0.9681818181818181,364,4,10,213,384,0.649746192893401,77,26,51,14,0.20052083333333334,0.9351851851851852,0.930415068015347,0.8936170212765957,0.9672131147540983,0.9545454545454546,0.9230769230769231,59,2,5,42,70,0.6481481481481481,25,10,15,7,0.35714285714285715
