accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,feature_set,target,model,objective,routed_n,routed_frac,routed_acc,pass_n,pass_frac,pass_acc,rescue_n,hurt_n,net_rescue
0.8210526315789474,0.8206264775413712,0.8090524034672971,0.8118081180811808,0.7801418439716312,0.8611111111111112,124,20,31,110,emb16,switch_gain,extra_d3_l8,accuracy,4,0.014035087719298246,0.0,281,0.9859649122807017,0.8327402135231317,0,4,-4
0.8210526315789474,0.8205526004728132,0.8188041765169424,0.8104089219330854,0.7730496453900709,0.8680555555555556,125,19,32,109,numeric,base_wrong,logreg_c01,accuracy,6,0.021052631578947368,0.16666666666666666,279,0.9789473684210527,0.8351254480286738,1,5,-4
0.8210526315789474,0.8205526004728132,0.8190504334121356,0.8104089219330854,0.7730496453900709,0.8680555555555556,125,19,32,109,numeric_emb8,base_wrong,logreg_c01,accuracy,6,0.021052631578947368,0.16666666666666666,279,0.9789473684210527,0.8351254480286738,1,5,-4
0.8210526315789474,0.8205526004728132,0.8188041765169425,0.8104089219330854,0.7730496453900709,0.8680555555555556,125,19,32,109,numeric_emb8,base_wrong,logreg_c03,accuracy,6,0.021052631578947368,0.16666666666666666,279,0.9789473684210527,0.8351254480286738,1,5,-4
0.8175438596491228,0.8175975177304964,0.8203802206461781,0.8169014084507042,0.8226950354609929,0.8125,117,27,25,116,emb16,switch_gain,logreg_c01,accuracy,9,0.031578947368421054,0.2222222222222222,276,0.968421052631579,0.8369565217391305,2,7,-5
0.8175438596491228,0.8173758865248227,0.809938928289992,0.8129496402877698,0.8014184397163121,0.8333333333333334,120,24,28,113,emb16,base_wrong,gb_d1,accuracy,13,0.0456140350877193,0.3076923076923077,272,0.9543859649122807,0.8419117647058824,4,9,-5
0.8175438596491228,0.8173020094562649,0.8194444444444444,0.8115942028985508,0.7943262411347518,0.8402777777777778,121,23,29,112,numeric_emb8,switch_gain,logreg_c03,accuracy,7,0.02456140350877193,0.14285714285714285,278,0.9754385964912281,0.8345323741007195,1,6,-5
0.8175438596491228,0.8172281323877069,0.8124507486209613,0.8102189781021898,0.7872340425531915,0.8472222222222222,122,22,30,111,emb16,hard_core,gb_d1,accuracy,9,0.031578947368421054,0.2222222222222222,276,0.968421052631579,0.8369565217391305,2,7,-5
0.8175438596491228,0.8170803782505911,0.8095449172576833,0.8074074074074075,0.7730496453900709,0.8611111111111112,124,20,32,109,emb16,base_wrong,extra_d3_l8,accuracy,5,0.017543859649122806,0.0,280,0.9824561403508771,0.8321428571428572,0,5,-5
0.8175438596491228,0.8169326241134751,0.8063435776201734,0.8045112781954887,0.7588652482269503,0.875,126,18,34,107,numeric,switch_gain,logreg_c03,accuracy,9,0.031578947368421054,0.2222222222222222,276,0.968421052631579,0.8369565217391305,2,7,-5
0.8140350877192982,0.8139775413711583,0.8074271079590228,0.8113879003558719,0.8085106382978723,0.8194444444444444,118,26,27,114,emb16,switch_gain,rf_d3_l8,accuracy,10,0.03508771929824561,0.2,275,0.9649122807017544,0.8363636363636363,2,8,-6
0.8140350877192982,0.8138297872340425,0.8213652482269505,0.8086642599277978,0.7943262411347518,0.8333333333333334,120,24,29,112,numeric,base_wrong,rf_d3_l8,accuracy,6,0.021052631578947368,0.0,279,0.9789473684210527,0.8315412186379928,0,6,-6
0.8140350877192982,0.8138297872340425,0.8123029944838456,0.8086642599277978,0.7943262411347518,0.8333333333333334,120,24,29,112,numeric_emb16,switch_gain,rf_d3_l8,accuracy,10,0.03508771929824561,0.2,275,0.9649122807017544,0.8363636363636363,2,8,-6
0.8140350877192982,0.8137559101654847,0.8123522458628842,0.8072727272727273,0.7872340425531915,0.8402777777777778,121,23,30,111,numeric,switch_gain,rf_d3_l8,accuracy,10,0.03508771929824561,0.2,275,0.9649122807017544,0.8363636363636363,2,8,-6
0.8140350877192982,0.8137559101654847,0.8147163120567376,0.8072727272727273,0.7872340425531915,0.8402777777777778,121,23,30,111,numeric_emb8,base_wrong,rf_d3_l8,accuracy,6,0.021052631578947368,0.0,279,0.9789473684210527,0.8315412186379928,0,6,-6
0.8140350877192982,0.8137559101654847,0.8127462568951931,0.8072727272727273,0.7872340425531915,0.8402777777777778,121,23,30,111,numeric_emb8,switch_gain,logreg_c01,accuracy,8,0.028070175438596492,0.125,277,0.9719298245614035,0.8339350180505415,1,7,-6
0.8140350877192982,0.8135342789598109,0.798118597320725,0.8029739776951673,0.7659574468085106,0.8611111111111112,124,20,33,108,emb16,hard_core,rf_d3_l8,accuracy,6,0.021052631578947368,0.0,279,0.9789473684210527,0.8315412186379928,0,6,-6
