workflow,scope,n,auto_release_n,auto_release_rate,additional_image_release_n,final_review_n,final_review_rate,released_error_n,additional_released_error_n,accuracy,balanced_accuracy,f1,auc,fn,fp
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.70,old_data,285,216,0.7578947368421053,157,1,0.0035087719298245615,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.70,third_batch,306,244,0.7973856209150327,166,4,0.013071895424836602,7,7,0.9738562091503268,0.9589503484320558,0.95,0.818270905923345,6,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.70,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.70,all_domains,699,554,0.7925608011444921,397,5,0.00715307582260372,8,8,0.9871244635193133,0.9853923853923854,0.9832402234636871,0.8353017353017353,6,3
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.75,old_data,285,216,0.7578947368421053,157,1,0.0035087719298245615,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.75,third_batch,306,240,0.7843137254901961,162,8,0.026143790849673203,6,6,0.9771241830065359,0.9650479094076655,0.9565217391304348,0.818270905923345,5,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.75,strict_external,108,94,0.8703703703703703,74,0,0.0,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.75,all_domains,699,550,0.7868383404864091,393,9,0.012875536480686695,7,7,0.9885550786838341,0.9872442372442373,0.9851301115241635,0.8353017353017353,5,3
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.80,old_data,285,216,0.7578947368421053,157,1,0.0035087719298245615,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.80,third_batch,306,233,0.761437908496732,155,15,0.049019607843137254,4,4,0.9836601307189542,0.977243031358885,0.9693251533742331,0.818270905923345,3,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.80,strict_external,108,93,0.8611111111111112,73,1,0.009259259259259259,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.80,all_domains,699,542,0.7753934191702432,385,17,0.024320457796852647,5,5,0.9914163090128756,0.9909479409479409,0.9888888888888889,0.8353017353017353,3,3
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.85,old_data,285,214,0.7508771929824561,155,3,0.010526315789473684,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.85,third_batch,306,226,0.738562091503268,148,22,0.0718954248366013,3,3,0.9869281045751634,0.9833405923344948,0.975609756097561,0.818270905923345,2,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.85,strict_external,108,91,0.8425925925925926,71,3,0.027777777777777776,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.85,all_domains,699,531,0.759656652360515,374,28,0.04005722460658083,4,4,0.9928469241773963,0.9927997927997928,0.9907578558225508,0.8353017353017353,2,3
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.90,old_data,285,210,0.7368421052631579,151,7,0.02456140350877193,1,1,0.9964912280701754,0.9965277777777778,0.9964664310954063,0.8737687155240348,0,1
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.90,third_batch,306,208,0.6797385620915033,130,40,0.13071895424836602,3,3,0.9869281045751634,0.9833405923344948,0.975609756097561,0.818270905923345,2,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.90,strict_external,108,88,0.8148148148148148,68,6,0.05555555555555555,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.90,all_domains,699,506,0.7238912732474965,349,53,0.07582260371959942,4,4,0.9928469241773963,0.9927997927997928,0.9907578558225508,0.8353017353017353,2,3
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.95,old_data,285,180,0.631578947368421,121,37,0.12982456140350876,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.95,third_batch,306,181,0.5915032679738562,103,67,0.21895424836601307,2,2,0.9901960784313726,0.9894381533101045,0.9818181818181818,0.818270905923345,1,2
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.95,strict_external,108,84,0.7777777777777778,64,10,0.09259259259259259,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v161_final_review_or_reject_tabular_logreg_c1_t0.95,all_domains,699,445,0.6366237482117311,288,114,0.1630901287553648,2,2,0.9957081545064378,0.9958171458171459,0.9944547134935305,0.8353017353017353,1,2
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.50,old_data,285,125,0.43859649122807015,66,92,0.32280701754385965,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.50,third_batch,306,170,0.5555555555555556,92,78,0.2549019607843137,5,5,0.9803921568627451,0.9672800522648084,0.9625,0.818270905923345,5,1
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.50,strict_external,108,60,0.5555555555555556,40,34,0.3148148148148148,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.50,all_domains,699,355,0.5078683834048641,198,204,0.2918454935622318,5,5,0.9914163090128756,0.9895752395752395,0.9888059701492538,0.8353017353017353,5,1
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.55,old_data,285,115,0.40350877192982454,56,102,0.35789473684210527,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.55,third_batch,306,156,0.5098039215686274,78,92,0.3006535947712418,4,4,0.9836601307189542,0.9733776132404182,0.968944099378882,0.818270905923345,4,1
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.55,strict_external,108,56,0.5185185185185185,36,38,0.35185185185185186,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.55,all_domains,699,327,0.4678111587982833,170,232,0.3319027181688126,4,4,0.9928469241773963,0.9914270914270914,0.9906890130353817,0.8353017353017353,4,1
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.60,old_data,285,108,0.37894736842105264,49,109,0.3824561403508772,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.60,third_batch,306,150,0.49019607843137253,72,98,0.3202614379084967,3,3,0.9869281045751634,0.9794751742160279,0.9753086419753086,0.818270905923345,3,1
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.60,strict_external,108,45,0.4166666666666667,25,49,0.4537037037037037,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.60,all_domains,699,303,0.4334763948497854,146,256,0.36623748211731044,3,3,0.994277539341917,0.9932789432789433,0.9925650557620818,0.8353017353017353,3,1
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.65,old_data,285,102,0.35789473684210527,43,115,0.40350877192982454,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.65,third_batch,306,137,0.4477124183006536,59,111,0.3627450980392157,3,3,0.9869281045751634,0.9794751742160279,0.9753086419753086,0.818270905923345,3,1
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.65,strict_external,108,37,0.3425925925925926,17,57,0.5277777777777778,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.65,all_domains,699,276,0.3948497854077253,119,283,0.40486409155937053,3,3,0.994277539341917,0.9932789432789433,0.9925650557620818,0.8353017353017353,3,1
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.70,old_data,285,91,0.3192982456140351,32,126,0.4421052631578947,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.70,third_batch,306,127,0.4150326797385621,49,121,0.3954248366013072,2,2,0.9901960784313726,0.9817073170731707,0.9813664596273292,0.818270905923345,3,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.70,strict_external,108,31,0.28703703703703703,11,63,0.5833333333333334,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.70,all_domains,699,249,0.3562231759656652,92,310,0.4434907010014306,2,2,0.9957081545064378,0.9944444444444445,0.994413407821229,0.8353017353017353,3,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.75,old_data,285,81,0.28421052631578947,22,136,0.47719298245614034,0,0,1.0,1.0,1.0,0.8737687155240348,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.75,third_batch,306,114,0.37254901960784315,36,134,0.43790849673202614,2,2,0.9901960784313726,0.9817073170731707,0.9813664596273292,0.818270905923345,3,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.75,strict_external,108,27,0.25,7,67,0.6203703703703703,0,0,1.0,1.0,1.0,0.67317753749564,0,0
v178_union_v118_review_or_control_dino_pca64_logreg_c03_t0.75,all_domains,699,222,0.31759656652360513,65,337,0.4821173104434907,2,2,0.9957081545064378,0.9944444444444445,0.994413407821229,0.8353017353017353,3,0
