policy,eval_domain,flip_budget,n,flip_n,flip_rate,base_errors,flip_errors,net_errors_reduced,rescued_by_flip,hurt_by_flip,rescued_fn_by_flip,rescued_fp_by_flip,hurt_to_fn_by_flip,hurt_to_fp_by_flip,base_n,base_accuracy,base_balanced_accuracy,base_f1,base_sensitivity_high,base_specificity_low,base_tn,base_fp,base_fn,base_tp,base_auc,auto_flip_n,auto_flip_accuracy,auto_flip_balanced_accuracy,auto_flip_f1,auto_flip_sensitivity_high,auto_flip_specificity_low,auto_flip_tn,auto_flip_fp,auto_flip_fn,auto_flip_tp,auto_flip_auc
baseline_low_conf_dev_selected,old_data,0.2,285,57,0.2,61,66,-5,26,31,8,18,11,20,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7684210526315789,0.7689125295508275,0.777027027027027,0.8156028368794326,0.7222222222222222,104,40,26,115,0.8737687155240348
dev_stable_router_all_domains,old_data,0.2,285,57,0.2,45,80,-35,11,46,6,5,27,19,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.7192982456140351,0.7186022458628842,0.696969696969697,0.6524822695035462,0.7847222222222222,113,31,49,92,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.2,285,57,0.2,45,80,-35,11,46,6,5,27,19,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.7192982456140351,0.7186022458628842,0.696969696969697,0.6524822695035462,0.7847222222222222,113,31,49,92,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.2,285,57,0.2,45,80,-35,11,46,6,5,27,19,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.7192982456140351,0.7186022458628842,0.696969696969697,0.6524822695035462,0.7847222222222222,113,31,49,92,0.9036643026004727
baseline_low_conf_dev_selected,old_data,0.3,285,86,0.3017543859649123,61,79,-18,34,52,13,21,20,32,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.7228070175438597,0.7234781323877069,0.7375415282392026,0.7872340425531915,0.6597222222222222,95,49,30,111,0.8737687155240348
dev_stable_router_all_domains,old_data,0.3,285,86,0.3017543859649123,45,93,-48,19,67,12,7,35,32,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.6736842105263158,0.6733156028368794,0.6593406593406593,0.6382978723404256,0.7083333333333334,102,42,51,90,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.3,285,86,0.3017543859649123,45,93,-48,19,67,12,7,35,32,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.6736842105263158,0.6733156028368794,0.6593406593406593,0.6382978723404256,0.7083333333333334,102,42,51,90,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.3,285,86,0.3017543859649123,45,93,-48,19,67,12,7,35,32,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.6736842105263158,0.6733156028368794,0.6593406593406593,0.6382978723404256,0.7083333333333334,102,42,51,90,0.9036643026004727
baseline_low_conf_dev_selected,old_data,0.4,285,114,0.4,61,91,-30,42,72,16,26,31,41,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.6807017543859649,0.6812204491725768,0.6936026936026936,0.7304964539007093,0.6319444444444444,91,53,38,103,0.8737687155240348
dev_stable_router_all_domains,old_data,0.4,285,114,0.4,45,117,-72,21,93,13,8,47,46,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.5894736842105263,0.589169621749409,0.5745454545454546,0.5602836879432624,0.6180555555555556,89,55,62,79,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.4,285,114,0.4,45,117,-72,21,93,13,8,47,46,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.5894736842105263,0.589169621749409,0.5745454545454546,0.5602836879432624,0.6180555555555556,89,55,62,79,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.4,285,114,0.4,45,117,-72,21,93,13,8,47,46,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.5894736842105263,0.589169621749409,0.5745454545454546,0.5602836879432624,0.6180555555555556,89,55,62,79,0.9036643026004727
baseline_low_conf_dev_selected,old_data,0.5,285,142,0.4982456140350877,61,107,-46,48,94,18,30,45,49,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.624561403508772,0.6247783687943262,0.629757785467128,0.6453900709219859,0.6041666666666666,87,57,50,91,0.8737687155240348
dev_stable_router_all_domains,old_data,0.5,285,142,0.4982456140350877,45,139,-94,24,118,15,9,57,61,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.512280701754386,0.5121897163120568,0.505338078291815,0.5035460992907801,0.5208333333333334,75,69,70,71,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.5,285,142,0.4982456140350877,45,139,-94,24,118,15,9,57,61,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.512280701754386,0.5121897163120568,0.505338078291815,0.5035460992907801,0.5208333333333334,75,69,70,71,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.5,285,142,0.4982456140350877,45,139,-94,24,118,15,9,57,61,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.512280701754386,0.5121897163120568,0.505338078291815,0.5035460992907801,0.5208333333333334,75,69,70,71,0.9036643026004727
baseline_low_conf_dev_selected,old_data,0.6,285,171,0.6,61,128,-67,52,119,20,32,59,60,285,0.7859649122807018,0.7864952718676124,0.7946127946127947,0.8368794326241135,0.7361111111111112,106,38,23,118,0.8737687155240348,285,0.5508771929824562,0.5509751773049645,0.5524475524475524,0.5602836879432624,0.5416666666666666,78,66,62,79,0.8737687155240348
dev_stable_router_all_domains,old_data,0.6,285,171,0.6,45,164,-119,26,145,16,10,74,71,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.4245614035087719,0.42420212765957444,0.40145985401459855,0.3900709219858156,0.4583333333333333,66,78,86,55,0.9036643026004727
shift_aware_image_directional_candidate,old_data,0.6,285,171,0.6,45,164,-119,26,145,16,10,74,71,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.4245614035087719,0.42420212765957444,0.40145985401459855,0.3900709219858156,0.4583333333333333,66,78,86,55,0.9036643026004727
shift_aware_concept_directional_candidate,old_data,0.6,285,171,0.6,45,164,-119,26,145,16,10,74,71,285,0.8421052631578947,0.8416814420803782,0.8339483394833949,0.8014184397163121,0.8819444444444444,127,17,28,113,0.9036643026004727,285,0.4245614035087719,0.42420212765957444,0.40145985401459855,0.3900709219858156,0.4583333333333333,66,78,86,55,0.9036643026004727
dev_stable_router_all_domains,strict_external,0.0,105,0,0.0,32,32,0,0,0,0,0,0,0,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748
shift_aware_image_directional_candidate,strict_external,0.0,105,0,0.0,32,32,0,0,0,0,0,0,0,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748
baseline_low_conf_dev_selected,strict_external,0.0,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
shift_aware_concept_directional_candidate,strict_external,0.0,105,0,0.0,51,51,0,0,0,0,0,0,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108
dev_stable_router_all_domains,strict_external,0.1,105,10,0.09523809523809523,32,36,-4,3,7,0,3,3,4,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6571428571428571,0.653338224504769,0.6170212765957447,0.6170212765957447,0.6896551724137931,40,18,18,29,0.6621423330887748
shift_aware_image_directional_candidate,strict_external,0.1,105,10,0.09523809523809523,32,36,-4,3,7,0,3,7,0,105,0.6952380952380952,0.6938738077769626,0.6666666666666666,0.6808510638297872,0.7068965517241379,41,17,15,32,0.6621423330887748,105,0.6571428571428571,0.6452677916360968,0.5813953488372093,0.5319148936170213,0.7586206896551724,44,14,22,25,0.6621423330887748
baseline_low_conf_dev_selected,strict_external,0.1,105,10,0.09523809523809523,51,43,8,9,1,2,7,0,1,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5904761904761905,0.6050990462215701,0.6194690265486725,0.7446808510638298,0.46551724137931033,27,31,12,35,0.6661775495231108
shift_aware_concept_directional_candidate,strict_external,0.1,105,10,0.09523809523809523,51,43,8,9,1,0,9,1,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.5904761904761905,0.599046221570066,0.5981308411214953,0.6808510638297872,0.5172413793103449,30,28,15,32,0.6661775495231108
shift_aware_concept_directional_candidate,strict_external,0.2,105,21,0.2,51,32,19,20,1,3,17,1,0,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.6952380952380952,0.6999266324284665,0.6862745098039216,0.7446808510638298,0.6551724137931034,38,20,12,35,0.6661775495231108
baseline_low_conf_dev_selected,strict_external,0.2,105,21,0.2,51,34,17,19,2,7,12,1,1,105,0.5142857142857142,0.5320983125458547,0.5641025641025641,0.7021276595744681,0.3620689655172414,21,37,14,33,0.6661775495231108,105,0.6761904761904762,0.6907556859867938,0.6964285714285714,0.8297872340425532,0.5517241379310345,32,26,8,39,0.6661775495231108
