profile,adapt_n,holdout_n,model_kind,repeat_adapt,threshold_objective,threshold,train_accuracy,train_balanced_accuracy,train_f1,train_tn,train_fp,train_fn,train_tp,train_auc,old_oof_accuracy,old_oof_balanced_accuracy,old_oof_f1,old_oof_tn,old_oof_fp,old_oof_fn,old_oof_tp,old_oof_auc,adapt_oof_accuracy,adapt_oof_balanced_accuracy,adapt_oof_f1,adapt_oof_tn,adapt_oof_fp,adapt_oof_fn,adapt_oof_tp,adapt_oof_auc,holdout_accuracy,holdout_balanced_accuracy,holdout_f1,holdout_tn,holdout_fp,holdout_fn,holdout_tp,holdout_auc,selection_score
adapt180_mixed,180,126,logreg_0.0003,4,accuracy,0.6,0.6924731182795699,0.6782893994660248,0.6166219839142091,207,55,88,115,0.7486932651449629,0.6666666666666666,0.6657062647754137,0.6303501945525292,109,35,60,81,0.7343873128447597,0.7333333333333333,0.6894477856752323,0.5862068965517241,98,20,28,34,0.7644887916894478,0.8888888888888888,0.8933962264150943,0.72,94,12,2,18,0.8952830188679245,0.78043432604467
adapt150_high_focus,150,156,extratrees_5,1,balanced_accuracy,0.5199999999999999,0.6827586206896552,0.6750795334040297,0.6166666666666667,186,44,94,111,0.7220996818663838,0.6666666666666666,0.665410756501182,0.6184738955823293,113,31,64,77,0.6998128447596532,0.7133333333333334,0.6900436046511628,0.6126126126126126,73,13,30,34,0.7612645348837209,0.8397435897435898,0.6920289855072463,0.4186046511627907,122,16,9,9,0.7709339774557166,0.7797536338429989
adapt150_high_focus,150,156,extratrees_5,1,accuracy,0.5199999999999999,0.6827586206896552,0.6750795334040297,0.6166666666666667,186,44,94,111,0.7220996818663838,0.6666666666666666,0.665410756501182,0.6184738955823293,113,31,64,77,0.6998128447596532,0.7133333333333334,0.6900436046511628,0.6126126126126126,73,13,30,34,0.7612645348837209,0.8397435897435898,0.6920289855072463,0.4186046511627907,122,16,9,9,0.7709339774557166,0.7797536338429989
adapt150_high_focus,150,156,logreg_0.001,2,accuracy,0.5499999999999999,0.671264367816092,0.6684517497348886,0.6397984886649875,165,65,78,127,0.7414846235418877,0.6666666666666666,0.6661495271867612,0.6468401486988847,103,41,54,87,0.7294129235618598,0.68,0.6729651162790697,0.625,62,24,24,40,0.7598110465116279,0.8012820512820513,0.7185990338164252,0.41509433962264153,114,24,7,11,0.821658615136876,0.7796970704882812
adapt150_high_focus,150,156,logreg_0.003,2,balanced_accuracy,0.71,0.6781609195402298,0.6686108165429481,0.5953757225433526,192,38,102,103,0.7456839872746552,0.6666666666666666,0.6649674940898345,0.5991561181434599,119,25,70,71,0.7335500394011032,0.7,0.6744186046511628,0.5871559633027523,73,13,32,32,0.7645348837209303,0.8525641025641025,0.6751207729468599,0.41025641025641024,125,13,10,8,0.8075684380032206,0.7785341254083216
adapt150_high_focus,150,156,logreg_0.003,2,accuracy,0.71,0.6781609195402298,0.6686108165429481,0.5953757225433526,192,38,102,103,0.7456839872746552,0.6666666666666666,0.6649674940898345,0.5991561181434599,119,25,70,71,0.7335500394011032,0.7,0.6744186046511628,0.5871559633027523,73,13,32,32,0.7645348837209303,0.8525641025641025,0.6751207729468599,0.41025641025641024,125,13,10,8,0.8075684380032206,0.7785341254083216
adapt180_mixed,180,126,extratrees_3,2,balanced_accuracy,0.49999999999999994,0.6731182795698925,0.6716523145188583,0.638095238095238,179,83,69,134,0.7225961719249427,0.6631578947368421,0.6629728132387707,0.6546762589928058,98,46,50,91,0.6997635933806147,0.6888888888888889,0.6899945325314379,0.6056338028169014,81,37,19,43,0.7592946965554949,0.746031746031746,0.8084905660377358,0.5294117647058824,76,30,2,18,0.875,0.7767289857178757
adapt72_high_focus,72,234,logreg_0.0003,2,balanced_accuracy,0.49999999999999994,0.6778711484593838,0.6773412947831552,0.6900269541778976,114,58,57,128,0.7249842866121936,0.6771929824561403,0.6771572104018913,0.6737588652482269,98,46,46,95,0.7319739952718677,0.6805555555555556,0.6607142857142857,0.7415730337078652,16,12,11,33,0.6761363636363636,0.7051282051282052,0.6542696025778733,0.3893805309734513,143,53,16,22,0.7363050483351236,0.7758548902110713
adapt72_high_focus,72,234,logreg_0.0003,2,accuracy,0.49999999999999994,0.6778711484593838,0.6773412947831552,0.6900269541778976,114,58,57,128,0.7249842866121936,0.6771929824561403,0.6771572104018913,0.6737588652482269,98,46,46,95,0.7319739952718677,0.6805555555555556,0.6607142857142857,0.7415730337078652,16,12,11,33,0.6761363636363636,0.7051282051282052,0.6542696025778733,0.3893805309734513,143,53,16,22,0.7363050483351236,0.7758548902110713
adapt120_high_focus,120,186,logreg_0.003,4,accuracy,0.73,0.6666666666666666,0.6690853658536585,0.5896656534954408,173,27,108,97,0.7112439024390244,0.6736842105263158,0.6715425531914894,0.5866666666666667,126,18,75,66,0.7116331757289204,0.65,0.6618303571428572,0.5961538461538461,47,9,33,31,0.7042410714285714,0.8763440860215054,0.683531746031746,0.41025641025641024,155,13,10,8,0.7384259259259259,0.7746206010452962
adapt72_high_focus,72,234,extratrees_5,2,balanced_accuracy,0.5099999999999999,0.6694677871148459,0.6702545568824638,0.6703910614525139,119,53,65,120,0.7142363293526084,0.6666666666666666,0.6661495271867612,0.6468401486988847,103,41,54,87,0.7092198581560283,0.6805555555555556,0.6607142857142857,0.7415730337078652,16,12,11,33,0.7207792207792207,0.7393162393162394,0.6958915145005371,0.44036697247706424,149,47,14,24,0.7369763694951665,0.7744781658735147
