align,pca_components,pca_explained,c,gamma,threshold_objective,old_cv_threshold,old_cv_threshold_score,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_auc,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_auc,strict_accuracy,strict_balanced_accuracy,strict_f1,strict_tn,strict_fp,strict_fn,strict_tp,strict_auc
diag,16,0.49430108070373535,1.0,0.003,accuracy,0.11351056814193727,0.6456140350877193,0.6456140350877193,0.6456855791962175,0.6456140350877193,92,52,49,92,0.6651891252955082,0.6018518518518519,0.591384722706662,0.5274725274725275,41,20,23,24,0.5884199511684688,0.5904761904761905,0.582905355832722,0.5274725274725275,38,20,23,24,0.5807043286867205
diag,16,0.49430108070373535,0.3,scale,balanced_accuracy,0.08521770477294921,0.6447251773049645,0.6456140350877193,0.6447251773049645,0.61003861003861,105,39,62,79,0.6777974783293932,0.6018518518518519,0.591384722706662,0.5274725274725275,41,20,23,24,0.6037670038367632,0.5904761904761905,0.582905355832722,0.5274725274725275,38,20,23,24,0.5972120322817315
diag,16,0.49430108070373535,0.3,scale,accuracy,0.08521770477294921,0.6456140350877193,0.6456140350877193,0.6447251773049645,0.61003861003861,105,39,62,79,0.6777974783293932,0.6018518518518519,0.591384722706662,0.5274725274725275,41,20,23,24,0.6037670038367632,0.5904761904761905,0.582905355832722,0.5274725274725275,38,20,23,24,0.5972120322817315
diag,32,0.6357396841049194,3.0,scale,balanced_accuracy,0.17273852229118347,0.6689568557919622,0.6701754385964912,0.6689568557919622,0.624,113,31,63,78,0.7192178881008668,0.5925925925925926,0.5734216951517266,0.47619047619047616,44,17,27,20,0.5999302406696895,0.5904761904761905,0.5748349229640499,0.4819277108433735,42,16,27,20,0.6005135730007336
diag,32,0.6357396841049194,3.0,scale,accuracy,0.17273852229118347,0.6701754385964912,0.6701754385964912,0.6689568557919622,0.624,113,31,63,78,0.7192178881008668,0.5925925925925926,0.5734216951517266,0.47619047619047616,44,17,27,20,0.5999302406696895,0.5904761904761905,0.5748349229640499,0.4819277108433735,42,16,27,20,0.6005135730007336
diag,48,0.71592116355896,1.0,scale,balanced_accuracy,0.12906497716903687,0.6584663120567376,0.6596491228070176,0.6584663120567376,0.6135458167330677,111,33,64,77,0.7028171788810087,0.6018518518518519,0.581618416463202,0.4819277108433735,45,16,27,20,0.5964422741541681,0.5904761904761905,0.5748349229640499,0.4819277108433735,42,16,27,20,0.5942773294203962
diag,48,0.71592116355896,1.0,scale,accuracy,0.12906497716903687,0.6596491228070176,0.6596491228070176,0.6584663120567376,0.6135458167330677,111,33,64,77,0.7028171788810087,0.6018518518518519,0.581618416463202,0.4819277108433735,45,16,27,20,0.5964422741541681,0.5904761904761905,0.5748349229640499,0.4819277108433735,42,16,27,20,0.5942773294203962
diag,48,0.71592116355896,10.0,scale,balanced_accuracy,0.24805361509323132,0.6647458628841607,0.6666666666666666,0.6647458628841607,0.5887445887445888,122,22,73,68,0.6999113475177305,0.6018518518518519,0.5791768399023369,0.4691358024691358,46,15,28,19,0.5873735612138125,0.5904761904761905,0.5728173147468819,0.4691358024691358,43,15,28,19,0.5898752751283932
diag,48,0.71592116355896,10.0,scale,accuracy,0.24805361509323132,0.6666666666666666,0.6666666666666666,0.6647458628841607,0.5887445887445888,122,22,73,68,0.6999113475177305,0.6018518518518519,0.5791768399023369,0.4691358024691358,46,15,28,19,0.5873735612138125,0.5904761904761905,0.5728173147468819,0.4691358024691358,43,15,28,19,0.5898752751283932
diag,24,0.5774636268615723,10.0,scale,balanced_accuracy,0.359864444732666,0.625886524822695,0.6280701754385964,0.625886524822695,0.5267857142857143,120,24,82,59,0.6723798266351457,0.5925925925925926,0.5709801185908615,0.4634146341463415,45,16,28,19,0.6069061737007324,0.5904761904761905,0.5728173147468819,0.4691358024691358,43,15,28,19,0.611885546588408
diag,24,0.5774636268615723,10.0,scale,accuracy,0.359864444732666,0.6280701754385964,0.6280701754385964,0.625886524822695,0.5267857142857143,120,24,82,59,0.6723798266351457,0.5925925925925926,0.5709801185908615,0.4634146341463415,45,16,28,19,0.6069061737007324,0.5904761904761905,0.5728173147468819,0.4691358024691358,43,15,28,19,0.611885546588408
diag,40,0.6801644563674927,10.0,0.01,balanced_accuracy,0.1423659038543701,0.6660017730496454,0.6666666666666666,0.6660017730496454,0.6415094339622641,105,39,56,85,0.7203014184397164,0.5833333333333334,0.5725497035228462,0.5054945054945055,40,21,24,23,0.5999302406696896,0.580952380952381,0.5722670579603815,0.5111111111111111,38,20,24,23,0.6019809244314014
diag,40,0.6801644563674927,10.0,0.01,accuracy,0.1423659038543701,0.6666666666666666,0.6666666666666666,0.6660017730496454,0.6415094339622641,105,39,56,85,0.7203014184397164,0.5833333333333334,0.5725497035228462,0.5054945054945055,40,21,24,23,0.5999302406696896,0.580952380952381,0.5722670579603815,0.5111111111111111,38,20,24,23,0.6019809244314014
diag,32,0.6357396841049194,1.0,0.01,accuracy,0.010725679397582955,0.6596491228070176,0.6596491228070176,0.6595005910165486,0.6523297491039427,97,47,50,91,0.7036052009456264,0.5925925925925926,0.5807464248343216,0.5111111111111111,41,20,24,23,0.6320195326124869,0.580952380952381,0.5722670579603815,0.5111111111111111,38,20,24,23,0.6254585473220837
diag,64,0.7723590731620789,3.0,0.01,accuracy,-0.05575983762741088,0.6736842105263158,0.6736842105263158,0.6739066193853428,0.6782006920415224,94,50,43,98,0.7199566587864459,0.5648148148148148,0.5659225671433554,0.5346534653465347,34,27,20,27,0.5497035228461807,0.5714285714285714,0.5717168011738811,0.5454545454545454,33,25,20,27,0.5506236243580338
diag,32,0.6357396841049194,0.3,0.01,balanced_accuracy,0.10418821573257442,0.6686613475177305,0.6701754385964912,0.6686613475177305,0.6115702479338843,117,27,67,74,0.7007486209613869,0.6018518518518519,0.576735263341472,0.45569620253164556,47,14,29,18,0.6145797000348796,0.5904761904761905,0.5707997065297139,0.45569620253164556,44,14,29,18,0.6104181951577403
diag,32,0.6357396841049194,0.3,0.01,accuracy,0.10418821573257442,0.6701754385964912,0.6701754385964912,0.6686613475177305,0.6115702479338843,117,27,67,74,0.7007486209613869,0.6018518518518519,0.576735263341472,0.45569620253164556,47,14,29,18,0.6145797000348796,0.5904761904761905,0.5707997065297139,0.45569620253164556,44,14,29,18,0.6104181951577403
diag,64,0.7723590731620789,1.0,0.001,balanced_accuracy,-0.10174384057521813,0.6719119385342789,0.6736842105263158,0.6719119385342789,0.6042553191489362,121,23,70,71,0.710401891252955,0.5370370370370371,0.5608650156958492,0.5833333333333334,23,38,12,35,0.5783048482734565,0.5523809523809524,0.5706162876008805,0.5982905982905983,23,35,12,35,0.5770359501100514
diag,64,0.7723590731620789,1.0,0.001,accuracy,-0.10174384057521813,0.6736842105263158,0.6736842105263158,0.6719119385342789,0.6042553191489362,121,23,70,71,0.710401891252955,0.5370370370370371,0.5608650156958492,0.5833333333333334,23,38,12,35,0.5783048482734565,0.5523809523809524,0.5706162876008805,0.5982905982905983,23,35,12,35,0.5770359501100514
diag,32,0.6357396841049194,3.0,0.001,balanced_accuracy,0.07404340028762824,0.6585401891252955,0.6596491228070176,0.6585401891252955,0.616600790513834,110,34,63,78,0.6946907013396375,0.5925925925925926,0.5783048482734565,0.5,42,19,25,22,0.5845831880013952,0.580952380952381,0.5702494497432136,0.5,39,19,25,22,0.5781364636830522
diag,32,0.6357396841049194,3.0,0.001,accuracy,0.07404340028762824,0.6596491228070176,0.6596491228070176,0.6585401891252955,0.616600790513834,110,34,63,78,0.6946907013396375,0.5925925925925926,0.5783048482734565,0.5,42,19,25,22,0.5845831880013952,0.580952380952381,0.5702494497432136,0.5,39,19,25,22,0.5781364636830522
