rule_id,conditions_json,internal_cases,released_n_sum,released_error_n_sum,released_high_risk_fn_n_sum,remaining_review_or_reject_n_sum,auto_error_n_sum,auto_high_risk_fn_n_sum,mean_review_or_reject_rate,min_balanced_accuracy
rule_0545,"{""base_entropy"": 0.47078384864362843, ""safe_distance_case_score"": 0.4848319814504693}",591,0,0,0,196,1,1,0.32929136566907463,0.9939024390243902
rule_0608,"{""router_risk_mean"": 0.3583952070302708, ""safe_distance_case_score"": 0.44908446583322653}",591,0,0,0,196,1,1,0.32929136566907463,0.9939024390243902
rule_0609,"{""router_risk_mean"": 0.3583952070302708, ""safe_distance_case_score"": 0.4848319814504693}",591,0,0,0,196,1,1,0.32929136566907463,0.9939024390243902
rule_0616,"{""router_risk_mean"": 0.41635997334022856, ""safe_distance_case_score"": 0.44908446583322653}",591,0,0,0,196,1,1,0.32929136566907463,0.9939024390243902
rule_0223,"{""model_disagreement_rate"": 0.0, ""safe_distance_case_score"": 0.6809192268745825}",591,26,1,1,170,2,2,0.2856037151702786,0.9878048780487805
rule_0222,"{""model_disagreement_rate"": 0.0, ""safe_distance_case_score"": 0.6307140560545222}",591,24,1,1,172,2,2,0.28899208806329546,0.9878048780487805
rule_0149,"{""model_disagreement_rate"": 0.0, ""router_risk_mean"": 0.5101635376559355}",591,19,1,1,177,2,2,0.2977640178878569,0.9878048780487805
rule_0221,"{""model_disagreement_rate"": 0.0, ""safe_distance_case_score"": 0.5964855305337708}",591,18,1,1,178,2,2,0.29939800481596146,0.9878048780487805
rule_0148,"{""model_disagreement_rate"": 0.0, ""router_risk_mean"": 0.48295647170231426}",591,17,1,1,179,2,2,0.30103199174406603,0.9878048780487805
rule_0220,"{""model_disagreement_rate"": 0.0, ""safe_distance_case_score"": 0.5740271177553192}",591,14,1,1,182,2,2,0.30593395252837974,0.9878048780487805
rule_0643,"{""router_risk_mean"": 0.48295647170231426, ""safe_distance_case_score"": 0.5384969832645418}",591,14,1,1,182,2,2,0.30569315445476436,0.9878048780487805
rule_0147,"{""model_disagreement_rate"": 0.0, ""router_risk_mean"": 0.4682956323462678}",591,13,1,1,183,2,2,0.307688338493292,0.9878048780487805
rule_0219,"{""model_disagreement_rate"": 0.0, ""safe_distance_case_score"": 0.5384969832645418}",591,12,1,1,184,2,2,0.3093223254213966,0.9878048780487805
rule_0642,"{""router_risk_mean"": 0.48295647170231426, ""safe_distance_case_score"": 0.514713758890918}",591,12,1,1,184,2,2,0.3090815273477812,0.9878048780487805
rule_0635,"{""router_risk_mean"": 0.4682956323462678, ""safe_distance_case_score"": 0.5384969832645418}",591,11,1,1,185,2,2,0.3108359133126935,0.9878048780487805
rule_0004,"{""base_uncertainty"": 0.2930204020410354, ""model_disagreement_rate"": 0.0}",591,9,1,1,187,2,2,0.31446508427932574,0.9878048780487805
rule_0076,"{""base_entropy"": 0.6048336049280865, ""model_disagreement_rate"": 0.0}",591,9,1,1,187,2,2,0.31446508427932574,0.9878048780487805
rule_0145,"{""model_disagreement_rate"": 0.0, ""router_risk_mean"": 0.41635997334022856}",591,9,1,1,187,2,2,0.31422428620571036,0.9878048780487805
rule_0146,"{""model_disagreement_rate"": 0.0, ""router_risk_mean"": 0.4404604666281271}",591,9,1,1,187,2,2,0.31422428620571036,0.9878048780487805
rule_0226,"{""model_disagreement_rate"": 0.0833333333333333, ""safe_distance_case_score"": 0.514713758890918}",591,9,1,1,187,2,2,0.3143446852425181,0.9878048780487805
rule_0634,"{""router_risk_mean"": 0.4682956323462678, ""safe_distance_case_score"": 0.514713758890918}",591,9,1,1,187,2,2,0.31422428620571036,0.9878048780487805
rule_0168,"{""model_disagreement_rate"": 0.25, ""router_risk_mean"": 0.3583952070302708}",591,8,1,1,188,2,2,0.3160990712074303,0.9878048780487805
rule_0176,"{""model_disagreement_rate"": 0.3333333333333333, ""router_risk_mean"": 0.3583952070302708}",591,8,1,1,188,2,2,0.3160990712074303,0.9878048780487805
