variant,model,weight_mode,objective,all_threshold,all_accuracy,all_balanced_accuracy,all_f1,all_tn,all_fp,all_fn,all_tp,all_sensitivity_high,all_specificity_low,all_auc,old_threshold,old_accuracy,old_balanced_accuracy,old_f1,old_tn,old_fp,old_fn,old_tp,old_sensitivity_high,old_specificity_low,old_auc,third_threshold,third_accuracy,third_balanced_accuracy,third_f1,third_tn,third_fp,third_fn,third_tp,third_sensitivity_high,third_specificity_low,third_auc,selection_score,old_guard_090
wpc_stats,logreg_bal_c0.01,none,high_sens80,0.41999999999999993,0.6057529610829103,0.6498525541041138,0.6135986733001658,173,195,38,185,0.8295964125560538,0.4701086956521739,0.7225458178982258,0.41999999999999993,0.6456140350877193,0.6477541371158393,0.7038123167155426,64,80,21,120,0.851063829787234,0.4444444444444444,0.7335007880220646,0.41999999999999993,0.5686274509803921,0.6396450348432056,0.4961832061068702,109,115,17,65,0.7926829268292683,0.48660714285714285,0.6831990418118467,0.3946820838890551,False
wpc_stats,logreg_plain_c0.01,none,high_sens80,0.3549999999999999,0.5989847715736041,0.6479515987521934,0.6146341463414634,165,203,34,189,0.8475336322869955,0.4483695652173913,0.7250560538116593,0.3549999999999999,0.6491228070175439,0.6514479905437353,0.7109826589595376,62,82,18,123,0.8723404255319149,0.4305555555555556,0.7379826635145783,0.3549999999999999,0.5522875816993464,0.6323497386759582,0.49070631970260226,103,121,16,66,0.8048780487804879,0.45982142857142855,0.6848867595818815,0.39454420352682995,False
crop,logreg_plain_c0.003,domain_label,high_sens80,0.4649999999999999,0.6023688663282571,0.6506689900565412,0.6166394779771615,167,201,34,189,0.8475336322869955,0.453804347826087,0.728053714174303,0.4649999999999999,0.6456140350877193,0.6480496453900709,0.7106017191977078,60,84,17,124,0.8794326241134752,0.4166666666666667,0.7313337273443656,0.4649999999999999,0.5620915032679739,0.6351807491289199,0.49242424242424243,107,117,17,65,0.7926829268292683,0.47767857142857145,0.6998040069686411,0.39212426111455523,False
wpc_stats,logreg_bal_c0.01,domain_label,high_sens80,0.41999999999999993,0.6074450084602369,0.650327792942094,0.6133333333333333,175,193,39,184,0.8251121076233184,0.47554347826086957,0.722131507116397,0.41999999999999993,0.6421052631578947,0.6442080378250591,0.7,64,80,22,119,0.8439716312056738,0.4444444444444444,0.7347813238770685,0.41999999999999993,0.5751633986928104,0.6441093205574913,0.5,111,113,17,65,0.7926829268292683,0.4955357142857143,0.6797147212543554,0.3920542030428009,False
whole_crop,logreg_bal_c0.01,none,high_sens80,0.41999999999999993,0.6057529610829103,0.6498525541041138,0.6135986733001658,173,195,38,185,0.8295964125560538,0.4701086956521739,0.7231794696821994,0.41999999999999993,0.6421052631578947,0.644281914893617,0.7017543859649122,63,81,21,120,0.851063829787234,0.4375,0.7330575256107171,0.41999999999999993,0.5718954248366013,0.6418771777003485,0.49808429118773945,110,114,17,65,0.7926829268292683,0.49107142857142855,0.6851045296167247,0.3907531285349837,False
whole_crop,logreg_plain_c0.01,none,high_sens80,0.37499999999999994,0.6091370558375635,0.6508030317800741,0.6130653266331658,177,191,40,183,0.820627802690583,0.48097826086956524,0.7254338077597972,0.37499999999999994,0.6385964912280702,0.6406619385342789,0.696165191740413,64,80,23,118,0.8368794326241135,0.4444444444444444,0.7375886524822695,0.37499999999999994,0.5816993464052288,0.6485736062717771,0.5038759689922481,113,111,17,65,0.7926829268292683,0.5044642857142857,0.6857578397212544,0.3894263221965467,False
whole_crop,logreg_bal_c0.003,none,high_sens80,0.4599999999999999,0.5939086294416244,0.6447589686098655,0.6129032258064516,161,207,33,190,0.852017937219731,0.4375,0.7268473386625073,0.4599999999999999,0.6456140350877193,0.647975768321513,0.7089337175792507,61,83,18,123,0.8723404255319149,0.4236111111111111,0.7396572104018911,0.4599999999999999,0.545751633986928,0.6317508710801394,0.4908424908424908,100,124,15,67,0.8170731707317073,0.44642857142857145,0.6855945121951219,0.38780516072314464,False
wpc_stats,logreg_bal_c0.003,none,high_sens80,0.4599999999999999,0.5939086294416244,0.6438755117956717,0.6116504854368932,162,206,34,189,0.8475336322869955,0.44021739130434784,0.7264817703255995,0.4599999999999999,0.6456140350877193,0.647975768321513,0.7089337175792507,61,83,18,123,0.8723404255319149,0.4236111111111111,0.7390661938534279,0.4599999999999999,0.545751633986928,0.6278854529616725,0.4870848708487085,101,123,16,66,0.8048780487804879,0.45089285714285715,0.6842878919860627,0.3866455352876045,False
crop,logreg_bal_c0.003,none,high_sens80,0.4749999999999999,0.6091370558375635,0.6455022908949113,0.6051282051282051,183,185,46,177,0.7937219730941704,0.49728260869565216,0.728102456619224,0.4749999999999999,0.6385964912280702,0.6405141843971631,0.6925373134328359,66,78,25,116,0.8226950354609929,0.4583333333333333,0.7292651694247438,0.4749999999999999,0.5816993464052288,0.6331119337979094,0.488,117,107,21,61,0.7439024390243902,0.5223214285714286,0.7026894599303135,0.3847434942132517,False
crop,logreg_plain_c0.003,none,high_sens80,0.43499999999999994,0.5922165820642978,0.6451671865860792,0.6144,158,210,31,192,0.8609865470852018,0.42934782608695654,0.7285411386235133,0.43499999999999994,0.6421052631578947,0.6446513002364066,0.7102272727272727,58,86,16,125,0.8865248226950354,0.4027777777777778,0.7305457052797478,0.43499999999999994,0.545751633986928,0.6317508710801394,0.4908424908424908,100,124,15,67,0.8170731707317073,0.44642857142857145,0.7024172473867596,0.3825972939818231,False
crop,logreg_bal_c0.003,domain_label,high_sens80,0.4599999999999999,0.5939086294416244,0.6474093390524469,0.6166134185303515,158,210,30,193,0.8654708520179372,0.42934782608695654,0.7280537141743029,0.4599999999999999,0.6385964912280702,0.6412529550827423,0.7098591549295775,56,88,15,126,0.8936170212765957,0.3888888888888889,0.7312844759653271,0.4599999999999999,0.5522875816993464,0.6362151567944251,0.4944649446494465,102,122,15,67,0.8170731707317073,0.45535714285714285,0.6999128919860628,0.3800137393767037,False
